<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SU46017RMFS8;D;27/02/12;000000;97.7000000;97.7000000;97.7000000;97.7000000;1
SU46017RMFS8;D;29/02/12;000000;97.4900000;97.5500000;97.4900000;97.5500000;11010
SU46017RMFS8;D;01/03/12;000000;97.2500000;97.3000000;97.2500000;97.3000000;15001
SU46017RMFS8;D;06/03/12;000000;97.5998000;97.5998000;97.5998000;97.5998000;1
SU46017RMFS8;D;11/03/12;000000;97.3300000;97.3500000;97.2000000;97.3000000;56002
SU46017RMFS8;D;12/03/12;000000;97.3298000;97.3300000;97.3298000;97.3300000;2000
SU46017RMFS8;D;13/03/12;000000;97.1500000;97.1500000;97.0000000;97.0000000;852552
SU46017RMFS8;D;14/03/12;000000;97.1000000;97.2500000;97.1000000;97.2500000;1184000
SU46017RMFS8;D;15/03/12;000000;97.2000000;97.2600000;97.2000000;97.2600000;100100
SU46017RMFS8;D;16/03/12;000000;97.3000000;97.4298000;97.3000000;97.4298000;210300
SU46017RMFS8;D;19/03/12;000000;97.3500000;97.3500000;97.3000000;97.3000000;15010
SU46017RMFS8;D;21/03/12;000000;97.2600000;97.2600000;97.2600000;97.2600000;10
SU46017RMFS8;D;26/03/12;000000;97.2000000;97.2050000;97.2000000;97.2050000;207500
SU46017RMFS8;D;27/03/12;000000;97.1500000;97.1500000;97.1500000;97.1500000;2490
SU46017RMFS8;D;29/03/12;000000;97.2700000;97.3500000;97.1000000;97.2500000;102502
SU46017RMFS8;D;30/03/12;000000;107.0898000;107.0898000;97.2500000;97.3500000;347180
SU46017RMFS8;D;02/04/12;000000;97.1500000;97.4499000;97.1500000;97.4499000;3
SU46017RMFS8;D;03/04/12;000000;107.0896000;107.0896000;97.4000000;97.4000000;250001
SU46017RMFS8;D;05/04/12;000000;97.2100000;97.2100000;97.2030000;97.2030000;55000
SU46017RMFS8;D;06/04/12;000000;97.3500000;97.4000000;97.3200000;97.4000000;254950
SU46017RMFS8;D;09/04/12;000000;97.3500000;97.3500000;97.1700000;97.1780000;985801
SU46017RMFS8;D;10/04/12;000000;97.2500000;97.2500000;97.1001000;97.1001000;15001
SU46017RMFS8;D;11/04/12;000000;97.1800000;97.1800000;97.1800000;97.1800000;100
SU46017RMFS8;D;12/04/12;000000;97.1700000;97.1700000;97.1700000;97.1700000;7000
SU46017RMFS8;D;16/04/12;000000;97.0700000;97.1000000;96.9500000;96.9700000;7023
SU46017RMFS8;D;17/04/12;000000;97.0000000;97.0000000;96.8100000;96.8100000;10000
SU46017RMFS8;D;18/04/12;000000;97.2998000;97.2998000;96.9500000;96.9500000;10001
SU46017RMFS8;D;19/04/12;000000;99.1397000;99.1397000;97.1000000;97.1000000;1001
SU46017RMFS8;D;20/04/12;000000;97.1500000;97.1900000;97.1500000;97.1900000;31100
SU46017RMFS8;D;23/04/12;000000;97.0700000;97.0700000;97.0700000;97.0700000;2999
SU46017RMFS8;D;24/04/12;000000;97.0700000;97.0700000;97.0060000;97.0700000;19030
SU46017RMFS8;D;25/04/12;000000;96.0000000;97.1995000;96.0000000;97.0700000;1002
SU46017RMFS8;D;26/04/12;000000;96.0000000;97.1000000;96.0000000;97.1000000;7875
SU46017RMFS8;D;28/04/12;000000;97.2000000;97.2000000;97.2000000;97.2000000;11
SU46017RMFS8;D;03/05/12;000000;97.2498000;97.2498000;97.2498000;97.2498000;4692
SU46017RMFS8;D;05/05/12;000000;97.0000000;97.0000000;97.0000000;97.0000000;251
SU46017RMFS8;D;11/05/12;000000;96.8500000;96.8500000;96.8500000;96.8500000;186
SU46017RMFS8;D;14/05/12;000000;97.0000000;97.0000000;97.0000000;97.0000000;1
SU46017RMFS8;D;15/05/12;000000;97.0000000;97.0000000;96.2600000;96.2600000;2
SU46017RMFS8;D;16/05/12;000000;96.5000000;96.5000000;96.5000000;96.5000000;8236
SU46017RMFS8;D;17/05/12;000000;96.3000000;96.3000000;96.3000000;96.3000000;1
SU46017RMFS8;D;18/05/12;000000;95.9500000;95.9500000;95.9500000;95.9500000;12046
SU46017RMFS8;D;21/05/12;000000;96.0002000;96.0002000;96.0000000;96.0000000;11000
SU46017RMFS8;D;23/05/12;000000;95.5002000;95.5002000;95.5000000;95.5000000;101000
SU46017RMFS8;D;24/05/12;000000;95.3500000;95.4000000;95.3500000;95.4000000;26090
SU46017RMFS8;D;25/05/12;000000;95.5000000;95.5000000;95.0000000;95.1020000;35005
SU46017RMFS8;D;28/05/12;000000;95.2000000;95.2000000;95.2000000;95.2000000;35001
SU46017RMFS8;D;31/05/12;000000;95.0000000;95.0000000;95.0000000;95.0000000;1
SU46017RMFS8;D;01/06/12;000000;94.6002000;94.6002000;94.1500000;94.5000000;110001
SU46017RMFS8;D;05/06/12;000000;94.7000000;94.7000000;94.7000000;94.7000000;300
