<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SU52002RMFS1;D;20180404;000000;99.0000000;99.0000000;96.4000000;96.7500000;747086
SU52002RMFS1;D;20180405;000000;96.7500000;97.0560000;96.7500000;96.7500000;130476
SU52002RMFS1;D;20180406;000000;97.1500000;97.1500000;96.7000000;96.7000000;613946
SU52002RMFS1;D;20180409;000000;96.8000000;96.8000000;96.2010000;96.3300000;109619
SU52002RMFS1;D;20180410;000000;96.5000000;96.5000000;96.0000000;96.2500000;515616
SU52002RMFS1;D;20180411;000000;96.7930000;96.7930000;96.4990000;96.5000000;255
SU52002RMFS1;D;20180412;000000;96.5000000;96.9000000;96.2000000;96.4550000;2451
SU52002RMFS1;D;20180413;000000;97.0000000;97.1000000;96.4550000;96.4550000;6060
SU52002RMFS1;D;20180416;000000;97.3990000;97.3990000;96.5010000;96.9000000;245
SU52002RMFS1;D;20180417;000000;96.9000000;96.9000000;96.8500000;96.8500000;4192
SU52002RMFS1;D;20180418;000000;96.9000000;96.9000000;96.6000000;96.9000000;392865
SU52002RMFS1;D;20180419;000000;97.2490000;97.2490000;96.8500000;97.2000000;2235029
SU52002RMFS1;D;20180420;000000;97.2000000;97.2000000;96.7800000;97.2000000;1001461
SU52002RMFS1;D;20180423;000000;99.0000000;99.0000000;97.3500000;97.3500000;700
SU52002RMFS1;D;20180424;000000;97.4000000;97.4000000;96.4490000;96.6500000;80613
SU52002RMFS1;D;20180425;000000;97.2000000;97.2000000;96.5000000;96.8000000;2678791
SU52002RMFS1;D;20180426;000000;97.0000000;97.0000000;96.7500000;96.7500000;1416034
SU52002RMFS1;D;20180427;000000;98.0000000;98.0000000;96.8000000;96.9000000;276584
SU52002RMFS1;D;20180428;000000;98.0000000;98.0000000;96.8500000;97.1990000;13626
SU52002RMFS1;D;20180430;000000;97.8990000;97.9000000;96.7020000;96.7020000;70
SU52002RMFS1;D;20180503;000000;96.9000000;96.9000000;96.8990000;96.9000000;2315
SU52002RMFS1;D;20180504;000000;96.9020000;96.9020000;96.8500000;96.8500000;5185
SU52002RMFS1;D;20180507;000000;96.9000000;96.9000000;96.9000000;96.9000000;2888
SU52002RMFS1;D;20180508;000000;97.9000000;98.5070000;96.8000000;96.9000000;641
SU52002RMFS1;D;20180510;000000;96.9000000;96.9000000;96.8020000;96.9000000;1996
SU52002RMFS1;D;20180511;000000;97.0510000;97.0510000;96.8990000;96.9000000;91441
SU52002RMFS1;D;20180514;000000;96.9000000;96.9000000;96.8990000;96.9000000;3056
SU52002RMFS1;D;20180515;000000;96.9400000;97.0500000;96.8500000;97.0250000;268632
SU52002RMFS1;D;20180516;000000;97.0490000;97.0500000;97.0000000;97.0500000;33034
SU52002RMFS1;D;20180517;000000;97.0500000;97.0500000;96.9510000;97.0200000;4743
SU52002RMFS1;D;20180518;000000;97.1000000;97.2500000;97.1000000;97.2500000;315250
SU52002RMFS1;D;20180521;000000;97.2500000;97.6000000;96.9000000;97.3000000;152334
SU52002RMFS1;D;20180522;000000;96.6640000;97.4000000;96.6000000;97.3300000;27798
SU52002RMFS1;D;20180523;000000;97.0000000;97.2000000;96.5000000;97.0000000;6682
SU52002RMFS1;D;20180524;000000;97.0990000;97.1500000;97.0500000;97.1500000;345777
SU52002RMFS1;D;20180525;000000;97.0020000;97.1500000;97.0020000;97.1500000;5250
SU52002RMFS1;D;20180528;000000;97.4000000;97.4000000;96.9500000;96.9500000;10968
SU52002RMFS1;D;20180529;000000;97.1470000;97.1470000;97.1000000;97.1000000;1623
SU52002RMFS1;D;20180530;000000;97.1500000;97.2990000;97.1500000;97.2000000;200043
SU52002RMFS1;D;20180531;000000;97.3980000;97.3980000;97.2000000;97.2000000;6
SU52002RMFS1;D;20180601;000000;97.1000000;97.2000000;97.1000000;97.2000000;5495
SU52002RMFS1;D;20180604;000000;97.1000000;97.2400000;97.0000000;97.0000000;55825
SU52002RMFS1;D;20180605;000000;97.2500000;97.2500000;97.1000000;97.2000000;132565
SU52002RMFS1;D;20180606;000000;97.2000000;97.2000000;97.0000000;97.0000000;10482
SU52002RMFS1;D;20180607;000000;97.2000000;97.2000000;97.0990000;97.1000000;31921
SU52002RMFS1;D;20180608;000000;97.1500000;97.1980000;97.0500000;97.0500000;36897
SU52002RMFS1;D;20180609;000000;97.0520000;97.4000000;97.0000000;97.3500000;3146
SU52002RMFS1;D;20180613;000000;97.1020000;97.1020000;96.6490000;96.7000000;1181154
SU52002RMFS1;D;20180614;000000;96.7770000;96.7770000;96.7000000;96.7200000;203912
SU52002RMFS1;D;20180615;000000;96.7200000;96.8800000;96.7000000;96.7500000;1780079
