<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SU25067RMFS8;D;20120215;000000;103.5100000;103.5100000;103.5100000;103.5100000;1
SU25067RMFS8;D;20120228;000000;103.2000000;103.3500000;103.2000000;103.3300000;190001
SU25067RMFS8;D;20120229;000000;103.3100000;103.3100000;103.3100000;103.3100000;95000
SU25067RMFS8;D;20120301;000000;103.2500000;103.2800000;103.2500000;103.2800000;21880
SU25067RMFS8;D;20120302;000000;103.2800000;103.2800000;103.2800000;103.2800000;28600
SU25067RMFS8;D;20120305;000000;103.2000000;103.2000000;103.2000000;103.2000000;31400
SU25067RMFS8;D;20120306;000000;103.3000000;103.3000000;103.2600000;103.2600000;48200
SU25067RMFS8;D;20120311;000000;103.2000000;103.2000000;103.1900000;103.1900000;90001
SU25067RMFS8;D;20120312;000000;103.1500000;103.1500000;103.1400000;103.1400000;65000
SU25067RMFS8;D;20120313;000000;103.1200000;103.1200000;103.1000000;103.1000000;107100
SU25067RMFS8;D;20120314;000000;103.0700000;103.0800000;103.0400000;103.0700000;100771
SU25067RMFS8;D;20120315;000000;103.0800000;103.0800000;103.0500000;103.0500000;17000
SU25067RMFS8;D;20120319;000000;103.0000000;103.0000000;103.0000000;103.0000000;1
SU25067RMFS8;D;20120320;000000;103.0000000;103.0000000;102.9000000;102.9000000;6827
SU25067RMFS8;D;20120321;000000;102.8701000;102.9800000;102.8701000;102.9800000;15001
SU25067RMFS8;D;20120322;000000;102.8600000;102.9600000;102.8600000;102.9600000;12000
SU25067RMFS8;D;20120323;000000;102.8500000;103.0000000;102.8500000;102.9500000;30233
SU25067RMFS8;D;20120326;000000;102.9000000;102.9000000;102.8500000;102.8700000;14534
SU25067RMFS8;D;20120328;000000;102.8200000;102.8400000;102.8200000;102.8400000;4999
SU25067RMFS8;D;20120404;000000;102.7000000;102.8400000;102.7000000;102.8400000;2
SU25067RMFS8;D;20120405;000000;102.7200000;102.7200000;102.7200000;102.7200000;500
SU25067RMFS8;D;20120406;000000;102.7400000;102.7499000;102.7400000;102.7499000;74000
SU25067RMFS8;D;20120411;000000;102.6200000;102.6200000;102.6100000;102.6100000;54000
SU25067RMFS8;D;20120412;000000;102.6300000;102.6300000;102.6300000;102.6300000;11903
SU25067RMFS8;D;20120416;000000;102.5000000;102.5000000;102.5000000;102.5000000;2
SU25067RMFS8;D;20120417;000000;102.5400000;102.5700000;102.5200000;102.5200000;7400
SU25067RMFS8;D;20120419;000000;102.5400000;102.5400000;102.5400000;102.5400000;476
SU25067RMFS8;D;20120423;000000;102.5700000;102.5700000;102.4700000;102.5699000;11472
SU25067RMFS8;D;20120424;000000;102.5000000;102.5000000;102.5000000;102.5000000;37362
SU25067RMFS8;D;20120425;000000;102.5300000;102.5300000;102.5300000;102.5300000;93
SU25067RMFS8;D;20120426;000000;102.4000000;102.5000000;102.4000000;102.5000000;291
SU25067RMFS8;D;20120427;000000;102.4500000;102.4500000;102.4300000;102.4300000;50570
SU25067RMFS8;D;20120428;000000;102.3600000;102.3600000;102.3600000;102.3600000;1
SU25067RMFS8;D;20120503;000000;102.3500000;102.3500000;102.3000000;102.3100000;44048
SU25067RMFS8;D;20120514;000000;102.1000000;102.1000000;102.1000000;102.1000000;5000
SU25067RMFS8;D;20120523;000000;102.0500000;102.0500000;102.0400000;102.0400000;10400
SU25067RMFS8;D;20120531;000000;101.9500000;101.9500000;101.9500000;101.9500000;1
SU25067RMFS8;D;20120605;000000;101.8500000;101.8500000;101.6300000;101.6300000;2
SU25067RMFS8;D;20120607;000000;101.8200000;101.8200000;101.8200000;101.8200000;4960
SU25067RMFS8;D;20120618;000000;101.6200000;101.6700000;101.6200000;101.6700000;3528
SU25067RMFS8;D;20120619;000000;101.6300000;101.6300000;101.6300000;101.6300000;3900
SU25067RMFS8;D;20120620;000000;101.6400000;101.6400000;101.6400000;101.6400000;7815
SU25067RMFS8;D;20120621;000000;101.6000000;101.6000000;101.6000000;101.6000000;75000
SU25067RMFS8;D;20120622;000000;101.5500000;101.5500000;101.5500000;101.5500000;39688
SU25067RMFS8;D;20120625;000000;101.5000000;101.5500000;101.5000000;101.5500000;6300
SU25067RMFS8;D;20120626;000000;101.5000000;101.5000000;101.5000000;101.5000000;41147
SU25067RMFS8;D;20120627;000000;101.4400000;101.5000000;101.4300000;101.5000000;126491
SU25067RMFS8;D;20120628;000000;101.4200000;101.5400000;101.4200000;101.5400000;161195
SU25067RMFS8;D;20120629;000000;102.0000000;102.0000000;101.5974000;101.5974000;608
SU25067RMFS8;D;20120702;000000;101.3900000;101.3900000;101.3900000;101.3900000;1
SU25067RMFS8;D;20120703;000000;101.4700000;101.5100000;101.4500000;101.5100000;172645
SU25067RMFS8;D;20120705;000000;101.4800000;101.5500000;101.4800000;101.5500000;37000
SU25067RMFS8;D;20120706;000000;101.5500000;101.5500000;101.5500000;101.5500000;10000
SU25067RMFS8;D;20120709;000000;101.4810000;101.4820000;101.4810000;101.4820000;546
SU25067RMFS8;D;20120710;000000;101.4810000;101.5000000;101.4005000;101.4005000;51143
SU25067RMFS8;D;20120712;000000;101.4600000;101.4600000;101.4300000;101.4600000;177786
SU25067RMFS8;D;20120713;000000;101.4900000;101.6000000;101.4100000;101.5450000;112820
SU25067RMFS8;D;20120717;000000;101.5400000;101.5400000;101.5400000;101.5400000;29692
SU25067RMFS8;D;20120718;000000;101.4000000;101.4000000;101.4000000;101.4000000;30624
SU25067RMFS8;D;20120719;000000;101.4000000;101.4000000;101.3600000;101.3600000;125000
SU25067RMFS8;D;20120720;000000;101.4000000;101.4500000;101.3500000;101.4500000;48951
SU25067RMFS8;D;20120723;000000;101.3500000;101.3500000;101.2000000;101.2000000;8860
SU25067RMFS8;D;20120724;000000;101.3000000;101.3000000;101.3000000;101.3000000;31
SU25067RMFS8;D;20120725;000000;102.5998000;102.5998000;101.2500000;101.3000000;72020
SU25067RMFS8;D;20120726;000000;101.3400000;101.3400000;101.1500000;101.3000000;105575
SU25067RMFS8;D;20120727;000000;101.3000000;101.3000000;101.2000000;101.2901000;241814
SU25067RMFS8;D;20120730;000000;101.2500000;101.2500000;101.2500000;101.2500000;54
SU25067RMFS8;D;20120801;000000;101.2500000;101.2600000;101.2500000;101.2500000;140091
SU25067RMFS8;D;20120802;000000;101.2500000;101.2600000;101.2100000;101.2500000;120400
SU25067RMFS8;D;20120803;000000;101.2000000;101.2500000;101.2000000;101.2500000;102511
SU25067RMFS8;D;20120806;000000;101.0000000;101.2100000;101.0000000;101.2100000;410561
SU25067RMFS8;D;20120807;000000;101.1824000;101.1898000;101.0800000;101.0800000;150760
SU25067RMFS8;D;20120808;000000;101.1000000;101.1798000;101.1000000;101.1600000;352400
SU25067RMFS8;D;20120809;000000;101.1500000;101.1600000;101.1000000;101.1600000;99641
SU25067RMFS8;D;20120810;000000;101.1380000;101.1380000;101.1150000;101.1379000;50421
SU25067RMFS8;D;20120813;000000;101.1555000;101.1555000;100.9700000;101.0800000;123554
SU25067RMFS8;D;20120814;000000;101.0620000;101.0625000;100.9500000;101.0625000;163392
SU25067RMFS8;D;20120815;000000;101.0000000;101.0000000;100.9300000;100.9999000;46977
SU25067RMFS8;D;20120816;000000;100.9500000;100.9800000;100.9050000;100.9200000;43825
SU25067RMFS8;D;20120817;000000;100.9100000;100.9100000;100.9100000;100.9100000;1350
SU25067RMFS8;D;20120820;000000;100.8800000;100.9645000;100.8800000;100.9000000;21136
SU25067RMFS8;D;20120821;000000;100.8858000;100.9300000;100.8858000;100.9000000;159654
SU25067RMFS8;D;20120822;000000;100.9199000;100.9200000;100.8700000;100.8700000;38112
SU25067RMFS8;D;20120823;000000;100.8107000;100.8700000;100.8107000;100.8474000;16034
SU25067RMFS8;D;20120824;000000;100.8210000;100.8600000;100.7950000;100.8001000;211305
SU25067RMFS8;D;20120827;000000;100.8299000;100.8300000;100.8299000;100.8300000;22561
SU25067RMFS8;D;20120828;000000;100.7799000;100.7799000;100.7305000;100.7305000;36510
SU25067RMFS8;D;20120829;000000;100.7200000;100.8058000;100.7200000;100.7300000;23950
SU25067RMFS8;D;20120830;000000;100.7001000;100.7980000;100.7001000;100.7600000;102270
SU25067RMFS8;D;20120831;000000;100.7450000;100.7739000;100.7400000;100.7736000;104376
SU25067RMFS8;D;20120903;000000;100.6400000;100.7250000;100.6000000;100.6000000;556
SU25067RMFS8;D;20120904;000000;100.6200000;100.6999000;100.6200000;100.6900000;42607
SU25067RMFS8;D;20120905;000000;100.6899000;100.6900000;100.6899000;100.6900000;22550
SU25067RMFS8;D;20120906;000000;100.6699000;100.6699000;100.6400000;100.6400000;73341
SU25067RMFS8;D;20120907;000000;100.6400000;100.6400000;100.6399000;100.6400000;22668
SU25067RMFS8;D;20120910;000000;100.6000000;100.6000000;100.5302000;100.5450000;19700
SU25067RMFS8;D;20120911;000000;100.5699000;100.5699000;100.5699000;100.5699000;25708
SU25067RMFS8;D;20120912;000000;100.6000000;100.6000000;100.5775000;100.5775000;28573
SU25067RMFS8;D;20120913;000000;100.5599000;100.5599000;100.5180000;100.5300000;52057
SU25067RMFS8;D;20120914;000000;100.5000000;100.5200000;100.4702000;100.5200000;84661
SU25067RMFS8;D;20120917;000000;100.4102000;100.4899000;100.4101000;100.4899000;45041
SU25067RMFS8;D;20120918;000000;100.3900000;100.4679000;100.3900000;100.4679000;23222
SU25067RMFS8;D;20120919;000000;100.4400000;100.4486000;100.3805000;100.4398000;103046
SU25067RMFS8;D;20120920;000000;100.4000000;100.4295000;100.4000000;100.4280000;70414
SU25067RMFS8;D;20120921;000000;100.3702000;100.4147000;100.3700000;100.4147000;57537
SU25067RMFS8;D;20120924;000000;100.3450000;100.3570000;100.3450000;100.3570000;30183
SU25067RMFS8;D;20120925;000000;100.3396000;100.3396000;100.3105000;100.3350000;52112
SU25067RMFS8;D;20120926;000000;100.3279000;100.3280000;100.3185000;100.3212000;322494
SU25067RMFS8;D;20120927;000000;100.3000000;100.3129000;100.2805000;100.3129000;674075
SU25067RMFS8;D;20120928;000000;99.9000000;100.5000000;99.9000000;100.3035000;202204
SU25067RMFS8;D;20121001;000000;100.2500000;100.2500000;100.2299000;100.2495000;154018
SU25067RMFS8;D;20121002;000000;100.2100000;100.2200000;100.2100000;100.2200000;109764
SU25067RMFS8;D;20121003;000000;100.2099000;100.2200000;100.1900000;100.2195000;168627
SU25067RMFS8;D;20121004;000000;100.1999000;100.1999000;100.1802000;100.1806000;74728
SU25067RMFS8;D;20121005;000000;100.1799000;100.1800000;100.1799000;100.1800000;20043
SU25067RMFS8;D;20121008;000000;100.1205000;100.1400000;100.1205000;100.1398000;24591
SU25067RMFS8;D;20121009;000000;100.1200000;100.1298000;100.1195000;100.1195000;134268
SU25067RMFS8;D;20121010;000000;100.0902000;100.1099000;100.0900000;100.1080000;10340
SU25067RMFS8;D;20121011;000000;100.0802000;100.0900000;100.0801000;100.0801000;163271
SU25067RMFS8;D;20121012;000000;100.0775000;100.0775000;100.0500000;100.0750000;12540
SU25067RMFS8;D;20121015;000000;100.0400000;100.0400000;100.0201000;100.0290000;13916
SU25067RMFS8;D;20121016;000000;100.0150000;100.0150000;100.0040000;100.0125000;43521
