<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A0JTA48;D;20121106;000000;100.5000000;100.5000000;99.9000000;100.1000000;3028
RU000A0JTA48;D;20121107;000000;100.1000000;100.2500000;100.1000000;100.1500000;14001
RU000A0JTA48;D;20121108;000000;100.2500000;100.7000000;100.0100000;100.1000000;289618
RU000A0JTA48;D;20121109;000000;100.0500000;100.0500000;100.0000000;100.0000000;23256
RU000A0JTA48;D;20121113;000000;100.0000000;100.0000000;100.0000000;100.0000000;3015
RU000A0JTA48;D;20121114;000000;100.0500000;100.0500000;100.0500000;100.0500000;1
RU000A0JTA48;D;20121115;000000;100.0000000;100.0000000;100.0000000;100.0000000;10
RU000A0JTA48;D;20121116;000000;100.0500000;100.0500000;100.0500000;100.0500000;1
RU000A0JTA48;D;20121120;000000;100.0200000;100.1000000;100.0200000;100.1000000;47975
RU000A0JTA48;D;20121121;000000;100.2000000;100.2500000;100.2000000;100.2500000;18000
RU000A0JTA48;D;20121122;000000;100.3000000;100.4000000;100.3000000;100.3700000;25510
RU000A0JTA48;D;20121123;000000;100.4000000;100.4000000;100.3000000;100.3000000;8556
RU000A0JTA48;D;20121126;000000;100.3800000;100.4400000;99.8000000;100.4400000;280094
RU000A0JTA48;D;20121127;000000;100.3200000;100.3200000;100.2900000;100.2900000;3002
RU000A0JTA48;D;20121128;000000;100.1600000;100.1900000;100.1000000;100.1900000;17275
RU000A0JTA48;D;20121129;000000;100.2000000;100.2000000;100.1900000;100.1900000;73200
RU000A0JTA48;D;20121203;000000;100.1900000;100.2500000;100.1700000;100.1700000;102
RU000A0JTA48;D;20121204;000000;100.1500000;100.2000000;100.1500000;100.2000000;1902
RU000A0JTA48;D;20121205;000000;100.2200000;100.3500000;100.2000000;100.3500000;224537
RU000A0JTA48;D;20121206;000000;100.4000000;100.4000000;100.3500000;100.3500000;151065
RU000A0JTA48;D;20121207;000000;100.3000000;100.3500000;100.3000000;100.3500000;152881
RU000A0JTA48;D;20121210;000000;100.4500000;100.5000000;100.4500000;100.5000000;313335
RU000A0JTA48;D;20121211;000000;100.5000000;100.5500000;100.4500000;100.5500000;37130
RU000A0JTA48;D;20121212;000000;100.6500000;100.6500000;100.6500000;100.6500000;1
RU000A0JTA48;D;20121213;000000;100.6500000;100.6500000;100.6300000;100.6500000;30007
RU000A0JTA48;D;20121214;000000;100.2500000;100.5900000;100.2500000;100.5900000;120000
RU000A0JTA48;D;20121219;000000;100.2000000;100.6500000;100.2000000;100.5000000;405000
RU000A0JTA48;D;20121220;000000;100.6500000;100.7000000;100.6500000;100.7000000;19200
RU000A0JTA48;D;20121221;000000;100.6000000;100.7500000;100.6000000;100.7500000;30001
RU000A0JTA48;D;20121224;000000;100.4000000;100.5500000;100.4000000;100.5500000;26194
RU000A0JTA48;D;20121225;000000;100.5700000;100.5700000;100.5700000;100.5700000;1400
RU000A0JTA48;D;20121226;000000;100.5700000;100.5700000;100.5700000;100.5700000;1
RU000A0JTA48;D;20121227;000000;100.6000000;100.6500000;100.5800000;100.5800000;235630
RU000A0JTA48;D;20121228;000000;100.6100000;101.0000000;100.1000000;101.0000000;27932
RU000A0JTA48;D;20130109;000000;100.1000000;100.1000000;100.1000000;100.1000000;1
RU000A0JTA48;D;20130111;000000;101.2500000;101.2500000;101.1000000;101.1000000;5447
RU000A0JTA48;D;20130114;000000;101.1000000;101.2500000;101.1000000;101.2500000;50010
RU000A0JTA48;D;20130115;000000;101.2500000;101.6000000;101.2500000;101.6000000;9000
RU000A0JTA48;D;20130116;000000;101.8000000;101.8000000;101.8000000;101.8000000;5000
RU000A0JTA48;D;20130117;000000;100.6000000;101.6500000;100.6000000;101.6500000;55000
RU000A0JTA48;D;20130118;000000;101.6500000;101.6500000;101.6000000;101.6000000;65000
RU000A0JTA48;D;20130123;000000;101.5400000;101.5400000;101.2100000;101.2100000;2
RU000A0JTA48;D;20130124;000000;101.6500000;101.6500000;101.6500000;101.6500000;82700
RU000A0JTA48;D;20130128;000000;101.0000000;101.0000000;101.0000000;101.0000000;1
RU000A0JTA48;D;20130205;000000;101.5500000;101.5500000;101.5500000;101.5500000;27180
RU000A0JTA48;D;20130206;000000;101.5000000;101.5000000;101.5000000;101.5000000;8000
RU000A0JTA48;D;20130207;000000;101.4500000;101.6000000;101.4500000;101.6000000;2150
RU000A0JTA48;D;20130208;000000;101.5500000;101.5500000;101.5500000;101.5500000;27821
RU000A0JTA48;D;20130212;000000;101.5500000;101.6000000;101.5500000;101.6000000;32335
