<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A0JVMD0;D;20150716;000000;100.0000000;100.1500000;100.0000000;100.1500000;794381
RU000A0JVMD0;D;20150717;000000;100.0300000;100.6000000;100.0300000;100.6000000;71360
RU000A0JVMD0;D;20150720;000000;101.5500000;101.5500000;100.1600000;100.6500000;40002
RU000A0JVMD0;D;20150721;000000;100.0500000;100.7500000;100.0500000;100.7000000;88691
RU000A0JVMD0;D;20150722;000000;100.6500000;100.8500000;100.5300000;100.7500000;57103
RU000A0JVMD0;D;20150723;000000;100.8500000;100.8500000;100.7000000;100.7000000;3001
RU000A0JVMD0;D;20150724;000000;100.6500000;100.6500000;100.1500000;100.6000000;29244
RU000A0JVMD0;D;20150727;000000;100.8000000;100.8500000;100.1600000;100.7000000;58793
RU000A0JVMD0;D;20150729;000000;100.4000000;100.6000000;100.3000000;100.6000000;10053
RU000A0JVMD0;D;20150730;000000;100.0500000;100.6900000;100.0500000;100.6000000;4177
RU000A0JVMD0;D;20150731;000000;100.3100000;100.7000000;100.1500000;100.7000000;5162
RU000A0JVMD0;D;20150803;000000;100.4000000;100.7500000;100.1500000;100.4500000;120010
RU000A0JVMD0;D;20150804;000000;100.0500000;101.1500000;100.0500000;100.5400000;150
RU000A0JVMD0;D;20150805;000000;100.6400000;100.6400000;100.6400000;100.6400000;1
RU000A0JVMD0;D;20150806;000000;100.5500000;100.5500000;100.4000000;100.5500000;189856
RU000A0JVMD0;D;20150807;000000;100.5500000;100.5500000;100.5500000;100.5500000;15
RU000A0JVMD0;D;20150810;000000;100.6000000;100.6000000;100.6000000;100.6000000;18
RU000A0JVMD0;D;20150811;000000;100.6000000;100.6000000;100.4000000;100.4000000;3002
RU000A0JVMD0;D;20150812;000000;100.6000000;100.6000000;100.6000000;100.6000000;1
RU000A0JVMD0;D;20150813;000000;100.3500000;100.6000000;100.3000000;100.6000000;13012
RU000A0JVMD0;D;20150814;000000;100.6000000;100.6500000;100.6000000;100.6000000;10899
RU000A0JVMD0;D;20150819;000000;100.3500000;100.3500000;100.3000000;100.3000000;2734
RU000A0JVMD0;D;20150820;000000;100.3000000;100.3000000;100.0500000;100.2500000;9962
RU000A0JVMD0;D;20150821;000000;100.3000000;100.3000000;100.0000000;100.0300000;5209
RU000A0JVMD0;D;20150824;000000;98.5000000;98.5000000;97.0000000;98.0000000;17
RU000A0JVMD0;D;20150825;000000;98.8500000;98.8500000;98.8500000;98.8500000;55001
RU000A0JVMD0;D;20150826;000000;98.8500000;99.0000000;98.8500000;99.0000000;20
RU000A0JVMD0;D;20150827;000000;99.4000000;99.8500000;99.4000000;99.8000000;153945
RU000A0JVMD0;D;20150828;000000;99.7500000;100.3000000;99.7500000;100.1500000;105034
RU000A0JVMD0;D;20150831;000000;99.5000000;99.5000000;99.5000000;99.5000000;1
RU000A0JVMD0;D;20150901;000000;99.5100000;99.5100000;99.5100000;99.5100000;1
RU000A0JVMD0;D;20150902;000000;99.0000000;99.0000000;99.0000000;99.0000000;1806
RU000A0JVMD0;D;20150903;000000;99.0000000;99.6500000;99.0000000;99.6500000;5030
RU000A0JVMD0;D;20150904;000000;99.6000000;99.6500000;99.6000000;99.6500000;10390
RU000A0JVMD0;D;20150907;000000;99.6500000;99.6500000;99.6500000;99.6500000;10000
RU000A0JVMD0;D;20150908;000000;99.5000000;99.5000000;99.1000000;99.1000000;104770
RU000A0JVMD0;D;20150909;000000;99.5300000;99.5300000;99.3000000;99.3000000;76583
RU000A0JVMD0;D;20150910;000000;99.3500000;99.6500000;99.3500000;99.6500000;164002
RU000A0JVMD0;D;20150911;000000;99.3500000;99.5600000;99.3000000;99.5600000;11630
RU000A0JVMD0;D;20150914;000000;99.3000000;99.5600000;98.7000000;99.5600000;25418
RU000A0JVMD0;D;20150916;000000;99.5600000;99.5600000;99.5600000;99.5600000;30000
RU000A0JVMD0;D;20150917;000000;99.5100000;99.7000000;99.5000000;99.7000000;155024
RU000A0JVMD0;D;20150924;000000;100.0000000;100.0000000;100.0000000;100.0000000;13400
RU000A0JVMD0;D;20150925;000000;100.0000000;100.0000000;100.0000000;100.0000000;26978
RU000A0JVMD0;D;20150929;000000;100.0000000;100.0000000;100.0000000;100.0000000;20000
RU000A0JVMD0;D;20150930;000000;100.0000000;100.0000000;100.0000000;100.0000000;3001
