<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A100XC2;D;20191014;000000;100.9000000;100.9000000;100.9000000;100.9000000;201
RU000A100XC2;D;20191015;000000;101.1000000;101.1000000;100.8200000;100.8200000;4547
RU000A100XC2;D;20191016;000000;100.8800000;100.9900000;100.0500000;100.9900000;56641
RU000A100XC2;D;20191017;000000;101.0000000;101.0000000;100.7500000;100.9000000;6027
RU000A100XC2;D;20191018;000000;100.6100000;101.3500000;100.6100000;101.3000000;28180
RU000A100XC2;D;20191021;000000;101.5000000;101.5000000;100.9800000;101.5000000;22
RU000A100XC2;D;20191022;000000;101.5000000;101.5000000;101.4500000;101.4500000;230
RU000A100XC2;D;20191023;000000;101.5000000;101.5000000;101.0000000;101.0000000;37
RU000A100XC2;D;20191024;000000;101.5000000;101.5000000;100.9000000;101.3400000;113057
RU000A100XC2;D;20191025;000000;101.4000000;101.4000000;101.2000000;101.3700000;19710
RU000A100XC2;D;20191028;000000;101.5000000;101.5000000;101.4900000;101.5000000;12
RU000A100XC2;D;20191029;000000;101.4000000;101.5000000;101.4000000;101.5000000;577
RU000A100XC2;D;20191030;000000;101.4900000;101.4900000;101.4000000;101.4000000;200174
RU000A100XC2;D;20191031;000000;103.5900000;103.5900000;101.3500000;101.4000000;89017
RU000A100XC2;D;20191101;000000;100.5200000;101.5000000;100.5200000;101.4400000;47319
RU000A100XC2;D;20191105;000000;101.6000000;101.6000000;101.4400000;101.5000000;702
RU000A100XC2;D;20191106;000000;101.7500000;101.7500000;101.0000000;101.6900000;2072
RU000A100XC2;D;20191107;000000;107.2000000;107.2000000;100.3100000;100.3100000;343
RU000A100XC2;D;20191108;000000;101.7500000;101.7500000;100.3100000;101.4500000;61744
RU000A100XC2;D;20191111;000000;103.4700000;103.4700000;101.6000000;101.6000000;81
RU000A100XC2;D;20191112;000000;101.6500000;101.6500000;101.6000000;101.6000000;260
RU000A100XC2;D;20191113;000000;101.6400000;101.6400000;101.6000000;101.6000000;30011
RU000A100XC2;D;20191114;000000;101.6500000;101.6500000;101.4500000;101.5000000;104
RU000A100XC2;D;20191115;000000;101.6500000;101.6500000;101.4500000;101.6400000;103793
RU000A100XC2;D;20191118;000000;101.6500000;101.6500000;101.5000000;101.5000000;47788
RU000A100XC2;D;20191119;000000;101.6500000;101.6500000;101.2500000;101.2500000;2011
RU000A100XC2;D;20191120;000000;101.6500000;101.6500000;101.5000000;101.6500000;343289
RU000A100XC2;D;20191121;000000;101.7500000;101.7500000;101.2600000;101.6500000;42508
RU000A100XC2;D;20191122;000000;101.7000000;101.7000000;101.6500000;101.7000000;111072
RU000A100XC2;D;20191125;000000;101.7500000;101.7500000;101.7500000;101.7500000;237
RU000A100XC2;D;20191126;000000;101.7500000;101.7500000;101.7500000;101.7500000;133
RU000A100XC2;D;20191127;000000;102.0000000;102.0000000;101.6000000;101.6500000;718
RU000A100XC2;D;20191128;000000;101.7500000;101.7500000;101.7500000;101.7500000;10005
RU000A100XC2;D;20191129;000000;101.7500000;101.7500000;101.7500000;101.7500000;987
RU000A100XC2;D;20191202;000000;80.1500000;101.7500000;80.1500000;101.7500000;3453
RU000A100XC2;D;20191203;000000;101.5000000;101.5000000;101.5000000;101.5000000;1
RU000A100XC2;D;20191204;000000;101.7000000;101.7000000;101.7000000;101.7000000;3747
RU000A100XC2;D;20191205;000000;101.7000000;101.7500000;101.7000000;101.7500000;9994
RU000A100XC2;D;20191206;000000;101.8000000;103.8100000;101.7000000;101.7900000;296
RU000A100XC2;D;20191209;000000;101.7400000;101.7400000;101.6500000;101.7400000;5214
RU000A100XC2;D;20191210;000000;101.7400000;101.7400000;101.7400000;101.7400000;290
