<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A0JTDX1;D;20121212;000000;100.2000000;100.2000000;100.0500000;100.0500000;1001
RU000A0JTDX1;D;20121217;000000;100.0000000;100.2000000;100.0000000;100.0500000;158002
RU000A0JTDX1;D;20121218;000000;100.6000000;100.6000000;100.1500000;100.4000000;19001
RU000A0JTDX1;D;20121219;000000;100.4000000;100.4000000;100.4000000;100.4000000;2000
RU000A0JTDX1;D;20121224;000000;100.3500000;100.3500000;100.3500000;100.3500000;1
RU000A0JTDX1;D;20121227;000000;100.3900000;100.3900000;100.3900000;100.3900000;1
RU000A0JTDX1;D;20130121;000000;100.7000000;100.7000000;100.7000000;100.7000000;1
RU000A0JTDX1;D;20130122;000000;100.8300000;100.8300000;100.8300000;100.8300000;1
RU000A0JTDX1;D;20130124;000000;101.2000000;101.2000000;101.2000000;101.2000000;1
RU000A0JTDX1;D;20130213;000000;101.2000000;101.2000000;101.2000000;101.2000000;1
RU000A0JTDX1;D;20130313;000000;101.1900000;101.1900000;101.1900000;101.1900000;1
RU000A0JTDX1;D;20130326;000000;101.1900000;101.2000000;101.1900000;101.2000000;2
RU000A0JTDX1;D;20130329;000000;101.5000000;101.5000000;101.5000000;101.5000000;1
RU000A0JTDX1;D;20130403;000000;100.7500000;100.7500000;100.2000000;100.5300000;160002
RU000A0JTDX1;D;20130404;000000;101.8100000;101.8100000;101.7500000;101.7800000;160000
RU000A0JTDX1;D;20130429;000000;101.6000000;101.6000000;101.6000000;101.6000000;1000
RU000A0JTDX1;D;20130517;000000;101.2500000;101.3100000;101.2500000;101.3100000;101000
RU000A0JTDX1;D;20130624;000000;101.4000000;101.4000000;101.4000000;101.4000000;206000
RU000A0JTDX1;D;20130820;000000;101.4000000;101.4000000;101.4000000;101.4000000;220
RU000A0JTDX1;D;20130926;000000;101.4000000;101.4500000;101.3500000;101.3500000;200
RU000A0JTDX1;D;20131101;000000;101.4000000;101.4000000;101.4000000;101.4000000;590
RU000A0JTDX1;D;20140205;000000;101.6000000;101.6000000;101.6000000;101.6000000;1
RU000A0JTDX1;D;20140331;000000;98.0000000;98.5000000;98.0000000;98.5000000;1001
RU000A0JTDX1;D;20140401;000000;98.5000000;98.5000000;98.5000000;98.5000000;1
RU000A0JTDX1;D;20140403;000000;98.5000000;98.5000000;98.5000000;98.5000000;3270
RU000A0JTDX1;D;20140820;000000;98.3200000;98.3200000;98.3200000;98.3200000;1140
RU000A0JTDX1;D;20141128;000000;99.0000000;99.0000000;99.0000000;99.0000000;550
RU000A0JTDX1;D;20141201;000000;99.0000000;99.0000000;99.0000000;99.0000000;550
RU000A0JTDX1;D;20141229;000000;100.0000000;100.0000000;100.0000000;100.0000000;1000
RU000A0JTDX1;D;20150601;000000;100.0000000;100.0000000;100.0000000;100.0000000;1014
RU000A0JTDX1;D;20150609;000000;98.4500000;98.6500000;98.4500000;98.6500000;300001
RU000A0JTDX1;D;20150610;000000;100.0000000;100.0000000;98.4000000;98.4000000;383999
RU000A0JTDX1;D;20150625;000000;97.0100000;97.0100000;97.0100000;97.0100000;1
RU000A0JTDX1;D;20151006;000000;99.8700000;99.8700000;99.8700000;99.8700000;1
RU000A0JTDX1;D;20151201;000000;98.3500000;98.3500000;98.3500000;98.3500000;600000
RU000A0JTDX1;D;20151202;000000;98.3500000;98.3500000;98.3500000;98.3500000;206000
RU000A0JTDX1;D;20151203;000000;99.0500000;100.1000000;99.0500000;100.1000000;375201
RU000A0JTDX1;D;20151204;000000;99.0000000;99.8000000;99.0000000;99.8000000;175001
RU000A0JTDX1;D;20151207;000000;99.8000000;99.8000000;99.8000000;99.8000000;35000
RU000A0JTDX1;D;20151208;000000;99.6500000;99.6500000;99.6500000;99.6500000;50000
RU000A0JTDX1;D;20151211;000000;99.6500000;99.6500000;99.6500000;99.6500000;50000
RU000A0JTDX1;D;20151215;000000;99.6000000;99.8000000;99.6000000;99.8000000;1000
RU000A0JTDX1;D;20160209;000000;99.8000000;99.8000000;99.8000000;99.8000000;1000
RU000A0JTDX1;D;20160210;000000;99.8000000;99.8000000;99.8000000;99.8000000;1000
RU000A0JTDX1;D;20160212;000000;93.2000000;94.4400000;93.2000000;94.4400000;2
RU000A0JTDX1;D;20160329;000000;99.9000000;99.9000000;99.9000000;99.9000000;1
RU000A0JTDX1;D;20160616;000000;101.3000000;101.3000000;101.3000000;101.3000000;16100
RU000A0JTDX1;D;20160720;000000;101.3000000;101.5000000;101.3000000;101.5000000;150001
RU000A0JTDX1;D;20160721;000000;101.4500000;101.4500000;101.4500000;101.4500000;29000
RU000A0JTDX1;D;20161118;000000;101.2400000;101.2400000;101.2400000;101.2400000;1
RU000A0JTDX1;D;20161124;000000;101.2000000;101.2000000;101.2000000;101.2000000;4000
