<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A1004W6;D;20190301;000000;100.0000000;100.1500000;100.0000000;100.1000000;925301
RU000A1004W6;D;20190304;000000;100.1500000;100.1500000;100.1500000;100.1500000;2
RU000A1004W6;D;20190307;000000;100.1500000;100.1500000;100.1500000;100.1500000;31490
RU000A1004W6;D;20190311;000000;100.1400000;100.1400000;100.1400000;100.1400000;810
RU000A1004W6;D;20190312;000000;100.0500000;100.0500000;100.0500000;100.0500000;1
RU000A1004W6;D;20190313;000000;100.0500000;100.0500000;100.0500000;100.0500000;1320
RU000A1004W6;D;20190314;000000;99.3100000;100.1000000;99.3100000;100.1000000;15532
RU000A1004W6;D;20190319;000000;100.0200000;100.1500000;100.0200000;100.1500000;760
RU000A1004W6;D;20190321;000000;100.2400000;100.2400000;100.2400000;100.2400000;300
RU000A1004W6;D;20190328;000000;100.2300000;100.2300000;100.2300000;100.2300000;43253
RU000A1004W6;D;20190401;000000;100.5000000;100.5000000;100.5000000;100.5000000;2
RU000A1004W6;D;20190404;000000;100.2000000;100.2500000;100.2000000;100.2500000;7000
RU000A1004W6;D;20190405;000000;100.2000000;100.2500000;100.2000000;100.2500000;61000
RU000A1004W6;D;20190408;000000;100.2000000;100.2000000;100.2000000;100.2000000;39769
RU000A1004W6;D;20190409;000000;100.2100000;100.2500000;100.2000000;100.2500000;131920
RU000A1004W6;D;20190410;000000;100.2600000;100.2600000;100.2600000;100.2600000;260000
RU000A1004W6;D;20190411;000000;100.3000000;100.3000000;100.3000000;100.3000000;2250
RU000A1004W6;D;20190412;000000;100.3000000;100.3000000;100.3000000;100.3000000;3140
RU000A1004W6;D;20190415;000000;100.3000000;100.3000000;100.3000000;100.3000000;51545
RU000A1004W6;D;20190416;000000;100.3000000;100.3000000;100.3000000;100.3000000;305
RU000A1004W6;D;20190417;000000;100.2900000;100.3000000;100.2900000;100.3000000;2350
RU000A1004W6;D;20190424;000000;100.3000000;100.3000000;100.3000000;100.3000000;4960
RU000A1004W6;D;20190425;000000;100.3000000;100.3000000;100.3000000;100.3000000;12200
RU000A1004W6;D;20190426;000000;100.2000000;100.2000000;100.2000000;100.2000000;100000
RU000A1004W6;D;20190429;000000;100.3000000;100.3000000;100.3000000;100.3000000;1
RU000A1004W6;D;20190507;000000;100.3000000;100.3000000;100.3000000;100.3000000;5
RU000A1004W6;D;20190520;000000;100.3500000;100.3500000;100.3500000;100.3500000;500
RU000A1004W6;D;20190522;000000;100.1500000;100.1500000;100.1000000;100.1500000;10001
RU000A1004W6;D;20190530;000000;100.1000000;100.5000000;100.1000000;100.5000000;11
RU000A1004W6;D;20190531;000000;100.1000000;100.4000000;100.1000000;100.4000000;100001
RU000A1004W6;D;20190701;000000;100.6500000;100.6500000;100.6500000;100.6500000;119997
RU000A1004W6;D;20190718;000000;100.1900000;100.1900000;100.1900000;100.1900000;2
RU000A1004W6;D;20190725;000000;100.4000000;100.4000000;100.4000000;100.4000000;2
RU000A1004W6;D;20190730;000000;100.7000000;100.7000000;100.7000000;100.7000000;500
RU000A1004W6;D;20190807;000000;100.7500000;100.9500000;100.7500000;100.9500000;375606
RU000A1004W6;D;20190809;000000;100.9500000;100.9500000;100.9500000;100.9500000;2
RU000A1004W6;D;20190828;000000;100.8500000;100.8500000;100.8500000;100.8500000;140
RU000A1004W6;D;20190830;000000;101.7500000;101.7500000;101.7500000;101.7500000;3
RU000A1004W6;D;20190906;000000;101.0000000;101.0000000;101.0000000;101.0000000;3
RU000A1004W6;D;20191001;000000;100.3000000;101.1500000;100.3000000;101.1500000;15062
RU000A1004W6;D;20191010;000000;102.0000000;102.0000000;102.0000000;102.0000000;7
RU000A1004W6;D;20191120;000000;101.5500000;101.5500000;101.5500000;101.5500000;25000
RU000A1004W6;D;20191121;000000;102.9900000;102.9900000;101.9200000;101.9200000;25048
RU000A1004W6;D;20191126;000000;101.5000000;101.5000000;101.5000000;101.5000000;1
RU000A1004W6;D;20191210;000000;102.1500000;102.1500000;102.1500000;102.1500000;2000
RU000A1004W6;D;20191212;000000;101.9000000;101.9000000;101.9000000;101.9000000;2
RU000A1004W6;D;20191213;000000;102.1500000;102.1500000;102.1500000;102.1500000;13000
RU000A1004W6;D;20191220;000000;102.5000000;102.5000000;102.5000000;102.5000000;18161
RU000A1004W6;D;20200127;000000;102.2200000;102.2200000;102.2200000;102.2200000;5000
RU000A1004W6;D;20200128;000000;102.2400000;102.2400000;102.2400000;102.2400000;5000
RU000A1004W6;D;20200129;000000;100.7500000;100.7500000;100.7500000;100.7500000;3
RU000A1004W6;D;20200130;000000;103.2500000;103.2500000;103.2500000;103.2500000;2
RU000A1004W6;D;20200131;000000;103.2500000;103.2500000;103.2500000;103.2500000;10
RU000A1004W6;D;20200204;000000;103.2500000;103.2500000;103.2500000;103.2500000;3
RU000A1004W6;D;20200205;000000;103.3000000;103.3000000;103.2500000;103.2500000;7
RU000A1004W6;D;20200210;000000;102.2300000;102.2300000;102.1800000;102.1800000;55100
RU000A1004W6;D;20200211;000000;102.1800000;102.2500000;102.1500000;102.2500000;344898
RU000A1004W6;D;20200213;000000;102.2500000;102.2500000;102.2500000;102.2500000;3
RU000A1004W6;D;20200214;000000;102.2500000;102.2500000;102.2500000;102.2500000;1
RU000A1004W6;D;20200217;000000;103.3500000;103.3500000;102.2500000;102.2500000;4802
RU000A1004W6;D;20200218;000000;103.3500000;103.3500000;102.2500000;102.2500000;6854
RU000A1004W6;D;20200219;000000;103.3500000;103.3500000;103.3500000;103.3500000;1
RU000A1004W6;D;20200226;000000;103.3500000;103.3500000;101.0000000;102.0000000;116
RU000A1004W6;D;20200227;000000;103.3400000;103.3400000;102.0000000;102.0000000;4
RU000A1004W6;D;20200302;000000;103.3400000;103.3400000;100.8100000;102.8100000;11
RU000A1004W6;D;20200303;000000;103.3500000;103.3500000;103.3500000;103.3500000;1
RU000A1004W6;D;20200305;000000;103.3000000;103.3000000;103.3000000;103.3000000;2
RU000A1004W6;D;20200310;000000;100.8000000;100.8000000;100.8000000;100.8000000;17
RU000A1004W6;D;20200313;000000;101.4000000;101.4000000;101.4000000;101.4000000;188958
RU000A1004W6;D;20200316;000000;101.5000000;101.5000000;101.5000000;101.5000000;6
RU000A1004W6;D;20200317;000000;101.5000000;101.5000000;101.5000000;101.5000000;1
RU000A1004W6;D;20200325;000000;101.0000000;101.0300000;101.0000000;101.0200000;425000
RU000A1004W6;D;20200327;000000;96.3400000;100.0000000;96.3400000;100.0000000;2
RU000A1004W6;D;20200330;000000;100.0000000;100.0000000;100.0000000;100.0000000;1
RU000A1004W6;D;20200331;000000;96.3400000;101.3500000;96.3400000;101.3500000;2
RU000A1004W6;D;20200401;000000;97.3600000;102.9900000;97.3600000;102.9900000;3
RU000A1004W6;D;20200402;000000;101.1600000;101.1700000;100.0000000;101.1700000;125001
RU000A1004W6;D;20200406;000000;101.5500000;101.5500000;101.2200000;101.2200000;134204
RU000A1004W6;D;20200408;000000;102.9400000;102.9400000;102.9400000;102.9400000;2
RU000A1004W6;D;20200413;000000;102.9400000;102.9400000;96.3600000;102.0000000;4
