<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A0JSZM9;D;20120921;000000;100.4500000;100.8300000;100.0000000;100.8300000;577292
RU000A0JSZM9;D;20120924;000000;100.5600000;100.8000000;100.5600000;100.7000000;38207
RU000A0JSZM9;D;20120926;000000;100.7000000;100.7000000;100.7000000;100.7000000;72
RU000A0JSZM9;D;20120928;000000;100.7000000;100.7000000;100.7000000;100.7000000;4
RU000A0JSZM9;D;20121001;000000;100.6500000;100.6500000;100.6500000;100.6500000;5
RU000A0JSZM9;D;20121003;000000;100.5600000;100.9000000;100.5600000;100.9000000;51162
RU000A0JSZM9;D;20121005;000000;101.0000000;101.0000000;100.5000000;100.5000000;2
RU000A0JSZM9;D;20121009;000000;100.8400000;101.2000000;100.8400000;101.2000000;50001
RU000A0JSZM9;D;20121012;000000;100.9300000;101.1800000;100.9300000;101.1800000;176110
RU000A0JSZM9;D;20121015;000000;101.0000000;101.0000000;100.9000000;100.9000000;2901
RU000A0JSZM9;D;20121016;000000;100.8000000;100.8000000;100.8000000;100.8000000;1855
RU000A0JSZM9;D;20121018;000000;100.8000000;100.8000000;100.7000000;100.7000000;156270
RU000A0JSZM9;D;20121019;000000;100.9500000;100.9500000;100.9500000;100.9500000;150
RU000A0JSZM9;D;20121022;000000;100.7500000;100.7800000;100.7500000;100.7800000;15300
RU000A0JSZM9;D;20121023;000000;100.5000000;100.5000000;100.5000000;100.5000000;12300
RU000A0JSZM9;D;20121025;000000;100.7000000;100.7300000;100.7000000;100.7300000;17720
RU000A0JSZM9;D;20121026;000000;100.5000000;100.5000000;100.5000000;100.5000000;2220
RU000A0JSZM9;D;20121030;000000;100.6500000;100.6500000;100.6500000;100.6500000;21120
RU000A0JSZM9;D;20121031;000000;100.4500000;100.6500000;100.4500000;100.6500000;23402
RU000A0JSZM9;D;20121101;000000;100.6000000;100.6000000;100.6000000;100.6000000;2740
RU000A0JSZM9;D;20121112;000000;100.6500000;100.6500000;100.6000000;100.6000000;9067
RU000A0JSZM9;D;20121113;000000;100.6000000;100.6000000;100.5500000;100.5500000;3190
RU000A0JSZM9;D;20121116;000000;100.6000000;100.6500000;100.6000000;100.6500000;5200
RU000A0JSZM9;D;20121119;000000;100.6000000;100.6000000;100.6000000;100.6000000;7000
RU000A0JSZM9;D;20121121;000000;100.7500000;100.7500000;100.7500000;100.7500000;1600
RU000A0JSZM9;D;20121128;000000;100.1500000;100.7500000;100.1500000;100.6500000;77761
RU000A0JSZM9;D;20121129;000000;100.6500000;100.6500000;100.5600000;100.5600000;3350
RU000A0JSZM9;D;20121130;000000;100.5900000;100.6000000;100.5900000;100.6000000;7600
RU000A0JSZM9;D;20121203;000000;100.5800000;100.5800000;100.5800000;100.5800000;5400
RU000A0JSZM9;D;20121204;000000;100.4000000;100.4000000;100.4000000;100.4000000;170
RU000A0JSZM9;D;20121205;000000;100.5000000;100.5000000;100.5000000;100.5000000;1931
RU000A0JSZM9;D;20121206;000000;100.5500000;100.5500000;100.5500000;100.5500000;500
RU000A0JSZM9;D;20121212;000000;100.5000000;100.5000000;100.4900000;100.4900000;9405
RU000A0JSZM9;D;20121214;000000;100.5300000;100.5300000;100.5300000;100.5300000;15600
RU000A0JSZM9;D;20121218;000000;100.7400000;100.7400000;100.7400000;100.7400000;2000
RU000A0JSZM9;D;20121220;000000;100.6500000;100.6500000;100.5000000;100.5300000;22470
RU000A0JSZM9;D;20121221;000000;100.6000000;100.6000000;100.6000000;100.6000000;50000
RU000A0JSZM9;D;20121226;000000;100.6000000;100.6000000;100.6000000;100.6000000;231227
RU000A0JSZM9;D;20121227;000000;100.6000000;100.7000000;100.6000000;100.7000000;9650
RU000A0JSZM9;D;20121228;000000;101.0000000;101.3200000;100.6000000;100.6000000;3760
RU000A0JSZM9;D;20130116;000000;100.6000000;100.6000000;100.6000000;100.6000000;140
RU000A0JSZM9;D;20130118;000000;101.1000000;101.1000000;101.1000000;101.1000000;1
RU000A0JSZM9;D;20130121;000000;101.0000000;101.0000000;101.0000000;101.0000000;10000
RU000A0JSZM9;D;20130122;000000;100.9000000;100.9000000;100.9000000;100.9000000;435
RU000A0JSZM9;D;20130123;000000;100.9000000;100.9300000;100.9000000;100.9000000;20660
RU000A0JSZM9;D;20130124;000000;100.8900000;100.9200000;100.8900000;100.9000000;28430
RU000A0JSZM9;D;20130125;000000;101.1000000;101.1000000;100.5700000;100.6000000;56500
