<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A0JRN45;D;20110729;000000;100.0000000;100.4000000;100.0000000;100.0000000;134207
RU000A0JRN45;D;20110801;000000;100.0000000;100.0100000;100.0000000;100.0100000;73440
RU000A0JRN45;D;20110802;000000;100.2000000;100.2000000;100.2000000;100.2000000;100000
RU000A0JRN45;D;20110803;000000;100.4500000;100.4500000;100.1000000;100.2000000;49480
RU000A0JRN45;D;20110804;000000;100.1500000;100.1500000;100.0000000;100.0000000;18002
RU000A0JRN45;D;20110805;000000;100.6500000;100.6500000;100.6500000;100.6500000;70000
RU000A0JRN45;D;20110808;000000;100.1000000;100.1000000;100.1000000;100.1000000;30000
RU000A0JRN45;D;20110809;000000;100.0300000;100.0300000;100.0000000;100.0000000;300000
RU000A0JRN45;D;20110811;000000;97.8500000;97.8500000;97.8500000;97.8500000;30000
RU000A0JRN45;D;20110822;000000;99.0000000;99.0000000;99.0000000;99.0000000;5
RU000A0JRN45;D;20110823;000000;97.5000000;98.0000000;97.5000000;98.0000000;58000
RU000A0JRN45;D;20110824;000000;98.0000000;98.0000000;98.0000000;98.0000000;1000
RU000A0JRN45;D;20110825;000000;98.0000000;98.0000000;98.0000000;98.0000000;1000
RU000A0JRN45;D;20110826;000000;98.5000000;98.5000000;98.5000000;98.5000000;5
RU000A0JRN45;D;20110829;000000;100.0000000;100.0000000;100.0000000;100.0000000;3
RU000A0JRN45;D;20110922;000000;97.0000000;97.0000000;96.0000000;96.0000000;2000
RU000A0JRN45;D;20110923;000000;95.2500000;95.2500000;95.2500000;95.2500000;1000
RU000A0JRN45;D;20110927;000000;98.0000000;98.0000000;98.0000000;98.0000000;1
RU000A0JRN45;D;20110930;000000;96.0000000;96.0000000;96.0000000;96.0000000;1
RU000A0JRN45;D;20111003;000000;96.5000000;96.5000000;96.5000000;96.5000000;1
RU000A0JRN45;D;20111004;000000;94.2500000;94.2500000;94.2500000;94.2500000;1000
RU000A0JRN45;D;20111005;000000;96.0000000;96.0000000;96.0000000;96.0000000;2
RU000A0JRN45;D;20111028;000000;95.0000000;95.0000000;95.0000000;95.0000000;2
RU000A0JRN45;D;20111101;000000;95.0000000;95.0000000;95.0000000;95.0000000;2
RU000A0JRN45;D;20111103;000000;93.0000000;93.0000000;93.0000000;93.0000000;80000
RU000A0JRN45;D;20111107;000000;94.0000000;94.0000000;94.0000000;94.0000000;1
RU000A0JRN45;D;20111108;000000;94.0000000;94.0000000;94.0000000;94.0000000;8
RU000A0JRN45;D;20111109;000000;94.0000000;94.0000000;94.0000000;94.0000000;2
RU000A0JRN45;D;20111114;000000;93.1000000;93.1000000;93.1000000;93.1000000;87
RU000A0JRN45;D;20111115;000000;92.9500000;92.9500000;92.9500000;92.9500000;320
RU000A0JRN45;D;20111116;000000;92.7000000;92.7000000;92.6000000;92.6000000;1000
RU000A0JRN45;D;20111117;000000;92.5000000;92.6000000;92.4000000;92.6000000;1003
RU000A0JRN45;D;20111118;000000;92.3100000;92.3100000;92.2000000;92.2000000;1600
RU000A0JRN45;D;20111123;000000;92.0000000;92.0000000;92.0000000;92.0000000;1
RU000A0JRN45;D;20111125;000000;92.2500000;92.2500000;92.2500000;92.2500000;1
RU000A0JRN45;D;20111128;000000;92.2500000;92.2500000;92.2500000;92.2500000;100
RU000A0JRN45;D;20111129;000000;92.2500000;92.3000000;92.2500000;92.3000000;200
RU000A0JRN45;D;20111130;000000;92.2500000;92.2500000;92.2500000;92.2500000;6
RU000A0JRN45;D;20111201;000000;92.0000000;92.0000000;91.8000000;91.9000000;21654
