<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A0ZZBJ7;D;20180629;000000;100.4500000;100.4500000;100.4500000;100.4500000;472
RU000A0ZZBJ7;D;20180702;000000;100.4500000;100.4500000;100.4500000;100.4500000;613
RU000A0ZZBJ7;D;20180703;000000;100.4500000;100.4500000;100.4500000;100.4500000;382
RU000A0ZZBJ7;D;20180706;000000;100.6000000;100.6000000;100.5000000;100.6000000;866
RU000A0ZZBJ7;D;20180709;000000;100.6000000;100.6000000;100.4200000;100.6000000;73
RU000A0ZZBJ7;D;20180710;000000;100.6000000;100.6000000;100.6000000;100.6000000;3
RU000A0ZZBJ7;D;20180711;000000;100.6000000;100.6000000;100.6000000;100.6000000;1
RU000A0ZZBJ7;D;20180712;000000;100.6000000;100.6000000;100.6000000;100.6000000;50
RU000A0ZZBJ7;D;20180713;000000;100.6000000;100.6000000;100.6000000;100.6000000;39
RU000A0ZZBJ7;D;20180716;000000;100.6000000;100.6000000;100.6000000;100.6000000;10
RU000A0ZZBJ7;D;20180717;000000;100.6000000;100.6000000;100.6000000;100.6000000;230
RU000A0ZZBJ7;D;20180718;000000;100.6000000;100.6000000;100.6000000;100.6000000;101
RU000A0ZZBJ7;D;20180719;000000;100.6000000;100.6000000;100.6000000;100.6000000;35
RU000A0ZZBJ7;D;20180726;000000;100.6000000;100.6000000;100.6000000;100.6000000;47
RU000A0ZZBJ7;D;20180806;000000;100.6500000;100.6500000;100.6500000;100.6500000;5
RU000A0ZZBJ7;D;20180808;000000;100.6500000;100.6500000;100.6500000;100.6500000;1
RU000A0ZZBJ7;D;20180827;000000;100.8000000;100.8000000;100.8000000;100.8000000;42
RU000A0ZZBJ7;D;20180831;000000;100.1700000;100.1700000;100.1700000;100.1700000;6
RU000A0ZZBJ7;D;20180903;000000;101.1700000;101.1700000;101.1700000;101.1700000;11
RU000A0ZZBJ7;D;20180920;000000;101.1700000;101.1700000;101.1700000;101.1700000;6
RU000A0ZZBJ7;D;20181004;000000;98.4000000;98.9900000;98.4000000;98.9500000;3875
RU000A0ZZBJ7;D;20181005;000000;98.9500000;98.9500000;98.9500000;98.9500000;1
RU000A0ZZBJ7;D;20181008;000000;99.0000000;99.0000000;98.1500000;98.9000000;110
RU000A0ZZBJ7;D;20181015;000000;98.9000000;98.9000000;98.9000000;98.9000000;1951
RU000A0ZZBJ7;D;20181024;000000;98.9000000;98.9000000;98.9000000;98.9000000;60
RU000A0ZZBJ7;D;20181025;000000;98.5000000;98.5000000;98.5000000;98.5000000;20
RU000A0ZZBJ7;D;20181029;000000;98.5000000;98.5000000;98.5000000;98.5000000;359
RU000A0ZZBJ7;D;20181030;000000;98.2500000;98.2500000;98.2500000;98.2500000;111
RU000A0ZZBJ7;D;20181102;000000;98.5000000;98.5000000;98.5000000;98.5000000;40
RU000A0ZZBJ7;D;20181106;000000;98.5000000;98.5000000;98.5000000;98.5000000;1
RU000A0ZZBJ7;D;20181107;000000;98.5000000;98.5000000;98.5000000;98.5000000;33
RU000A0ZZBJ7;D;20181113;000000;98.8900000;98.8900000;98.8900000;98.8900000;36
RU000A0ZZBJ7;D;20181114;000000;98.9000000;98.9000000;98.9000000;98.9000000;35
RU000A0ZZBJ7;D;20181115;000000;98.5000000;98.5000000;98.5000000;98.5000000;21
RU000A0ZZBJ7;D;20181120;000000;98.9000000;98.9000000;98.9000000;98.9000000;2
RU000A0ZZBJ7;D;20181121;000000;98.5000000;98.5000000;98.5000000;98.5000000;550
RU000A0ZZBJ7;D;20181126;000000;98.9000000;98.9000000;98.5000000;98.5000000;314
RU000A0ZZBJ7;D;20181127;000000;98.5000000;98.5000000;98.5000000;98.5000000;252
RU000A0ZZBJ7;D;20181128;000000;98.5000000;98.5000000;98.5000000;98.5000000;20
RU000A0ZZBJ7;D;20181129;000000;98.5000000;98.5000000;98.5000000;98.5000000;10
RU000A0ZZBJ7;D;20181130;000000;98.5000000;98.5000000;98.5000000;98.5000000;137
RU000A0ZZBJ7;D;20181203;000000;98.5000000;98.5000000;98.5000000;98.5000000;8
RU000A0ZZBJ7;D;20181204;000000;98.5000000;98.5000000;98.5000000;98.5000000;373
RU000A0ZZBJ7;D;20181205;000000;98.5000000;98.5000000;98.5000000;98.5000000;5
