<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A0JS3U0;D;20120328;000000;100.7000000;101.2500000;100.1500000;100.5500000;375007
RU000A0JS3U0;D;20120329;000000;100.5500000;100.7500000;100.5500000;100.6500000;1989
RU000A0JS3U0;D;20120330;000000;100.0000000;100.6500000;100.0000000;100.6500000;10001
RU000A0JS3U0;D;20120402;000000;100.5500000;100.6200000;100.2500000;100.2500000;185643
RU000A0JS3U0;D;20120403;000000;100.0100000;100.8000000;100.0100000;100.6500000;115957
RU000A0JS3U0;D;20120404;000000;100.6000000;100.8000000;100.6000000;100.8000000;208
RU000A0JS3U0;D;20120405;000000;100.6000000;100.6000000;100.5500000;100.5500000;3001
RU000A0JS3U0;D;20120406;000000;100.6000000;100.6000000;100.6000000;100.6000000;1300
RU000A0JS3U0;D;20120409;000000;100.4500000;100.4500000;100.4500000;100.4500000;20000
RU000A0JS3U0;D;20120410;000000;100.7500000;100.7500000;100.4200000;100.4200000;103302
RU000A0JS3U0;D;20120411;000000;100.2500000;100.7000000;100.2500000;100.3500000;65531
RU000A0JS3U0;D;20120412;000000;100.3700000;100.4400000;100.1000000;100.1000000;230005
RU000A0JS3U0;D;20120413;000000;100.3500000;100.5000000;100.3500000;100.5000000;12422
RU000A0JS3U0;D;20120416;000000;100.4500000;100.5000000;100.0000000;100.4900000;411002
RU000A0JS3U0;D;20120417;000000;100.5000000;100.5000000;100.1000000;100.4500000;200052
RU000A0JS3U0;D;20120418;000000;100.3500000;100.4000000;100.3500000;100.4000000;1728
RU000A0JS3U0;D;20120419;000000;100.4500000;102.0000000;100.4000000;101.4000000;139607
RU000A0JS3U0;D;20120420;000000;100.9900000;101.4700000;100.9900000;101.3600000;781579
RU000A0JS3U0;D;20120423;000000;101.3400000;101.4000000;101.0000000;101.2000000;282645
RU000A0JS3U0;D;20120424;000000;101.0000000;101.1500000;100.6500000;101.1500000;55001
RU000A0JS3U0;D;20120425;000000;101.2600000;101.2600000;101.2000000;101.2000000;155522
RU000A0JS3U0;D;20120426;000000;101.3000000;101.3000000;101.2500000;101.2500000;10000
RU000A0JS3U0;D;20120427;000000;101.2000000;101.3100000;101.2000000;101.2200000;178981
RU000A0JS3U0;D;20120428;000000;101.7500000;101.7500000;101.3500000;101.3500000;302
RU000A0JS3U0;D;20120502;000000;101.8000000;101.8000000;101.2500000;101.3200000;186400
RU000A0JS3U0;D;20120503;000000;101.4000000;101.4000000;100.7500000;100.7800000;65001
RU000A0JS3U0;D;20120504;000000;101.3000000;101.3000000;101.3000000;101.3000000;10000
RU000A0JS3U0;D;20120505;000000;101.0000000;101.2500000;101.0000000;101.0500000;8333
RU000A0JS3U0;D;20120510;000000;101.2500000;101.2500000;100.9000000;100.9000000;223550
RU000A0JS3U0;D;20120511;000000;101.1000000;101.1000000;100.9000000;100.9000000;10211
RU000A0JS3U0;D;20120512;000000;101.1000000;101.1000000;101.0000000;101.0000000;3
RU000A0JS3U0;D;20120514;000000;101.0000000;101.1500000;100.9000000;101.1500000;59002
RU000A0JS3U0;D;20120515;000000;100.7000000;101.1500000;100.7000000;101.1500000;2001
RU000A0JS3U0;D;20120516;000000;100.5000000;100.5000000;100.5000000;100.5000000;1
RU000A0JS3U0;D;20120517;000000;100.5000000;100.6000000;100.4000000;100.4000000;144000
RU000A0JS3U0;D;20120521;000000;100.2000000;100.4000000;100.2000000;100.4000000;122000
RU000A0JS3U0;D;20120522;000000;100.4000000;100.4300000;100.0000000;100.4000000;177607
RU000A0JS3U0;D;20120523;000000;100.3500000;100.4000000;100.0000000;100.0000000;349482
RU000A0JS3U0;D;20120525;000000;100.3000000;100.3300000;100.1000000;100.1000000;175001
RU000A0JS3U0;D;20120529;000000;100.2500000;100.2500000;100.0000000;100.1300000;100001
RU000A0JS3U0;D;20120601;000000;99.8000000;99.8000000;99.8000000;99.8000000;1
RU000A0JS3U0;D;20120605;000000;99.7000000;99.7000000;99.7000000;99.7000000;50000
RU000A0JS3U0;D;20120607;000000;99.7000000;100.4000000;99.7000000;100.4000000;11
RU000A0JS3U0;D;20120608;000000;99.6000000;99.6000000;99.6000000;99.6000000;1
RU000A0JS3U0;D;20120609;000000;99.6000000;99.6000000;99.6000000;99.6000000;1
RU000A0JS3U0;D;20120613;000000;99.4000000;99.4200000;99.4000000;99.4200000;50001
RU000A0JS3U0;D;20120618;000000;100.2900000;100.9500000;99.7500000;99.7500000;1502
RU000A0JS3U0;D;20120620;000000;99.9000000;99.9000000;99.7000000;99.8000000;201501
RU000A0JS3U0;D;20120625;000000;99.8500000;99.8500000;99.8500000;99.8500000;1
RU000A0JS3U0;D;20120626;000000;99.9000000;99.9000000;99.9000000;99.9000000;54702
RU000A0JS3U0;D;20120628;000000;100.0000000;100.0000000;99.7500000;99.7500000;50001
RU000A0JS3U0;D;20120629;000000;99.5000000;100.0000000;99.5000000;100.0000000;635
RU000A0JS3U0;D;20120702;000000;100.0000000;100.0000000;100.0000000;100.0000000;1
