<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A0JTYL2;D;20130715;000000;100.0000000;100.1500000;100.0000000;100.1500000;1100001
RU000A0JTYL2;D;20130716;000000;100.5000000;100.5000000;100.5000000;100.5000000;1500
RU000A0JTYL2;D;20130717;000000;100.0000000;100.0000000;100.0000000;100.0000000;1
RU000A0JTYL2;D;20130718;000000;100.6500000;100.6500000;100.6500000;100.6500000;10
RU000A0JTYL2;D;20130730;000000;100.0000000;100.0000000;100.0000000;100.0000000;60000
RU000A0JTYL2;D;20130806;000000;100.0000000;100.0000000;100.0000000;100.0000000;1
RU000A0JTYL2;D;20130809;000000;100.0000000;100.2500000;100.0000000;100.2500000;1501
RU000A0JTYL2;D;20130812;000000;99.9700000;99.9700000;99.9700000;99.9700000;1
RU000A0JTYL2;D;20130816;000000;100.3500000;100.3500000;100.0000000;100.0000000;341002
RU000A0JTYL2;D;20130819;000000;90.0000000;100.1500000;90.0000000;99.9000000;350002
RU000A0JTYL2;D;20130821;000000;99.9000000;99.9000000;99.9000000;99.9000000;1
RU000A0JTYL2;D;20130826;000000;100.0000000;100.0000000;100.0000000;100.0000000;1
RU000A0JTYL2;D;20130827;000000;99.9900000;99.9900000;99.9000000;99.9000000;54990
RU000A0JTYL2;D;20130918;000000;100.0300000;100.0800000;100.0300000;100.0800000;2
RU000A0JTYL2;D;20130919;000000;100.1700000;100.2100000;100.0700000;100.1100000;450000
RU000A0JTYL2;D;20130924;000000;100.2500000;100.2500000;100.2000000;100.2000000;100500
RU000A0JTYL2;D;20130930;000000;100.3000000;100.5000000;100.3000000;100.5000000;50000
RU000A0JTYL2;D;20131001;000000;100.1500000;100.3000000;100.1500000;100.1500000;50301
RU000A0JTYL2;D;20131002;000000;99.5000000;100.2500000;99.5000000;100.2500000;22
RU000A0JTYL2;D;20131004;000000;100.2500000;100.2800000;100.2500000;100.2800000;71800
RU000A0JTYL2;D;20131008;000000;100.2500000;100.2500000;100.2500000;100.2500000;8000
RU000A0JTYL2;D;20131010;000000;100.2300000;100.2300000;100.2000000;100.2000000;7000
RU000A0JTYL2;D;20131014;000000;100.2500000;100.2500000;100.2500000;100.2500000;1
RU000A0JTYL2;D;20131016;000000;100.0000000;100.0000000;100.0000000;100.0000000;1
RU000A0JTYL2;D;20131017;000000;100.2000000;100.2000000;100.2000000;100.2000000;1
RU000A0JTYL2;D;20131024;000000;100.2500000;100.2500000;100.2500000;100.2500000;50000
RU000A0JTYL2;D;20131028;000000;100.3500000;100.3500000;100.3500000;100.3500000;150000
RU000A0JTYL2;D;20131030;000000;100.4500000;100.5000000;100.4500000;100.5000000;250000
RU000A0JTYL2;D;20131107;000000;100.5000000;100.5000000;100.5000000;100.5000000;1
RU000A0JTYL2;D;20131121;000000;100.4000000;100.4000000;100.4000000;100.4000000;5000
RU000A0JTYL2;D;20131218;000000;100.7000000;100.7000000;100.7000000;100.7000000;77612
RU000A0JTYL2;D;20131225;000000;100.5000000;100.7200000;100.5000000;100.7200000;10010
RU000A0JTYL2;D;20131226;000000;100.7000000;100.7000000;100.7000000;100.7000000;10000
RU000A0JTYL2;D;20131227;000000;100.7200000;100.7200000;100.7200000;100.7200000;37925
RU000A0JTYL2;D;20140122;000000;100.7200000;100.7200000;100.7200000;100.7200000;17000
RU000A0JTYL2;D;20140205;000000;100.7100000;100.7100000;100.7100000;100.7100000;1
RU000A0JTYL2;D;20140331;000000;100.0000000;100.0000000;100.0000000;100.0000000;22687
RU000A0JTYL2;D;20140410;000000;99.5000000;99.5000000;99.5000000;99.5000000;5001
RU000A0JTYL2;D;20140414;000000;99.0000000;99.0000000;99.0000000;99.0000000;5000
RU000A0JTYL2;D;20140429;000000;100.7700000;100.7700000;100.7700000;100.7700000;2687
RU000A0JTYL2;D;20140508;000000;100.7700000;100.7700000;100.7700000;100.7700000;13167
RU000A0JTYL2;D;20140521;000000;97.0000000;97.0000000;97.0000000;97.0000000;740
RU000A0JTYL2;D;20140529;000000;95.3500000;96.1000000;95.3500000;96.1000000;114260
RU000A0JTYL2;D;20140605;000000;97.0500000;97.0500000;97.0500000;97.0500000;655
RU000A0JTYL2;D;20140606;000000;98.0000000;98.0000000;98.0000000;98.0000000;650
RU000A0JTYL2;D;20140630;000000;96.5000000;96.5000000;96.5000000;96.5000000;1
RU000A0JTYL2;D;20140723;000000;95.7100000;95.7100000;95.7000000;95.7000000;55000
RU000A0JTYL2;D;20140725;000000;95.7000000;95.7000000;95.7000000;95.7000000;10
RU000A0JTYL2;D;20140729;000000;95.7000000;95.7000000;95.7000000;95.7000000;550
RU000A0JTYL2;D;20140811;000000;95.7000000;95.7000000;95.7000000;95.7000000;550
RU000A0JTYL2;D;20140821;000000;95.7000000;95.7200000;95.7000000;95.7200000;8615
RU000A0JTYL2;D;20140825;000000;95.7000000;95.7000000;95.7000000;95.7000000;550
RU000A0JTYL2;D;20140901;000000;96.6000000;96.6000000;96.6000000;96.6000000;1305
RU000A0JTYL2;D;20140902;000000;97.2200000;97.2200000;97.2200000;97.2200000;9818
RU000A0JTYL2;D;20140908;000000;96.5000000;96.5000000;96.5000000;96.5000000;13
RU000A0JTYL2;D;20140915;000000;96.2500000;96.2500000;96.2500000;96.2500000;550
RU000A0JTYL2;D;20140929;000000;96.2000000;96.2000000;96.2000000;96.2000000;550
RU000A0JTYL2;D;20141003;000000;94.1500000;94.1500000;94.1500000;94.1500000;5
RU000A0JTYL2;D;20141010;000000;93.0000000;93.0000000;93.0000000;93.0000000;1
RU000A0JTYL2;D;20141013;000000;96.1800000;96.2000000;96.1800000;96.2000000;550
RU000A0JTYL2;D;20141216;000000;85.0000000;85.0000000;85.0000000;85.0000000;1
RU000A0JTYL2;D;20150225;000000;94.9900000;96.0000000;94.9900000;96.0000000;1891
RU000A0JTYL2;D;20150227;000000;85.0100000;85.5200000;85.0000000;85.5000000;4900
RU000A0JTYL2;D;20150304;000000;85.5000000;85.5000000;85.5000000;85.5000000;4890
RU000A0JTYL2;D;20150318;000000;86.9900000;99.2200000;86.9900000;99.2200000;7012
RU000A0JTYL2;D;20150330;000000;86.3400000;86.3400000;86.3400000;86.3400000;42274
RU000A0JTYL2;D;20150331;000000;88.0000000;88.0000000;88.0000000;88.0000000;700
RU000A0JTYL2;D;20150401;000000;88.0100000;88.0100000;88.0100000;88.0100000;19540
RU000A0JTYL2;D;20150402;000000;88.0100000;88.0100000;88.0100000;88.0100000;12100
RU000A0JTYL2;D;20150403;000000;88.0100000;88.0100000;88.0100000;88.0100000;11825
