<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A0JUFU0;D;20140221;000000;100.0000000;100.0000000;100.0000000;100.0000000;10000
RU000A0JUFU0;D;20140225;000000;100.0000000;100.0000000;100.0000000;100.0000000;10000
RU000A0JUFU0;D;20140305;000000;100.0000000;100.0000000;100.0000000;100.0000000;10000
RU000A0JUFU0;D;20140407;000000;101.0000000;101.0000000;101.0000000;101.0000000;10000
RU000A0JUFU0;D;20140410;000000;101.0000000;101.0000000;101.0000000;101.0000000;10000
RU000A0JUFU0;D;20140414;000000;101.5000000;101.5000000;101.5000000;101.5000000;5000
RU000A0JUFU0;D;20140527;000000;101.5000000;101.5000000;101.5000000;101.5000000;10000
RU000A0JUFU0;D;20140714;000000;101.5000000;101.5000000;101.5000000;101.5000000;4250
RU000A0JUFU0;D;20140905;000000;101.2500000;101.2500000;101.2500000;101.2500000;5000
RU000A0JUFU0;D;20141002;000000;101.0000000;101.0000000;101.0000000;101.0000000;15000
RU000A0JUFU0;D;20150120;000000;95.0000000;95.0000000;95.0000000;95.0000000;240
RU000A0JUFU0;D;20150616;000000;94.0000000;94.0000000;94.0000000;94.0000000;1000
RU000A0JUFU0;D;20151223;000000;95.0000000;95.0000000;95.0000000;95.0000000;90
RU000A0JUFU0;D;20171019;000000;105.0000000;105.0000000;105.0000000;105.0000000;20
RU000A0JUFU0;D;20171124;000000;101.2500000;101.2500000;101.2500000;101.2500000;33550
RU000A0JUFU0;D;20171127;000000;101.2500000;101.2500000;101.2500000;101.2500000;13200
RU000A0JUFU0;D;20171130;000000;101.2700000;101.2700000;101.2700000;101.2700000;76000
RU000A0JUFU0;D;20171211;000000;101.2500000;101.2500000;101.2500000;101.2500000;14550
RU000A0JUFU0;D;20171215;000000;101.2500000;101.2500000;101.2500000;101.2500000;37781
RU000A0JUFU0;D;20171219;000000;101.5000000;101.5000000;101.5000000;101.5000000;37919
RU000A0JUFU0;D;20171220;000000;101.3900000;101.4000000;101.3900000;101.4000000;33000
RU000A0JUFU0;D;20171221;000000;101.5000000;101.5000000;101.5000000;101.5000000;50
RU000A0JUFU0;D;20171222;000000;101.3900000;101.4000000;101.3900000;101.4000000;64000
RU000A0JUFU0;D;20171226;000000;101.3900000;101.3900000;101.3900000;101.3900000;1
RU000A0JUFU0;D;20171228;000000;101.4000000;101.4000000;101.4000000;101.4000000;29600
RU000A0JUFU0;D;20171229;000000;101.4000000;101.4000000;101.4000000;101.4000000;5780
RU000A0JUFU0;D;20180111;000000;101.2700000;101.2700000;101.2700000;101.2700000;1046874
RU000A0JUFU0;D;20180112;000000;101.2700000;101.2700000;101.2700000;101.2700000;749075
RU000A0JUFU0;D;20180115;000000;101.2700000;101.2700000;101.2700000;101.2700000;149950
RU000A0JUFU0;D;20180123;000000;101.6000000;101.6000000;101.6000000;101.6000000;94
RU000A0JUFU0;D;20180130;000000;101.3000000;101.3000000;101.3000000;101.3000000;1000
RU000A0JUFU0;D;20180131;000000;101.3300000;101.3500000;101.3200000;101.3500000;4110000
RU000A0JUFU0;D;20180201;000000;101.3500000;101.3500000;101.3500000;101.3500000;1528000
RU000A0JUFU0;D;20180202;000000;101.4000000;101.4000000;101.3500000;101.3500000;300162
RU000A0JUFU0;D;20180205;000000;101.4000000;101.5500000;101.3800000;101.5500000;3189229
RU000A0JUFU0;D;20180206;000000;101.4000000;101.4000000;101.4000000;101.4000000;76850
RU000A0JUFU0;D;20180207;000000;101.4500000;101.4500000;101.4000000;101.4000000;277502
RU000A0JUFU0;D;20180208;000000;101.4500000;101.4500000;101.4500000;101.4500000;137570
RU000A0JUFU0;D;20180209;000000;101.4500000;101.6000000;101.4500000;101.6000000;4612
RU000A0JUFU0;D;20180214;000000;101.5000000;101.5000000;101.5000000;101.5000000;15937
RU000A0JUFU0;D;20180215;000000;101.5500000;101.5500000;101.5500000;101.5500000;6610
RU000A0JUFU0;D;20180216;000000;101.7500000;101.7500000;101.7500000;101.7500000;8600
RU000A0JUFU0;D;20180226;000000;102.0000000;102.0000000;102.0000000;102.0000000;15640
RU000A0JUFU0;D;20180227;000000;101.7000000;101.7000000;101.7000000;101.7000000;25000
RU000A0JUFU0;D;20180228;000000;101.6000000;101.6000000;101.5600000;101.5600000;2000
RU000A0JUFU0;D;20180301;000000;101.5000000;101.5000000;101.5000000;101.5000000;302
RU000A0JUFU0;D;20180302;000000;101.7000000;101.7000000;101.7000000;101.7000000;15705
RU000A0JUFU0;D;20180305;000000;101.7000000;101.7000000;101.7000000;101.7000000;25000
RU000A0JUFU0;D;20180306;000000;101.7000000;101.7000000;101.7000000;101.7000000;25000
RU000A0JUFU0;D;20180319;000000;101.4200000;101.4200000;101.4200000;101.4200000;10
RU000A0JUFU0;D;20180320;000000;101.7000000;101.7000000;101.7000000;101.7000000;10000
RU000A0JUFU0;D;20180322;000000;101.6500000;101.6500000;101.5900000;101.6500000;1240339
RU000A0JUFU0;D;20180327;000000;101.6500000;101.9900000;101.6500000;101.9900000;3306
RU000A0JUFU0;D;20180328;000000;101.7200000;101.7200000;101.6500000;101.6500000;510000
RU000A0JUFU0;D;20180330;000000;101.7200000;101.7200000;101.7200000;101.7200000;200000
RU000A0JUFU0;D;20180405;000000;101.6700000;101.6700000;101.6700000;101.6700000;1
RU000A0JUFU0;D;20180409;000000;101.4000000;101.4000000;101.4000000;101.4000000;39
RU000A0JUFU0;D;20180410;000000;101.4500000;101.4500000;101.4500000;101.4500000;14
RU000A0JUFU0;D;20180413;000000;101.4500000;101.4500000;101.4500000;101.4500000;1
RU000A0JUFU0;D;20180416;000000;101.4500000;101.4500000;101.4500000;101.4500000;285
RU000A0JUFU0;D;20180418;000000;101.0000000;101.2000000;101.0000000;101.2000000;12105
RU000A0JUFU0;D;20180427;000000;101.2000000;101.2000000;101.2000000;101.2000000;147500
RU000A0JUFU0;D;20180503;000000;101.7000000;101.7000000;101.7000000;101.7000000;50
RU000A0JUFU0;D;20180529;000000;101.1500000;101.1500000;101.1500000;101.1500000;10050
RU000A0JUFU0;D;20180530;000000;101.1500000;101.1500000;101.1500000;101.1500000;49
RU000A0JUFU0;D;20180618;000000;101.1500000;101.1500000;101.1500000;101.1500000;1
RU000A0JUFU0;D;20180712;000000;100.8500000;100.8500000;100.8500000;100.8500000;100
RU000A0JUFU0;D;20180713;000000;101.0500000;101.0500000;101.0500000;101.0500000;100000
RU000A0JUFU0;D;20180718;000000;101.1000000;101.1000000;101.1000000;101.1000000;10
RU000A0JUFU0;D;20180820;000000;96.5000000;96.5000000;96.5000000;96.5000000;1
RU000A0JUFU0;D;20180821;000000;100.0000000;100.4000000;100.0000000;100.4000000;151001
RU000A0JUFU0;D;20180822;000000;101.1900000;101.2000000;101.1900000;101.2000000;230
RU000A0JUFU0;D;20180831;000000;100.6000000;100.6000000;100.6000000;100.6000000;17534
RU000A0JUFU0;D;20180903;000000;100.6000000;100.6000000;100.6000000;100.6000000;21166
RU000A0JUFU0;D;20180906;000000;100.6000000;100.6000000;100.6000000;100.6000000;5190
RU000A0JUFU0;D;20180911;000000;100.5500000;100.6000000;100.5500000;100.6000000;2900
RU000A0JUFU0;D;20180914;000000;100.6000000;100.6000000;100.6000000;100.6000000;985
RU000A0JUFU0;D;20180917;000000;100.6000000;100.6000000;100.6000000;100.6000000;4
RU000A0JUFU0;D;20181001;000000;100.5000000;100.5000000;100.5000000;100.5000000;980
RU000A0JUFU0;D;20181002;000000;100.3500000;100.3500000;100.3500000;100.3500000;200
RU000A0JUFU0;D;20181003;000000;100.5000000;100.5000000;100.5000000;100.5000000;9020
RU000A0JUFU0;D;20181005;000000;99.4800000;100.5000000;98.0000000;100.5000000;154
RU000A0JUFU0;D;20181019;000000;100.0000000;100.4500000;100.0000000;100.4500000;12
RU000A0JUFU0;D;20181023;000000;100.3700000;100.3700000;100.3500000;100.3700000;18233
