<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A0ZYLG5;D;20191010;000000;101.7500000;101.7500000;101.7500000;101.7500000;2
RU000A0ZYLG5;D;20191029;000000;102.6500000;102.6500000;102.6500000;102.6500000;550
RU000A0ZYLG5;D;20191030;000000;102.6000000;102.7000000;102.6000000;102.7000000;2250000
RU000A0ZYLG5;D;20191031;000000;102.7000000;102.7000000;102.7000000;102.7000000;2
RU000A0ZYLG5;D;20191101;000000;102.7000000;102.7000000;102.7000000;102.7000000;1
RU000A0ZYLG5;D;20191119;000000;102.6500000;102.6500000;102.6500000;102.6500000;80000
RU000A0ZYLG5;D;20191213;000000;102.9500000;102.9500000;102.9500000;102.9500000;50000
RU000A0ZYLG5;D;20191217;000000;103.0000000;103.0000000;103.0000000;103.0000000;60009
RU000A0ZYLG5;D;20191219;000000;102.7600000;103.0400000;102.7600000;102.7600000;1008
RU000A0ZYLG5;D;20191226;000000;126.7900000;126.7900000;126.7900000;126.7900000;1
RU000A0ZYLG5;D;20191227;000000;100.0000000;103.0000000;100.0000000;103.0000000;2
RU000A0ZYLG5;D;20191230;000000;103.9000000;103.9000000;103.0000000;103.0000000;86
RU000A0ZYLG5;D;20200114;000000;103.5400000;103.5400000;103.5400000;103.5400000;50
RU000A0ZYLG5;D;20200115;000000;103.4900000;103.4900000;103.4900000;103.4900000;50
RU000A0ZYLG5;D;20200116;000000;103.4900000;103.5000000;103.4900000;103.5000000;174830
RU000A0ZYLG5;D;20200207;000000;104.0000000;104.0000000;104.0000000;104.0000000;200
RU000A0ZYLG5;D;20200217;000000;104.0000000;104.0000000;104.0000000;104.0000000;6
RU000A0ZYLG5;D;20200219;000000;103.9500000;103.9500000;103.9500000;103.9500000;1425
RU000A0ZYLG5;D;20200228;000000;103.7000000;103.7000000;103.7000000;103.7000000;1
RU000A0ZYLG5;D;20200312;000000;101.6500000;101.6500000;101.6500000;101.6500000;798293
RU000A0ZYLG5;D;20200330;000000;70.5400000;119.1300000;70.5400000;119.1300000;2
RU000A0ZYLG5;D;20200401;000000;119.1400000;119.1400000;119.1400000;119.1400000;1
RU000A0ZYLG5;D;20200413;000000;85.0100000;85.0100000;85.0100000;85.0100000;1
RU000A0ZYLG5;D;20200414;000000;119.0000000;119.0000000;119.0000000;119.0000000;1
