<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A0JV276;D;20141211;000000;100.0000000;100.0000000;100.0000000;100.0000000;1000
RU000A0JV276;D;20141212;000000;100.0000000;100.0000000;100.0000000;100.0000000;1
RU000A0JV276;D;20150317;000000;100.0000000;100.0000000;100.0000000;100.0000000;250
RU000A0JV276;D;20150319;000000;100.0500000;100.0500000;100.0500000;100.0500000;313
RU000A0JV276;D;20150320;000000;100.1500000;100.1500000;100.1500000;100.1500000;200
RU000A0JV276;D;20150323;000000;100.1500000;100.1600000;100.1500000;100.1500000;203
RU000A0JV276;D;20150324;000000;101.5000000;101.5000000;101.5000000;101.5000000;1
RU000A0JV276;D;20150414;000000;100.1700000;100.1700000;100.1700000;100.1700000;474
RU000A0JV276;D;20150709;000000;100.2000000;100.2000000;100.2000000;100.2000000;1
RU000A0JV276;D;20150803;000000;100.2000000;100.2000000;100.2000000;100.2000000;10
RU000A0JV276;D;20150804;000000;100.3000000;100.3000000;100.3000000;100.3000000;10
RU000A0JV276;D;20150831;000000;100.3000000;100.3000000;100.3000000;100.3000000;428
RU000A0JV276;D;20150901;000000;100.4300000;100.4300000;100.4300000;100.4300000;478
RU000A0JV276;D;20160113;000000;102.2000000;102.2000000;102.2000000;102.2000000;450
RU000A0JV276;D;20160118;000000;102.2200000;102.2200000;102.2200000;102.2200000;500
RU000A0JV276;D;20160218;000000;116.0000000;116.0000000;116.0000000;116.0000000;88
RU000A0JV276;D;20160219;000000;102.2200000;102.2200000;102.2200000;102.2200000;50
RU000A0JV276;D;20160220;000000;102.2100000;102.2100000;102.2100000;102.2100000;1100
RU000A0JV276;D;20160317;000000;102.2100000;102.2100000;102.2100000;102.2100000;500
RU000A0JV276;D;20160809;000000;102.2100000;102.2100000;102.2100000;102.2100000;500
RU000A0JV276;D;20180306;000000;101.8000000;101.8000000;101.8000000;101.8000000;500
RU000A0JV276;D;20180529;000000;100.0000000;101.5000000;100.0000000;101.5000000;550
RU000A0JV276;D;20180622;000000;100.0100000;100.0100000;100.0100000;100.0100000;10
RU000A0JV276;D;20180625;000000;100.0100000;100.0100000;100.0100000;100.0100000;10
RU000A0JV276;D;20181024;000000;100.0000000;100.0000000;100.0000000;100.0000000;500
RU000A0JV276;D;20190123;000000;100.0000000;100.0000000;100.0000000;100.0000000;500
RU000A0JV276;D;20190618;000000;100.0000000;100.0000000;100.0000000;100.0000000;500
RU000A0JV276;D;20191127;000000;101.0000000;101.0000000;101.0000000;101.0000000;500
RU000A0JV276;D;20200225;000000;101.0000000;101.1000000;101.0000000;101.1000000;501
