<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A1018K1;D;20191224;000000;100.0500000;100.1500000;100.0500000;100.0900000;114932
RU000A1018K1;D;20191225;000000;100.2000000;100.2500000;100.1000000;100.2500000;129207
RU000A1018K1;D;20191226;000000;100.3000000;100.3000000;100.3000000;100.3000000;7935
RU000A1018K1;D;20191227;000000;100.3000000;100.3000000;100.3000000;100.3000000;69830
RU000A1018K1;D;20191230;000000;100.7000000;102.3000000;100.2500000;100.4000000;1465
RU000A1018K1;D;20200103;000000;104.4000000;104.9600000;100.4100000;103.9900000;106
RU000A1018K1;D;20200106;000000;103.9100000;104.9100000;103.5000000;103.5000000;10
RU000A1018K1;D;20200108;000000;103.0000000;103.4900000;102.0000000;102.0000000;41
RU000A1018K1;D;20200109;000000;100.5200000;101.0000000;100.5200000;100.6800000;1041
RU000A1018K1;D;20200110;000000;100.7000000;100.7000000;100.3500000;100.3500000;1473
RU000A1018K1;D;20200113;000000;100.6800000;100.6800000;100.6400000;100.6400000;16395
RU000A1018K1;D;20200114;000000;100.6500000;100.8000000;100.5000000;100.6900000;31378
RU000A1018K1;D;20200115;000000;100.6900000;100.6900000;100.5100000;100.6400000;1314
RU000A1018K1;D;20200116;000000;100.6900000;100.6900000;100.6000000;100.6200000;6314
RU000A1018K1;D;20200117;000000;100.6000000;100.7000000;100.5100000;100.6900000;922
RU000A1018K1;D;20200120;000000;100.9000000;100.9000000;100.5500000;100.6900000;49038
RU000A1018K1;D;20200121;000000;100.9000000;100.9000000;100.5500000;100.6000000;880
RU000A1018K1;D;20200122;000000;101.0000000;101.0000000;100.5500000;100.6200000;4674
RU000A1018K1;D;20200123;000000;100.6000000;100.7000000;100.6000000;100.6100000;2016
RU000A1018K1;D;20200124;000000;100.6200000;100.6500000;100.6200000;100.6500000;2917
RU000A1018K1;D;20200127;000000;108.0000000;108.0000000;100.4700000;100.6000000;119606
RU000A1018K1;D;20200128;000000;100.9000000;100.9000000;100.2000000;100.5900000;16791
RU000A1018K1;D;20200129;000000;100.5000000;100.5900000;100.5000000;100.5900000;164961
RU000A1018K1;D;20200130;000000;100.6000000;100.6900000;100.5200000;100.5500000;162478
RU000A1018K1;D;20200131;000000;100.6000000;100.6400000;100.5500000;100.5800000;72570
RU000A1018K1;D;20200203;000000;100.5100000;100.6400000;100.5100000;100.5800000;4445
RU000A1018K1;D;20200204;000000;100.5700000;100.6400000;100.5700000;100.5700000;147126
RU000A1018K1;D;20200205;000000;118.7700000;118.7700000;100.5700000;100.6900000;539808
RU000A1018K1;D;20200206;000000;100.6900000;100.8100000;100.5800000;100.8000000;431212
RU000A1018K1;D;20200207;000000;100.8400000;100.8500000;100.6400000;100.8400000;1378
RU000A1018K1;D;20200210;000000;110.0000000;110.0000000;100.7000000;100.8500000;51420
RU000A1018K1;D;20200211;000000;100.9000000;100.9000000;100.8000000;100.9000000;6213
RU000A1018K1;D;20200212;000000;100.9000000;100.9900000;100.8000000;100.9900000;134320
