<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A0JQ5G6;D;20090623;000000;100.2000000;100.2000000;100.1700000;100.1700000;17000
RU000A0JQ5G6;D;20090701;000000;100.1500000;100.1500000;100.0000000;100.1500000;26510
RU000A0JQ5G6;D;20090702;000000;100.1500000;100.1500000;100.1500000;100.1500000;1500
RU000A0JQ5G6;D;20090706;000000;100.1700000;100.1700000;100.1500000;100.1500000;3000
RU000A0JQ5G6;D;20090708;000000;100.1500000;100.1500000;100.1500000;100.1500000;1000
RU000A0JQ5G6;D;20090720;000000;100.4000000;100.4000000;100.4000000;100.4000000;1000
RU000A0JQ5G6;D;20090721;000000;100.4500000;100.4500000;100.4500000;100.4500000;3000
RU000A0JQ5G6;D;20090722;000000;100.3000000;100.3000000;100.3000000;100.3000000;5000
RU000A0JQ5G6;D;20090819;000000;100.3200000;100.3200000;100.3200000;100.3200000;3000
RU000A0JQ5G6;D;20090821;000000;100.2600000;100.2600000;100.2600000;100.2600000;600
RU000A0JQ5G6;D;20090827;000000;100.4000000;100.4000000;100.4000000;100.4000000;1000
RU000A0JQ5G6;D;20090828;000000;100.6500000;100.6500000;100.6500000;100.6500000;5000
RU000A0JQ5G6;D;20090902;000000;100.7000000;100.7000000;100.7000000;100.7000000;1
RU000A0JQ5G6;D;20090907;000000;100.7000000;100.7000000;100.7000000;100.7000000;2
RU000A0JQ5G6;D;20090909;000000;100.7000000;100.7000000;100.7000000;100.7000000;1
RU000A0JQ5G6;D;20090911;000000;100.7000000;100.7000000;100.7000000;100.7000000;1000
RU000A0JQ5G6;D;20090921;000000;100.7000000;100.7000000;100.7000000;100.7000000;1
RU000A0JQ5G6;D;20091007;000000;101.0000000;101.0000000;101.0000000;101.0000000;9000
RU000A0JQ5G6;D;20091012;000000;101.0000000;101.0000000;101.0000000;101.0000000;175000
