<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A100L63;D;20190717;000000;101.0000000;101.2500000;101.0000000;101.2400000;1691
RU000A100L63;D;20190718;000000;101.4000000;101.4000000;101.2200000;101.2500000;1914
RU000A100L63;D;20190719;000000;102.0000000;102.0000000;101.2000000;101.2500000;3679
RU000A100L63;D;20190722;000000;101.2500000;101.2500000;101.2500000;101.2500000;3189
RU000A100L63;D;20190723;000000;101.2600000;101.2600000;101.2000000;101.2500000;1805
RU000A100L63;D;20190724;000000;101.2500000;101.2500000;101.2500000;101.2500000;1036
RU000A100L63;D;20190725;000000;101.2500000;101.5000000;101.2500000;101.5000000;10497
RU000A100L63;D;20190726;000000;101.2500000;101.7400000;101.2500000;101.2500000;152
RU000A100L63;D;20190729;000000;101.3000000;102.2400000;101.2500000;102.2400000;4468
RU000A100L63;D;20190730;000000;102.2500000;102.2500000;102.2300000;102.2400000;484
RU000A100L63;D;20190731;000000;101.7500000;101.9500000;101.7000000;101.7000000;4462
RU000A100L63;D;20190801;000000;101.9500000;101.9500000;101.2800000;101.9000000;678
RU000A100L63;D;20190802;000000;101.9000000;101.9000000;101.9000000;101.9000000;1099
RU000A100L63;D;20190805;000000;101.9000000;101.9000000;101.9000000;101.9000000;63
RU000A100L63;D;20190806;000000;101.7000000;101.9400000;101.7000000;101.9000000;932
RU000A100L63;D;20190807;000000;101.7000000;101.7000000;101.5000000;101.7000000;345
RU000A100L63;D;20190808;000000;101.7000000;101.7000000;101.4500000;101.4900000;725
RU000A100L63;D;20190809;000000;101.5000000;101.7500000;101.5000000;101.7500000;675
RU000A100L63;D;20190812;000000;101.7500000;101.7500000;101.7500000;101.7500000;1050
RU000A100L63;D;20190813;000000;101.7500000;101.7500000;101.5000000;101.5000000;678
RU000A100L63;D;20190814;000000;101.6000000;101.6000000;101.4000000;101.4000000;250
RU000A100L63;D;20190815;000000;101.1200000;101.7500000;101.1200000;101.7500000;4914
RU000A100L63;D;20190819;000000;101.2500000;101.2500000;101.2500000;101.2500000;10
RU000A100L63;D;20190820;000000;101.7500000;101.7500000;101.3500000;101.3500000;110
RU000A100L63;D;20190821;000000;101.7500000;101.7500000;101.6000000;101.6000000;851
RU000A100L63;D;20190822;000000;101.8500000;101.8500000;101.4000000;101.4000000;1144
RU000A100L63;D;20190823;000000;102.0000000;102.0000000;101.7400000;101.8400000;3264
RU000A100L63;D;20190826;000000;101.9400000;101.9400000;101.7000000;101.7300000;7577
RU000A100L63;D;20190827;000000;101.7500000;101.7500000;101.7500000;101.7500000;427
RU000A100L63;D;20190828;000000;102.0000000;102.0000000;101.6100000;101.7500000;1140
RU000A100L63;D;20190829;000000;101.6100000;101.7500000;101.6100000;101.7500000;268
RU000A100L63;D;20190830;000000;101.7500000;101.7500000;101.7500000;101.7500000;645
RU000A100L63;D;20190902;000000;101.8500000;101.8500000;101.7000000;101.7500000;3394
RU000A100L63;D;20190903;000000;101.8000000;101.8000000;101.7800000;101.8000000;2002
RU000A100L63;D;20190904;000000;101.8000000;101.8000000;101.6500000;101.8000000;1149
RU000A100L63;D;20190905;000000;101.7900000;101.8000000;101.7000000;101.8000000;11191
RU000A100L63;D;20190906;000000;101.8000000;102.2000000;101.7000000;101.8500000;19094
RU000A100L63;D;20190909;000000;102.3000000;102.4500000;102.1400000;102.4500000;11587
RU000A100L63;D;20190910;000000;102.5000000;102.5000000;102.3000000;102.5000000;2172
RU000A100L63;D;20190911;000000;102.5000000;102.5000000;102.4900000;102.5000000;2078
RU000A100L63;D;20190912;000000;102.6000000;102.6000000;102.4100000;102.6000000;546
RU000A100L63;D;20190913;000000;102.6000000;102.8500000;102.5400000;102.8500000;1082
RU000A100L63;D;20190916;000000;102.6000000;102.7000000;102.6000000;102.6400000;111
RU000A100L63;D;20190917;000000;102.6000000;102.6500000;102.6000000;102.6500000;1810
RU000A100L63;D;20190918;000000;102.8000000;102.8000000;102.5500000;102.7500000;901
RU000A100L63;D;20190919;000000;102.3000000;102.7500000;102.3000000;102.7000000;350
RU000A100L63;D;20190920;000000;102.7000000;102.7000000;102.6900000;102.7000000;1098
RU000A100L63;D;20190923;000000;102.7900000;103.0000000;102.5500000;102.6500000;244
RU000A100L63;D;20190924;000000;102.6500000;102.6500000;102.3000000;102.6500000;3033
RU000A100L63;D;20190925;000000;102.7400000;102.7400000;102.5000000;102.7400000;541
RU000A100L63;D;20190926;000000;102.7000000;102.7300000;102.5000000;102.7300000;1481
RU000A100L63;D;20190927;000000;102.3400000;102.7000000;102.3000000;102.6000000;489
RU000A100L63;D;20190930;000000;102.7300000;102.7300000;102.7000000;102.7300000;1016
RU000A100L63;D;20191001;000000;102.7300000;102.7300000;102.3000000;102.7300000;2179
RU000A100L63;D;20191002;000000;102.7200000;102.7300000;102.7200000;102.7200000;610
RU000A100L63;D;20191003;000000;102.6000000;102.7200000;102.6000000;102.7000000;1833
RU000A100L63;D;20191004;000000;102.7500000;102.7500000;102.6500000;102.6500000;293
RU000A100L63;D;20191007;000000;102.6500000;102.7500000;102.6500000;102.7500000;987
RU000A100L63;D;20191008;000000;102.8000000;102.8000000;102.8000000;102.8000000;661
RU000A100L63;D;20191009;000000;103.0000000;103.0000000;102.6000000;103.0000000;706
RU000A100L63;D;20191010;000000;103.1000000;103.1000000;102.8300000;102.9000000;1958
RU000A100L63;D;20191011;000000;103.1900000;103.2000000;102.7500000;103.0000000;4704
RU000A100L63;D;20191014;000000;103.2200000;103.5000000;102.6700000;103.2500000;2964
RU000A100L63;D;20191015;000000;103.2000000;103.2000000;103.1500000;103.2000000;598
RU000A100L63;D;20191016;000000;103.2000000;103.2400000;103.1900000;103.2400000;4200
RU000A100L63;D;20191017;000000;103.2400000;103.2400000;103.2000000;103.2400000;4047
RU000A100L63;D;20191018;000000;103.5000000;103.7000000;103.2500000;103.5000000;2816
RU000A100L63;D;20191021;000000;103.5000000;103.8500000;103.2800000;103.8500000;1539
RU000A100L63;D;20191022;000000;103.8900000;103.9900000;103.8900000;103.9000000;3473
RU000A100L63;D;20191023;000000;103.9900000;103.9900000;103.9100000;103.9900000;631
RU000A100L63;D;20191024;000000;103.9800000;104.3500000;103.9000000;104.3500000;2590
RU000A100L63;D;20191025;000000;104.4800000;104.5000000;104.0000000;104.1000000;6245
RU000A100L63;D;20191028;000000;104.9900000;105.0000000;104.1000000;105.0000000;1335
RU000A100L63;D;20191029;000000;105.0000000;105.0000000;104.6500000;105.0000000;616
RU000A100L63;D;20191030;000000;105.0000000;105.4500000;104.5000000;105.4500000;1052
RU000A100L63;D;20191031;000000;105.0000000;105.1000000;104.3200000;105.1000000;398
RU000A100L63;D;20191101;000000;105.4500000;105.4500000;105.0000000;105.4400000;1335
RU000A100L63;D;20191105;000000;105.0600000;105.4700000;105.0600000;105.3500000;477
RU000A100L63;D;20191106;000000;105.4000000;105.4000000;104.9100000;105.3000000;2159
RU000A100L63;D;20191107;000000;105.4700000;105.4700000;105.3000000;105.3400000;1805
RU000A100L63;D;20191108;000000;105.4700000;105.5000000;104.9000000;104.9000000;1578
RU000A100L63;D;20191111;000000;105.4600000;105.5000000;105.0000000;105.4800000;1049
RU000A100L63;D;20191112;000000;105.5000000;105.5000000;104.6600000;105.4000000;677
RU000A100L63;D;20191113;000000;105.4700000;105.5000000;105.1100000;105.4200000;1499
RU000A100L63;D;20191114;000000;105.5000000;105.5000000;105.2700000;105.2700000;121
RU000A100L63;D;20191115;000000;105.4900000;105.5000000;105.2000000;105.2000000;695
RU000A100L63;D;20191118;000000;105.0000000;105.5000000;105.0000000;105.1000000;165
RU000A100L63;D;20191119;000000;106.0000000;106.0000000;104.8000000;105.2000000;932
RU000A100L63;D;20191120;000000;105.6600000;105.9800000;104.9700000;105.6100000;1152
RU000A100L63;D;20191121;000000;105.3000000;105.6000000;105.2300000;105.4500000;277
RU000A100L63;D;20191122;000000;105.5900000;105.5900000;105.3000000;105.5000000;472
RU000A100L63;D;20191125;000000;105.5000000;105.5000000;105.3000000;105.3000000;253
RU000A100L63;D;20191126;000000;105.0900000;105.1000000;104.8000000;104.9000000;1379
RU000A100L63;D;20191127;000000;105.4500000;105.4500000;104.8100000;105.4000000;371
RU000A100L63;D;20191128;000000;105.4600000;105.4600000;105.3100000;105.4300000;3427
RU000A100L63;D;20191129;000000;105.4300000;105.4300000;104.9300000;105.2200000;470
RU000A100L63;D;20191202;000000;105.4500000;105.4600000;105.0600000;105.3800000;211
RU000A100L63;D;20191203;000000;105.3900000;105.7400000;105.3400000;105.4700000;2234
RU000A100L63;D;20191204;000000;105.4600000;105.7400000;105.1500000;105.2000000;490
RU000A100L63;D;20191205;000000;105.7500000;105.7500000;105.0500000;105.2000000;824
RU000A100L63;D;20191206;000000;105.7400000;105.7400000;103.3300000;105.4900000;3667
RU000A100L63;D;20191209;000000;105.2000000;105.4000000;104.7200000;105.3500000;1220
RU000A100L63;D;20191210;000000;105.3500000;105.3500000;104.7300000;105.1500000;249
RU000A100L63;D;20191211;000000;105.3000000;105.3300000;104.7800000;104.8000000;441
RU000A100L63;D;20191212;000000;105.3300000;105.3300000;104.7900000;105.3300000;2103
RU000A100L63;D;20191213;000000;105.9000000;105.9000000;104.8100000;105.4800000;1304
RU000A100L63;D;20191216;000000;105.7100000;105.7100000;104.8100000;105.0000000;1801
RU000A100L63;D;20191217;000000;105.0900000;105.4000000;104.8400000;105.3800000;192
RU000A100L63;D;20191218;000000;104.7900000;105.2900000;104.7100000;105.2900000;1366
RU000A100L63;D;20191219;000000;105.3500000;105.3500000;104.8000000;105.3500000;530
RU000A100L63;D;20191220;000000;105.4800000;105.4800000;104.8000000;105.4700000;3388
RU000A100L63;D;20191223;000000;105.4600000;105.6700000;105.0300000;105.6700000;2681
RU000A100L63;D;20191224;000000;105.4600000;106.0000000;104.9300000;105.6700000;782
RU000A100L63;D;20191225;000000;106.3000000;106.3000000;105.3700000;106.2900000;881
RU000A100L63;D;20191226;000000;105.7300000;105.8000000;105.5300000;105.8000000;1330
RU000A100L63;D;20191227;000000;106.5000000;106.5000000;105.9000000;106.0000000;3226
RU000A100L63;D;20191230;000000;106.5000000;106.7000000;105.0000000;106.3000000;13699
RU000A100L63;D;20200103;000000;106.3000000;106.7500000;105.7200000;106.7400000;737
RU000A100L63;D;20200106;000000;106.7000000;107.4000000;106.0300000;107.4000000;254
RU000A100L63;D;20200108;000000;107.6500000;107.6500000;107.2400000;107.2500000;495
RU000A100L63;D;20200109;000000;107.6500000;107.6500000;106.3300000;107.3400000;571
RU000A100L63;D;20200110;000000;107.3400000;107.5200000;106.5000000;107.5200000;1123
