<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A1015A8;D;20191210;000000;100.2000000;100.3000000;100.2000000;100.3000000;1879
RU000A1015A8;D;20191211;000000;100.3000000;100.3000000;100.1400000;100.1400000;763
RU000A1015A8;D;20191212;000000;100.4900000;100.4900000;100.1400000;100.1800000;17191
RU000A1015A8;D;20191213;000000;100.1900000;100.7600000;100.1900000;100.7000000;939
RU000A1015A8;D;20191216;000000;100.5000000;100.5000000;100.4000000;100.4000000;6995
RU000A1015A8;D;20191217;000000;100.5000000;100.5000000;100.3500000;100.3900000;9224
RU000A1015A8;D;20191218;000000;100.3800000;100.3800000;100.3000000;100.3500000;1715
RU000A1015A8;D;20191219;000000;100.4500000;100.4500000;100.2100000;100.2400000;33337
RU000A1015A8;D;20191220;000000;100.3000000;100.3000000;100.2700000;100.3000000;100350
RU000A1015A8;D;20191223;000000;100.6000000;100.6000000;100.2600000;100.2600000;6002
RU000A1015A8;D;20191224;000000;100.2900000;100.3000000;100.2400000;100.3000000;2258
RU000A1015A8;D;20191225;000000;100.7500000;100.7500000;100.1500000;100.4500000;54078
RU000A1015A8;D;20191226;000000;100.4500000;100.4500000;100.3600000;100.4500000;23016
RU000A1015A8;D;20191227;000000;100.7700000;100.7700000;100.3000000;100.6300000;50565
RU000A1015A8;D;20191230;000000;100.7700000;100.7700000;100.3700000;100.4000000;7991
RU000A1015A8;D;20200103;000000;100.7700000;100.7700000;100.7000000;100.7500000;671
RU000A1015A8;D;20200106;000000;100.7700000;101.7900000;100.7700000;101.6400000;722
RU000A1015A8;D;20200108;000000;101.6500000;102.0000000;101.2000000;101.2200000;235
RU000A1015A8;D;20200109;000000;100.7000000;101.9900000;100.4200000;101.1000000;394
RU000A1015A8;D;20200110;000000;101.6000000;101.6000000;100.5000000;100.9000000;1240
RU000A1015A8;D;20200113;000000;101.6900000;101.8900000;100.9000000;101.0500000;13529
RU000A1015A8;D;20200114;000000;101.8900000;101.8900000;100.4000000;101.0500000;1931
RU000A1015A8;D;20200115;000000;101.0400000;101.8900000;100.9000000;100.9900000;349
RU000A1015A8;D;20200116;000000;100.9500000;100.9500000;100.5500000;100.9500000;54438
RU000A1015A8;D;20200117;000000;101.0000000;101.8000000;100.5500000;100.9500000;6070
RU000A1015A8;D;20200120;000000;103.5000000;103.5000000;100.7000000;100.9300000;5204
RU000A1015A8;D;20200121;000000;103.5000000;103.5000000;100.9000000;100.9300000;50180
RU000A1015A8;D;20200122;000000;100.7000000;101.8900000;100.7000000;100.9500000;51365
RU000A1015A8;D;20200123;000000;101.3400000;101.3400000;101.0000000;101.1000000;109
RU000A1015A8;D;20200124;000000;101.1000000;101.1000000;101.0000000;101.1000000;491
RU000A1015A8;D;20200127;000000;100.9400000;101.1000000;100.9400000;101.0000000;9273
RU000A1015A8;D;20200128;000000;101.1000000;101.1000000;100.9400000;101.0000000;592
RU000A1015A8;D;20200129;000000;101.1000000;101.1000000;100.9700000;101.0900000;44067
RU000A1015A8;D;20200130;000000;100.9400000;101.1000000;100.9400000;101.1000000;2821
RU000A1015A8;D;20200131;000000;129.2400000;129.2400000;101.0800000;101.1000000;1232
RU000A1015A8;D;20200203;000000;101.1000000;101.1000000;100.9000000;101.1000000;395
RU000A1015A8;D;20200204;000000;101.1000000;101.1000000;101.0000000;101.1000000;12776
RU000A1015A8;D;20200205;000000;101.1000000;101.1000000;101.0000000;101.1000000;24322
RU000A1015A8;D;20200206;000000;101.1000000;101.2000000;101.1000000;101.1500000;646
RU000A1015A8;D;20200207;000000;101.0000000;101.1500000;101.0000000;101.1500000;4645
RU000A1015A8;D;20200210;000000;101.1500000;102.0400000;101.1200000;101.5000000;50861
RU000A1015A8;D;20200211;000000;101.5000000;101.5000000;101.2900000;101.3000000;82414
RU000A1015A8;D;20200212;000000;101.3000000;101.3900000;101.2000000;101.2900000;3649
RU000A1015A8;D;20200213;000000;101.2900000;101.3000000;101.2000000;101.3000000;14841
RU000A1015A8;D;20200214;000000;101.4000000;101.4000000;101.2000000;101.4000000;1019
RU000A1015A8;D;20200217;000000;101.9900000;102.0000000;101.1700000;101.3400000;1718
RU000A1015A8;D;20200218;000000;101.4000000;101.4000000;101.3100000;101.3500000;658
RU000A1015A8;D;20200219;000000;101.4000000;101.4000000;101.0000000;101.3600000;12514
RU000A1015A8;D;20200220;000000;103.4200000;103.4200000;101.3000000;101.4600000;2454
RU000A1015A8;D;20200221;000000;103.4400000;103.4400000;101.4200000;101.5000000;8361
RU000A1015A8;D;20200225;000000;101.4000000;101.4000000;101.0600000;101.4000000;2492
RU000A1015A8;D;20200226;000000;100.9100000;103.0000000;100.9000000;101.3000000;778
RU000A1015A8;D;20200227;000000;103.4400000;103.4400000;100.7600000;101.0900000;824
RU000A1015A8;D;20200228;000000;101.3700000;101.3700000;96.7400000;100.8800000;2580
RU000A1015A8;D;20200302;000000;99.9500000;100.9400000;98.1600000;100.5500000;751
RU000A1015A8;D;20200303;000000;100.9400000;101.6900000;100.7000000;100.7000000;7366
RU000A1015A8;D;20200304;000000;101.5000000;101.5000000;100.6200000;101.2500000;100352
RU000A1015A8;D;20200305;000000;100.7300000;101.5000000;100.6400000;101.2700000;319
RU000A1015A8;D;20200306;000000;101.2800000;101.3900000;100.0000000;101.2800000;5675
RU000A1015A8;D;20200310;000000;95.0100000;100.8900000;95.0000000;100.2000000;841
RU000A1015A8;D;20200311;000000;100.0000000;100.0000000;99.2000000;99.9600000;1563
RU000A1015A8;D;20200312;000000;99.0100000;99.0100000;97.0000000;98.0900000;1674
RU000A1015A8;D;20200313;000000;99.3500000;99.3500000;92.8400000;98.1000000;1471
RU000A1015A8;D;20200316;000000;95.0100000;99.0000000;95.0100000;97.0000000;762
RU000A1015A8;D;20200317;000000;98.0000000;98.0000000;95.0000000;96.0000000;22636
RU000A1015A8;D;20200318;000000;97.9300000;99.3400000;93.0100000;94.9000000;361
RU000A1015A8;D;20200319;000000;93.0500000;98.0000000;93.0500000;96.0000000;260
RU000A1015A8;D;20200320;000000;100.6000000;100.6000000;94.0000000;95.5000000;3568
RU000A1015A8;D;20200323;000000;95.5000000;99.8900000;95.5000000;96.0000000;1557
RU000A1015A8;D;20200324;000000;97.9800000;98.7400000;95.1300000;96.0000000;12576
RU000A1015A8;D;20200325;000000;99.1000000;99.2000000;96.0000000;96.7100000;4463
RU000A1015A8;D;20200326;000000;97.8300000;97.8400000;96.5000000;97.0000000;756
RU000A1015A8;D;20200327;000000;97.8800000;99.1500000;96.1000000;98.9500000;844
RU000A1015A8;D;20200330;000000;96.1800000;98.0000000;94.9700000;97.7500000;4212
RU000A1015A8;D;20200331;000000;96.5000000;97.4800000;96.5000000;96.9900000;1014
RU000A1015A8;D;20200401;000000;96.9900000;97.0000000;96.3600000;96.5000000;1912
RU000A1015A8;D;20200402;000000;97.0000000;98.6000000;96.5000000;97.7800000;4791
RU000A1015A8;D;20200403;000000;98.9000000;99.0000000;95.0000000;99.0000000;2211
RU000A1015A8;D;20200406;000000;99.0500000;99.3500000;96.6100000;99.3300000;7621
RU000A1015A8;D;20200407;000000;99.3300000;100.2700000;99.0100000;100.2700000;1677
RU000A1015A8;D;20200408;000000;103.9100000;103.9100000;99.6000000;100.0000000;343
RU000A1015A8;D;20200409;000000;100.0200000;101.0000000;99.7900000;99.9000000;1164
RU000A1015A8;D;20200410;000000;105.7500000;105.7500000;99.7000000;99.9900000;552
RU000A1015A8;D;20200413;000000;105.6900000;105.6900000;99.5300000;99.9200000;402
RU000A1015A8;D;20200414;000000;100.0000000;100.2500000;99.3200000;99.9400000;756
