<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A0JXRX3;D;20170530;000000;100.1000000;100.2000000;100.1000000;100.2000000;103
RU000A0JXRX3;D;20170623;000000;100.2000000;100.2000000;100.2000000;100.2000000;15
RU000A0JXRX3;D;20170626;000000;100.2500000;100.2500000;100.2500000;100.2500000;70000
RU000A0JXRX3;D;20170627;000000;100.2500000;100.2500000;100.2500000;100.2500000;40000
RU000A0JXRX3;D;20170628;000000;100.2500000;100.2500000;100.2500000;100.2500000;90000
RU000A0JXRX3;D;20170629;000000;100.2500000;100.2500000;100.2500000;100.2500000;50000
RU000A0JXRX3;D;20170703;000000;100.2500000;100.2500000;100.2500000;100.2500000;90
RU000A0JXRX3;D;20170704;000000;100.2500000;100.2500000;100.1500000;100.1500000;310
RU000A0JXRX3;D;20170720;000000;100.2000000;100.2000000;100.2000000;100.2000000;50000
RU000A0JXRX3;D;20170724;000000;100.2000000;100.2000000;100.2000000;100.2000000;65000
RU000A0JXRX3;D;20170727;000000;100.1000000;100.1000000;100.1000000;100.1000000;60000
RU000A0JXRX3;D;20170728;000000;100.0000000;100.0000000;100.0000000;100.0000000;135
RU000A0JXRX3;D;20170801;000000;100.0000000;100.0000000;100.0000000;100.0000000;2
RU000A0JXRX3;D;20170802;000000;100.0000000;100.0000000;100.0000000;100.0000000;5463
RU000A0JXRX3;D;20170809;000000;100.1200000;100.1200000;100.1200000;100.1200000;7
RU000A0JXRX3;D;20170823;000000;100.2600000;100.2600000;100.2600000;100.2600000;65000
RU000A0JXRX3;D;20170824;000000;100.2600000;100.2600000;100.2600000;100.2600000;75000
RU000A0JXRX3;D;20170825;000000;100.2600000;100.2600000;100.2600000;100.2600000;87500
RU000A0JXRX3;D;20170927;000000;100.5000000;100.5000000;100.5000000;100.5000000;10
RU000A0JXRX3;D;20171018;000000;100.5000000;100.5000000;100.5000000;100.5000000;1
RU000A0JXRX3;D;20171020;000000;101.5000000;101.5000000;101.4000000;101.5000000;2305
RU000A0JXRX3;D;20171023;000000;101.3500000;101.3500000;101.3500000;101.3500000;3000
RU000A0JXRX3;D;20171024;000000;101.5000000;101.5000000;101.5000000;101.5000000;20
RU000A0JXRX3;D;20171027;000000;102.0000000;102.0000000;102.0000000;102.0000000;15000
RU000A0JXRX3;D;20171030;000000;102.1500000;102.1500000;102.1500000;102.1500000;1
RU000A0JXRX3;D;20171114;000000;100.2600000;102.2500000;100.2600000;102.2500000;1258
RU000A0JXRX3;D;20171120;000000;102.2000000;102.2000000;102.2000000;102.2000000;2
RU000A0JXRX3;D;20171122;000000;101.4000000;101.4000000;101.4000000;101.4000000;250
RU000A0JXRX3;D;20171123;000000;101.5000000;101.6500000;101.5000000;101.6500000;1050
RU000A0JXRX3;D;20171124;000000;101.6000000;101.6000000;101.6000000;101.6000000;2500
RU000A0JXRX3;D;20171129;000000;102.2500000;102.2500000;102.2500000;102.2500000;50
RU000A0JXRX3;D;20171201;000000;102.2500000;102.2500000;102.2500000;102.2500000;58
RU000A0JXRX3;D;20171213;000000;101.9000000;102.2500000;101.9000000;102.2500000;798
RU000A0JXRX3;D;20171226;000000;101.7500000;101.7500000;101.7500000;101.7500000;51
RU000A0JXRX3;D;20171227;000000;101.7500000;101.7500000;101.7500000;101.7500000;20
RU000A0JXRX3;D;20171228;000000;101.7500000;101.7500000;101.7500000;101.7500000;53
RU000A0JXRX3;D;20171229;000000;101.7500000;101.7500000;101.7500000;101.7500000;1
RU000A0JXRX3;D;20180129;000000;102.6000000;102.6000000;102.6000000;102.6000000;1
RU000A0JXRX3;D;20180202;000000;103.2500000;103.2500000;103.2500000;103.2500000;9548
RU000A0JXRX3;D;20180206;000000;100.0000000;100.0000000;100.0000000;100.0000000;1
RU000A0JXRX3;D;20180208;000000;103.2000000;103.2500000;103.2000000;103.2500000;3
RU000A0JXRX3;D;20180209;000000;103.2500000;103.2500000;103.2500000;103.2500000;30
RU000A0JXRX3;D;20180214;000000;103.2000000;103.2000000;103.2000000;103.2000000;19190
RU000A0JXRX3;D;20180222;000000;103.7000000;103.7000000;103.7000000;103.7000000;1
RU000A0JXRX3;D;20180227;000000;102.6000000;102.6000000;102.6000000;102.6000000;10
RU000A0JXRX3;D;20180228;000000;94.3900000;96.0200000;94.3800000;95.0400000;10
RU000A0JXRX3;D;20180301;000000;103.1800000;103.7000000;103.1800000;103.7000000;20
RU000A0JXRX3;D;20180321;000000;102.5200000;102.5200000;102.5200000;102.5200000;2
RU000A0JXRX3;D;20180322;000000;102.5000000;102.5000000;102.5000000;102.5000000;10
RU000A0JXRX3;D;20180323;000000;102.9000000;102.9000000;102.9000000;102.9000000;70
RU000A0JXRX3;D;20180326;000000;103.5900000;103.6000000;103.5900000;103.6000000;47
RU000A0JXRX3;D;20180327;000000;103.6000000;103.6000000;103.6000000;103.6000000;35
RU000A0JXRX3;D;20180329;000000;103.3000000;103.3000000;103.3000000;103.3000000;2930
RU000A0JXRX3;D;20180330;000000;103.5000000;103.5000000;103.5000000;103.5000000;2400
RU000A0JXRX3;D;20180403;000000;103.5900000;103.6000000;103.5900000;103.6000000;9375
RU000A0JXRX3;D;20180416;000000;103.6000000;103.6000000;103.6000000;103.6000000;4675
RU000A0JXRX3;D;20180418;000000;103.6000000;103.6000000;103.6000000;103.6000000;1
RU000A0JXRX3;D;20180426;000000;103.0000000;103.0000000;103.0000000;103.0000000;32
RU000A0JXRX3;D;20180511;000000;102.6700000;102.6700000;102.6700000;102.6700000;219000
RU000A0JXRX3;D;20180514;000000;102.0000000;102.6600000;102.0000000;102.6600000;25041
RU000A0JXRX3;D;20180515;000000;102.3000000;102.3000000;102.3000000;102.3000000;23
RU000A0JXRX3;D;20180516;000000;102.2000000;102.2000000;102.2000000;102.2000000;100
RU000A0JXRX3;D;20180518;000000;101.5000000;101.6000000;101.4000000;101.6000000;190
RU000A0JXRX3;D;20180522;000000;102.1900000;102.1900000;102.1900000;102.1900000;10
RU000A0JXRX3;D;20180530;000000;103.1900000;103.3500000;103.1900000;103.3500000;300
RU000A0JXRX3;D;20180601;000000;103.3500000;103.3500000;103.3500000;103.3500000;3
RU000A0JXRX3;D;20180605;000000;101.0000000;101.0000000;101.0000000;101.0000000;1
RU000A0JXRX3;D;20180607;000000;103.3500000;103.3500000;103.3500000;103.3500000;69
RU000A0JXRX3;D;20180711;000000;102.0000000;102.0000000;102.0000000;102.0000000;1
RU000A0JXRX3;D;20180720;000000;101.9000000;101.9000000;101.9000000;101.9000000;4499
RU000A0JXRX3;D;20180806;000000;101.7000000;101.7000000;101.7000000;101.7000000;50
RU000A0JXRX3;D;20180807;000000;101.6000000;101.6000000;101.6000000;101.6000000;101
RU000A0JXRX3;D;20180808;000000;101.6000000;101.6000000;101.6000000;101.6000000;20
RU000A0JXRX3;D;20180809;000000;101.1000000;101.1000000;101.1000000;101.1000000;6
RU000A0JXRX3;D;20180810;000000;100.5000000;100.5000000;100.5000000;100.5000000;1
RU000A0JXRX3;D;20180813;000000;100.2000000;100.2000000;60.3000000;99.9000000;19828
RU000A0JXRX3;D;20180814;000000;100.0700000;100.0700000;99.8000000;99.8000000;46
RU000A0JXRX3;D;20180815;000000;99.8000000;99.8000000;98.2000000;99.6000000;1328
RU000A0JXRX3;D;20180816;000000;99.9000000;99.9000000;99.9000000;99.9000000;32
RU000A0JXRX3;D;20180817;000000;100.0000000;100.0000000;100.0000000;100.0000000;1
RU000A0JXRX3;D;20180823;000000;100.1200000;100.1200000;100.1200000;100.1200000;50
RU000A0JXRX3;D;20180824;000000;95.1100000;95.1100000;95.1100000;95.1100000;10
RU000A0JXRX3;D;20180827;000000;100.9900000;101.0000000;100.5500000;101.0000000;91
RU000A0JXRX3;D;20180903;000000;101.5000000;101.7900000;101.5000000;101.7900000;378
RU000A0JXRX3;D;20180904;000000;100.7500000;100.7500000;100.7500000;100.7500000;5
RU000A0JXRX3;D;20180905;000000;100.0000000;100.0000000;99.2000000;99.2000000;250
RU000A0JXRX3;D;20180906;000000;99.0500000;100.7500000;99.0500000;100.7500000;56
RU000A0JXRX3;D;20180910;000000;100.5000000;100.5000000;100.5000000;100.5000000;19
RU000A0JXRX3;D;20180911;000000;100.5000000;100.5000000;100.5000000;100.5000000;80
RU000A0JXRX3;D;20180917;000000;100.7400000;100.7500000;100.3000000;100.7500000;213
RU000A0JXRX3;D;20180918;000000;100.3000000;100.3000000;100.3000000;100.3000000;7828
RU000A0JXRX3;D;20180921;000000;101.7400000;101.7400000;101.7400000;101.7400000;10
RU000A0JXRX3;D;20180925;000000;101.7300000;101.7300000;101.7300000;101.7300000;30
RU000A0JXRX3;D;20181003;000000;101.7400000;101.7400000;101.7400000;101.7400000;1
RU000A0JXRX3;D;20181008;000000;101.7300000;101.7300000;101.7300000;101.7300000;5
RU000A0JXRX3;D;20181009;000000;101.7400000;101.7400000;101.7400000;101.7400000;20
RU000A0JXRX3;D;20181012;000000;101.0000000;101.0000000;101.0000000;101.0000000;1
