<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A100782;D;20190327;000000;100.0000000;100.1000000;100.0000000;100.1000000;1600001
RU000A100782;D;20190328;000000;100.0000000;100.3000000;100.0000000;100.0000000;17023
RU000A100782;D;20190329;000000;100.0500000;100.1500000;100.0500000;100.1500000;15550
RU000A100782;D;20190401;000000;100.0500000;100.1500000;100.0500000;100.1500000;24030
RU000A100782;D;20190402;000000;100.0500000;100.1000000;100.0500000;100.1000000;20015
RU000A100782;D;20190403;000000;100.0500000;100.1500000;100.0000000;100.1500000;4385
RU000A100782;D;20190404;000000;100.0500000;100.0500000;100.0000000;100.0500000;13111
RU000A100782;D;20190405;000000;100.0500000;100.0500000;100.0000000;100.0500000;2617
RU000A100782;D;20190408;000000;100.0000000;100.0000000;100.0000000;100.0000000;20400
RU000A100782;D;20190409;000000;100.0500000;100.2000000;100.0500000;100.2000000;2874
RU000A100782;D;20190410;000000;100.0500000;100.2000000;100.0500000;100.2000000;1909
RU000A100782;D;20190411;000000;100.0000000;100.2000000;100.0000000;100.1000000;18251
RU000A100782;D;20190412;000000;100.2000000;100.2000000;100.0100000;100.1500000;2054
RU000A100782;D;20190415;000000;100.2000000;100.2000000;100.2000000;100.2000000;189
RU000A100782;D;20190416;000000;100.1000000;100.1000000;100.0900000;100.1000000;27042
RU000A100782;D;20190417;000000;100.2000000;100.3000000;100.2000000;100.3000000;62015
RU000A100782;D;20190418;000000;100.2000000;100.2000000;100.2000000;100.2000000;9694
RU000A100782;D;20190419;000000;100.2000000;100.2500000;100.2000000;100.2500000;81014
RU000A100782;D;20190422;000000;100.0000000;100.2000000;100.0000000;100.2000000;902
RU000A100782;D;20190423;000000;100.2000000;100.2000000;100.1000000;100.1000000;56025
RU000A100782;D;20190424;000000;100.0000000;100.1000000;100.0000000;100.1000000;18270
RU000A100782;D;20190425;000000;100.1000000;100.1000000;100.1000000;100.1000000;17658
RU000A100782;D;20190426;000000;100.1000000;100.1400000;100.1000000;100.1400000;11780
RU000A100782;D;20190429;000000;100.1000000;100.2000000;100.1000000;100.2000000;50048
RU000A100782;D;20190430;000000;100.1800000;100.1800000;100.1500000;100.1500000;5655
RU000A100782;D;20190506;000000;100.2000000;100.2000000;100.1000000;100.1000000;8940
RU000A100782;D;20190507;000000;100.1000000;100.2500000;100.1000000;100.1500000;70248
RU000A100782;D;20190508;000000;100.1000000;100.1900000;100.1000000;100.1900000;5573
RU000A100782;D;20190514;000000;100.1900000;100.2500000;100.1900000;100.2500000;93090
RU000A100782;D;20190515;000000;100.1000000;100.2500000;100.1000000;100.2500000;3051
RU000A100782;D;20190516;000000;100.2500000;100.5000000;100.2500000;100.5000000;5215
RU000A100782;D;20190517;000000;100.5000000;100.5000000;100.5000000;100.5000000;15000
RU000A100782;D;20190520;000000;100.2000000;100.6000000;100.2000000;100.6000000;64582
RU000A100782;D;20190521;000000;100.6000000;100.6000000;100.6000000;100.6000000;1000
RU000A100782;D;20190522;000000;100.5000000;100.5000000;100.5000000;100.5000000;1219
RU000A100782;D;20190524;000000;100.6000000;100.7000000;100.6000000;100.7000000;1625
