<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A0JVP05;D;20150807;000000;100.5000000;100.5000000;100.0000000;100.0000000;4973
RU000A0JVP05;D;20150810;000000;100.0800000;100.0800000;100.0000000;100.0000000;9004
RU000A0JVP05;D;20150811;000000;100.0500000;100.0500000;99.8500000;99.8500000;9003
RU000A0JVP05;D;20150812;000000;100.0000000;100.0000000;100.0000000;100.0000000;20000
RU000A0JVP05;D;20150813;000000;99.8000000;99.8000000;99.7000000;99.7000000;5006
RU000A0JVP05;D;20150814;000000;99.8000000;99.8000000;99.7500000;99.7500000;16986
RU000A0JVP05;D;20150818;000000;99.7500000;99.7500000;99.7500000;99.7500000;8503
RU000A0JVP05;D;20150819;000000;99.7500000;99.8500000;99.7500000;99.8500000;27486
RU000A0JVP05;D;20150820;000000;100.0000000;100.0000000;100.0000000;100.0000000;24003
RU000A0JVP05;D;20150821;000000;100.0000000;100.0000000;100.0000000;100.0000000;195
RU000A0JVP05;D;20150824;000000;100.0000000;100.0000000;100.0000000;100.0000000;322
RU000A0JVP05;D;20150825;000000;99.7500000;99.7500000;99.7500000;99.7500000;569
RU000A0JVP05;D;20150828;000000;100.0000000;100.0000000;100.0000000;100.0000000;475
RU000A0JVP05;D;20150831;000000;100.0000000;100.0000000;100.0000000;100.0000000;198
RU000A0JVP05;D;20150901;000000;99.7500000;99.7500000;99.7500000;99.7500000;5000
RU000A0JVP05;D;20150902;000000;99.8000000;99.8000000;99.7000000;99.7000000;22000
RU000A0JVP05;D;20150903;000000;100.0000000;100.0000000;100.0000000;100.0000000;2
RU000A0JVP05;D;20150915;000000;99.7000000;99.7000000;99.5500000;99.5500000;301
RU000A0JVP05;D;20150916;000000;99.2500000;99.3500000;99.2500000;99.3500000;299
RU000A0JVP05;D;20150924;000000;99.8500000;99.8500000;99.8500000;99.8500000;120101
RU000A0JVP05;D;20150928;000000;99.9500000;99.9500000;99.9500000;99.9500000;10
RU000A0JVP05;D;20150930;000000;100.3500000;100.3500000;100.3500000;100.3500000;2
RU000A0JVP05;D;20151001;000000;100.3500000;100.3500000;100.0000000;100.0000000;2
RU000A0JVP05;D;20151007;000000;99.9000000;100.1000000;99.9000000;100.1000000;206338
RU000A0JVP05;D;20151008;000000;100.1000000;100.1000000;100.0000000;100.1000000;163349
RU000A0JVP05;D;20151009;000000;100.2000000;100.2000000;100.2000000;100.2000000;195
RU000A0JVP05;D;20151014;000000;100.1000000;100.1000000;100.1000000;100.1000000;51
RU000A0JVP05;D;20151015;000000;100.1000000;100.1000000;100.1000000;100.1000000;185
RU000A0JVP05;D;20151016;000000;100.0100000;100.0100000;100.0100000;100.0100000;10020
RU000A0JVP05;D;20151019;000000;100.0100000;102.1400000;100.0100000;102.1400000;20001
RU000A0JVP05;D;20151020;000000;99.0000000;100.2000000;99.0000000;100.2000000;120002
RU000A0JVP05;D;20151022;000000;100.2500000;100.3500000;100.2000000;100.2000000;3
RU000A0JVP05;D;20151023;000000;100.6000000;100.6000000;100.6000000;100.6000000;10
RU000A0JVP05;D;20151027;000000;100.5000000;100.5000000;100.5000000;100.5000000;14934
RU000A0JVP05;D;20151028;000000;100.5000000;100.5000000;100.5000000;100.5000000;1000
RU000A0JVP05;D;20151029;000000;100.6000000;100.6000000;100.6000000;100.6000000;1
RU000A0JVP05;D;20151109;000000;100.8000000;100.8000000;100.8000000;100.8000000;25000
RU000A0JVP05;D;20151110;000000;100.7000000;100.7500000;100.7000000;100.7500000;172000
RU000A0JVP05;D;20151111;000000;100.7500000;100.7500000;100.7500000;100.7500000;100100
RU000A0JVP05;D;20151113;000000;102.6500000;102.6500000;99.5100000;100.8000000;1226
RU000A0JVP05;D;20151116;000000;100.0000000;101.1000000;100.0000000;101.1000000;3001
RU000A0JVP05;D;20151117;000000;101.2500000;101.4400000;101.2100000;101.4400000;105607
RU000A0JVP05;D;20151118;000000;101.2500000;101.2700000;101.2500000;101.2700000;207000
RU000A0JVP05;D;20151119;000000;101.2000000;101.2000000;101.2000000;101.2000000;2460
RU000A0JVP05;D;20151127;000000;101.2000000;101.2000000;101.2000000;101.2000000;10928
RU000A0JVP05;D;20151130;000000;102.5500000;102.5500000;100.0000000;101.3000000;1002
RU000A0JVP05;D;20151201;000000;101.4500000;101.4700000;101.3000000;101.3000000;202500
RU000A0JVP05;D;20151202;000000;101.0000000;101.0000000;101.0000000;101.0000000;2285
RU000A0JVP05;D;20151203;000000;100.7000000;100.7000000;100.7000000;100.7000000;100
RU000A0JVP05;D;20151208;000000;100.7600000;101.8000000;100.7600000;101.0000000;30003
RU000A0JVP05;D;20151210;000000;101.3000000;101.3000000;101.1500000;101.1500000;49928
RU000A0JVP05;D;20151217;000000;101.0000000;101.0000000;101.0000000;101.0000000;900
RU000A0JVP05;D;20151218;000000;101.0000000;101.0000000;101.0000000;101.0000000;1
RU000A0JVP05;D;20151221;000000;101.0500000;101.1000000;101.0500000;101.0500000;255
RU000A0JVP05;D;20151223;000000;101.1500000;101.1500000;101.1500000;101.1500000;100
RU000A0JVP05;D;20151224;000000;101.3800000;101.3900000;101.3800000;101.3900000;150000
RU000A0JVP05;D;20151225;000000;101.4000000;101.4000000;101.4000000;101.4000000;125259
RU000A0JVP05;D;20151228;000000;101.4000000;101.4000000;101.4000000;101.4000000;2002
RU000A0JVP05;D;20151229;000000;101.4000000;101.4000000;101.4000000;101.4000000;3000
RU000A0JVP05;D;20151230;000000;101.0000000;101.0000000;100.2500000;100.2500000;1713
RU000A0JVP05;D;20160105;000000;101.3800000;101.3800000;101.3800000;101.3800000;100
RU000A0JVP05;D;20160112;000000;101.1500000;101.1500000;101.1500000;101.1500000;100
RU000A0JVP05;D;20160114;000000;100.0000000;100.2100000;100.0000000;100.1000000;6
RU000A0JVP05;D;20160115;000000;100.5000000;100.5500000;98.0100000;98.0100000;80
RU000A0JVP05;D;20160118;000000;100.4400000;100.4500000;100.0000000;100.0000000;6010
RU000A0JVP05;D;20160119;000000;100.4400000;100.4500000;100.4400000;100.4500000;435
RU000A0JVP05;D;20160120;000000;100.7500000;100.7500000;100.7500000;100.7500000;120
RU000A0JVP05;D;20160121;000000;100.7400000;100.7400000;100.7400000;100.7400000;100000
RU000A0JVP05;D;20160122;000000;100.7500000;100.8000000;100.7500000;100.8000000;6140
RU000A0JVP05;D;20160125;000000;101.0000000;101.0000000;100.0000000;100.0000000;81
RU000A0JVP05;D;20160126;000000;100.7000000;100.9000000;100.7000000;100.9000000;3
