<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A1002U4;D;20190205;000000;100.0600000;100.2500000;100.0200000;100.2500000;1089595
RU000A1002U4;D;20190206;000000;100.5000000;100.5000000;100.0500000;100.2300000;39528
RU000A1002U4;D;20190207;000000;100.2500000;102.2100000;100.1000000;100.5000000;326419
RU000A1002U4;D;20190208;000000;100.1000000;100.2500000;100.1000000;100.2400000;107609
RU000A1002U4;D;20190211;000000;102.0000000;102.0000000;100.1500000;100.2500000;134701
RU000A1002U4;D;20190212;000000;100.2000000;100.2500000;100.2000000;100.2000000;123630
RU000A1002U4;D;20190213;000000;100.3900000;100.3900000;100.2500000;100.2500000;6877
RU000A1002U4;D;20190214;000000;100.0100000;100.3000000;99.9900000;99.9900000;2920
RU000A1002U4;D;20190215;000000;101.0000000;101.0000000;100.1100000;100.2100000;17403
RU000A1002U4;D;20190218;000000;100.2100000;100.6000000;100.2100000;100.4500000;960
RU000A1002U4;D;20190219;000000;100.4000000;100.4000000;100.2000000;100.3000000;121302
RU000A1002U4;D;20190220;000000;100.4500000;100.4500000;100.2500000;100.4500000;523
RU000A1002U4;D;20190221;000000;100.4000000;100.4000000;100.4000000;100.4000000;11
RU000A1002U4;D;20190222;000000;100.4500000;100.4500000;100.4000000;100.4000000;5228
RU000A1002U4;D;20190225;000000;100.4000000;100.4000000;100.3900000;100.3900000;3990
RU000A1002U4;D;20190226;000000;100.4000000;100.4000000;100.2000000;100.2000000;9696
RU000A1002U4;D;20190227;000000;100.3200000;100.3300000;100.3200000;100.3300000;11
RU000A1002U4;D;20190228;000000;100.4000000;100.4000000;100.2500000;100.3700000;2000
RU000A1002U4;D;20190301;000000;100.4000000;100.4000000;100.3600000;100.3900000;41386
RU000A1002U4;D;20190304;000000;100.4500000;100.4500000;100.4500000;100.4500000;59
RU000A1002U4;D;20190305;000000;100.4000000;100.4000000;100.4000000;100.4000000;6713
RU000A1002U4;D;20190306;000000;100.4500000;100.4500000;100.3000000;100.3500000;78084
RU000A1002U4;D;20190307;000000;100.3500000;100.4400000;100.3500000;100.4300000;12950
RU000A1002U4;D;20190311;000000;100.3600000;100.4400000;100.3000000;100.4400000;24202
RU000A1002U4;D;20190312;000000;100.4000000;100.4000000;100.3500000;100.3500000;60062
RU000A1002U4;D;20190314;000000;100.4400000;100.4400000;100.4400000;100.4400000;1496
RU000A1002U4;D;20190315;000000;100.4400000;100.4400000;100.3900000;100.4000000;6725
RU000A1002U4;D;20190318;000000;100.4500000;100.4700000;100.4400000;100.4700000;4873
RU000A1002U4;D;20190319;000000;100.4000000;100.5400000;100.4000000;100.5400000;2830
RU000A1002U4;D;20190320;000000;100.5000000;100.6800000;100.5000000;100.6500000;46833
RU000A1002U4;D;20190321;000000;100.6500000;100.8000000;100.6500000;100.6700000;6001
RU000A1002U4;D;20190322;000000;100.4000000;100.8000000;100.4000000;100.8000000;20253
RU000A1002U4;D;20190325;000000;100.8000000;100.8000000;100.8000000;100.8000000;1230
RU000A1002U4;D;20190326;000000;100.8000000;100.8000000;100.8000000;100.8000000;5000
RU000A1002U4;D;20190327;000000;100.6100000;100.9000000;100.6000000;100.8500000;336279
RU000A1002U4;D;20190328;000000;100.9000000;100.9000000;100.8500000;100.8500000;31000
RU000A1002U4;D;20190329;000000;100.6000000;100.9000000;100.5500000;100.9000000;2098
RU000A1002U4;D;20190401;000000;100.8900000;100.8900000;100.8900000;100.8900000;18
RU000A1002U4;D;20190402;000000;100.9000000;100.9000000;100.9000000;100.9000000;6
RU000A1002U4;D;20190403;000000;100.8000000;100.9000000;100.8000000;100.9000000;42177
RU000A1002U4;D;20190404;000000;100.5500000;100.9000000;100.5500000;100.9000000;11
RU000A1002U4;D;20190405;000000;100.9000000;100.9000000;100.9000000;100.9000000;3
RU000A1002U4;D;20190408;000000;100.9000000;100.9000000;100.5500000;100.9000000;443
RU000A1002U4;D;20190409;000000;100.7500000;100.9000000;100.7500000;100.9000000;53383
RU000A1002U4;D;20190410;000000;100.8900000;100.9000000;100.8900000;100.9000000;6000
RU000A1002U4;D;20190411;000000;100.8800000;100.9000000;100.8800000;100.9000000;1000
RU000A1002U4;D;20190412;000000;100.9000000;100.9000000;100.9000000;100.9000000;11
RU000A1002U4;D;20190415;000000;100.8600000;100.8600000;100.6600000;100.8500000;50455
RU000A1002U4;D;20190416;000000;100.8700000;100.8800000;100.7500000;100.7500000;159952
RU000A1002U4;D;20190417;000000;100.9000000;100.9000000;100.8500000;100.8700000;96328
RU000A1002U4;D;20190418;000000;100.8700000;100.8700000;100.8400000;100.8400000;16819
RU000A1002U4;D;20190422;000000;100.8500000;100.8500000;100.6500000;100.8500000;9
RU000A1002U4;D;20190423;000000;100.8500000;100.8500000;100.8400000;100.8500000;5010
RU000A1002U4;D;20190424;000000;100.8000000;100.8000000;100.7500000;100.8000000;29
RU000A1002U4;D;20190425;000000;100.8400000;100.8400000;100.6500000;100.7000000;20566
RU000A1002U4;D;20190426;000000;100.7000000;100.7000000;100.7000000;100.7000000;1811
RU000A1002U4;D;20190429;000000;100.7000000;100.7000000;100.6700000;100.7000000;5204
RU000A1002U4;D;20190430;000000;100.7000000;100.8300000;100.6600000;100.7500000;10409
RU000A1002U4;D;20190502;000000;101.0000000;101.0000000;100.5500000;100.5500000;16
RU000A1002U4;D;20190506;000000;100.7000000;100.7000000;100.7000000;100.7000000;12634
RU000A1002U4;D;20190508;000000;100.8500000;100.8500000;100.8500000;100.8500000;51
RU000A1002U4;D;20190510;000000;100.6600000;101.5000000;100.6600000;101.5000000;6
RU000A1002U4;D;20190513;000000;100.8500000;100.8500000;100.8400000;100.8400000;105
RU000A1002U4;D;20190514;000000;100.8500000;100.8500000;100.8500000;100.8500000;2
RU000A1002U4;D;20190515;000000;100.8500000;100.8500000;100.6600000;100.8000000;520
RU000A1002U4;D;20190516;000000;101.0000000;101.1000000;101.0000000;101.0900000;10399
RU000A1002U4;D;20190517;000000;101.0900000;101.0900000;100.7000000;101.0500000;660
RU000A1002U4;D;20190520;000000;100.7000000;101.0500000;100.7000000;101.0500000;301
RU000A1002U4;D;20190521;000000;101.0000000;101.1000000;101.0000000;101.1000000;35031
RU000A1002U4;D;20190522;000000;101.0000000;101.2000000;101.0000000;101.2000000;181203
RU000A1002U4;D;20190523;000000;101.1500000;101.2000000;101.1500000;101.2000000;60388
RU000A1002U4;D;20190524;000000;101.0000000;101.2000000;101.0000000;101.0500000;1184
RU000A1002U4;D;20190527;000000;101.0500000;101.0500000;101.0500000;101.0500000;80
RU000A1002U4;D;20190528;000000;100.8500000;101.2000000;100.8500000;101.0000000;16
RU000A1002U4;D;20190530;000000;100.8500000;101.1000000;100.8500000;100.9500000;936
RU000A1002U4;D;20190531;000000;101.1500000;101.2000000;101.1500000;101.2000000;17442
RU000A1002U4;D;20190604;000000;101.2500000;101.2500000;101.2500000;101.2500000;21
RU000A1002U4;D;20190605;000000;101.0000000;101.0000000;101.0000000;101.0000000;6
RU000A1002U4;D;20190606;000000;101.2400000;101.2500000;101.2400000;101.2500000;708
RU000A1002U4;D;20190611;000000;101.5000000;101.5000000;101.5000000;101.5000000;20
RU000A1002U4;D;20190613;000000;101.2600000;101.5000000;101.2600000;101.5000000;121
RU000A1002U4;D;20190617;000000;101.4500000;101.4500000;101.4500000;101.4500000;371
RU000A1002U4;D;20190618;000000;101.2600000;101.4300000;101.2600000;101.4300000;311
RU000A1002U4;D;20190619;000000;101.4300000;101.6500000;101.4300000;101.6500000;2659
RU000A1002U4;D;20190620;000000;101.6500000;101.9500000;101.6500000;101.9500000;82749
RU000A1002U4;D;20190621;000000;102.2500000;102.2500000;102.2500000;102.2500000;6
RU000A1002U4;D;20190624;000000;103.9200000;103.9200000;102.7900000;102.7900000;98
RU000A1002U4;D;20190625;000000;101.7000000;101.7000000;101.7000000;101.7000000;3
RU000A1002U4;D;20190626;000000;102.0000000;102.0000000;102.0000000;102.0000000;3702
RU000A1002U4;D;20190627;000000;101.8000000;101.8000000;101.8000000;101.8000000;1
RU000A1002U4;D;20190628;000000;101.5100000;101.8100000;101.5000000;101.8100000;105
RU000A1002U4;D;20190701;000000;102.0000000;102.5000000;102.0000000;102.5000000;8
RU000A1002U4;D;20190702;000000;103.9200000;103.9200000;101.9900000;101.9900000;48
RU000A1002U4;D;20190703;000000;102.0000000;102.0000000;102.0000000;102.0000000;2
RU000A1002U4;D;20190705;000000;101.8600000;101.8600000;101.5000000;101.5000000;1000
RU000A1002U4;D;20190708;000000;102.9500000;102.9500000;102.9500000;102.9500000;9
RU000A1002U4;D;20190709;000000;101.8000000;102.0500000;101.8000000;102.0000000;4703
RU000A1002U4;D;20190710;000000;102.1000000;102.1000000;102.1000000;102.1000000;21
RU000A1002U4;D;20190711;000000;102.1000000;102.1500000;101.9000000;101.9000000;436
RU000A1002U4;D;20190712;000000;102.0000000;102.1000000;102.0000000;102.1000000;186
RU000A1002U4;D;20190715;000000;102.0000000;102.0000000;102.0000000;102.0000000;24
RU000A1002U4;D;20190716;000000;101.8000000;101.8000000;101.8000000;101.8000000;1
RU000A1002U4;D;20190717;000000;102.0000000;102.0000000;102.0000000;102.0000000;11
RU000A1002U4;D;20190718;000000;102.0000000;102.0000000;102.0000000;102.0000000;120
RU000A1002U4;D;20190719;000000;102.0000000;102.0000000;101.7500000;101.7500000;112
RU000A1002U4;D;20190722;000000;102.0000000;102.0000000;101.7500000;101.7500000;35
RU000A1002U4;D;20190723;000000;101.8500000;101.8500000;101.8500000;101.8500000;931
RU000A1002U4;D;20190724;000000;102.1500000;102.1500000;102.1500000;102.1500000;1750
RU000A1002U4;D;20190725;000000;102.2500000;102.2500000;102.2500000;102.2500000;4250
RU000A1002U4;D;20190726;000000;103.8900000;103.8900000;102.2000000;103.8900000;5007
RU000A1002U4;D;20190730;000000;103.8800000;103.8800000;103.8800000;103.8800000;30
RU000A1002U4;D;20190731;000000;102.0000000;102.0000000;102.0000000;102.0000000;22
RU000A1002U4;D;20190801;000000;103.8600000;103.8600000;103.8600000;103.8600000;5
RU000A1002U4;D;20190802;000000;103.8700000;103.8700000;103.8700000;103.8700000;4
RU000A1002U4;D;20190805;000000;103.7000000;103.7000000;103.7000000;103.7000000;2
RU000A1002U4;D;20190806;000000;103.8700000;103.8700000;102.0000000;102.0000000;81
RU000A1002U4;D;20190808;000000;102.0000000;102.1000000;102.0000000;102.1000000;5
RU000A1002U4;D;20190809;000000;100.0700000;103.8300000;100.0700000;103.8300000;39
RU000A1002U4;D;20190813;000000;103.8600000;103.8600000;103.8300000;103.8300000;9
RU000A1002U4;D;20190815;000000;101.5000000;102.5000000;100.0600000;102.2900000;1113
RU000A1002U4;D;20190816;000000;102.2900000;102.3000000;102.0000000;102.3000000;1060
RU000A1002U4;D;20190819;000000;103.8500000;103.8500000;100.1800000;102.1000000;146
RU000A1002U4;D;20190820;000000;103.8400000;103.8400000;101.9000000;101.9000000;11
RU000A1002U4;D;20190822;000000;103.8400000;103.8400000;103.8400000;103.8400000;3
RU000A1002U4;D;20190823;000000;102.3000000;102.3000000;102.0000000;102.0000000;282
RU000A1002U4;D;20190826;000000;101.0000000;102.2000000;101.0000000;102.1000000;45
RU000A1002U4;D;20190827;000000;102.0000000;102.0000000;102.0000000;102.0000000;1
RU000A1002U4;D;20190828;000000;101.9000000;102.5800000;101.9000000;102.5800000;254
RU000A1002U4;D;20190829;000000;102.3000000;102.3000000;102.1000000;102.1500000;2437
RU000A1002U4;D;20190830;000000;102.3000000;103.0000000;102.3000000;103.0000000;33
RU000A1002U4;D;20190902;000000;101.5000000;101.8500000;101.5000000;101.8500000;42
RU000A1002U4;D;20190904;000000;102.9000000;102.9000000;102.9000000;102.9000000;1
RU000A1002U4;D;20190905;000000;102.8000000;102.8000000;102.8000000;102.8000000;20002
RU000A1002U4;D;20190906;000000;102.9000000;102.9000000;102.9000000;102.9000000;875
RU000A1002U4;D;20190909;000000;102.2000000;102.2000000;102.2000000;102.2000000;20
RU000A1002U4;D;20190910;000000;103.4800000;103.4800000;103.4800000;103.4800000;5
RU000A1002U4;D;20190911;000000;102.1200000;102.8000000;102.1200000;102.8000000;120005
RU000A1002U4;D;20190912;000000;103.2600000;103.2600000;103.0600000;103.0600000;116
RU000A1002U4;D;20190913;000000;103.0000000;103.0000000;102.9300000;102.9300000;44
RU000A1002U4;D;20190916;000000;102.7000000;102.7000000;102.7000000;102.7000000;9
RU000A1002U4;D;20190917;000000;102.7000000;103.1000000;102.7000000;103.1000000;502
RU000A1002U4;D;20190918;000000;103.0300000;103.0300000;103.0300000;103.0300000;9
RU000A1002U4;D;20190919;000000;103.0500000;103.0500000;102.9100000;102.9100000;11
RU000A1002U4;D;20190923;000000;100.6800000;102.9000000;100.6800000;102.9000000;6
RU000A1002U4;D;20190924;000000;102.9700000;103.8000000;102.9700000;102.9700000;2885
RU000A1002U4;D;20190925;000000;103.2000000;103.2000000;103.2000000;103.2000000;3
RU000A1002U4;D;20190926;000000;103.1000000;103.1000000;103.1000000;103.1000000;3
