<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A100ZK0;D;20191031;000000;100.0500000;100.0500000;100.0000000;100.0200000;255
RU000A100ZK0;D;20191101;000000;101.2600000;101.2600000;100.0100000;100.0200000;1187
RU000A100ZK0;D;20191105;000000;100.0200000;100.0200000;100.0200000;100.0200000;137
RU000A100ZK0;D;20191106;000000;99.9000000;100.0200000;99.9000000;100.0000000;354
RU000A100ZK0;D;20191107;000000;100.0000000;100.0100000;100.0000000;100.0100000;2288
RU000A100ZK0;D;20191108;000000;100.0200000;100.0200000;100.0200000;100.0200000;1409
RU000A100ZK0;D;20191111;000000;100.0000000;100.0200000;100.0000000;100.0200000;1389
RU000A100ZK0;D;20191112;000000;100.0100000;100.0200000;100.0000000;100.0000000;6874
RU000A100ZK0;D;20191113;000000;100.0100000;100.0100000;100.0000000;100.0000000;1300
RU000A100ZK0;D;20191114;000000;100.0000000;100.0000000;99.9900000;99.9900000;81
RU000A100ZK0;D;20191115;000000;100.0000000;100.0000000;99.9900000;99.9900000;165
RU000A100ZK0;D;20191118;000000;101.9800000;101.9800000;100.0000000;100.0000000;229
RU000A100ZK0;D;20191119;000000;99.9900000;100.0000000;99.9900000;100.0000000;6
RU000A100ZK0;D;20191120;000000;100.0000000;100.0000000;99.9000000;99.9000000;3489
RU000A100ZK0;D;20191121;000000;100.0000000;100.0000000;100.0000000;100.0000000;553
RU000A100ZK0;D;20191122;000000;100.0000000;100.0500000;100.0000000;100.0500000;327376
RU000A100ZK0;D;20191125;000000;100.0500000;100.0500000;100.0000000;100.0400000;145744
RU000A100ZK0;D;20191126;000000;100.0400000;100.0400000;100.0000000;100.0300000;227476
RU000A100ZK0;D;20191127;000000;100.0200000;100.0300000;100.0200000;100.0300000;4744
RU000A100ZK0;D;20191128;000000;100.1000000;100.1000000;100.0300000;100.0300000;578
RU000A100ZK0;D;20191129;000000;100.0200000;100.0200000;99.9600000;100.0200000;81887
RU000A100ZK0;D;20191202;000000;100.0200000;100.0200000;99.9000000;100.0100000;535
RU000A100ZK0;D;20191203;000000;100.0400000;100.0400000;99.9500000;100.0300000;50371
RU000A100ZK0;D;20191204;000000;100.0300000;100.0300000;99.9700000;100.0200000;7294
RU000A100ZK0;D;20191205;000000;100.0300000;100.0300000;100.0000000;100.0300000;182
RU000A100ZK0;D;20191206;000000;100.0300000;100.0300000;100.0200000;100.0300000;14258
RU000A100ZK0;D;20191209;000000;100.0800000;100.0800000;99.9800000;99.9800000;78961
RU000A100ZK0;D;20191210;000000;100.0400000;100.0500000;99.9700000;100.0200000;159761
RU000A100ZK0;D;20191211;000000;100.0500000;100.0500000;99.9800000;100.0500000;2388
RU000A100ZK0;D;20191212;000000;100.0500000;100.1500000;100.0500000;100.1300000;1802
RU000A100ZK0;D;20191213;000000;100.9000000;101.0000000;100.7400000;100.7400000;208
RU000A100ZK0;D;20191216;000000;100.1100000;100.3000000;99.9700000;100.3000000;1730
RU000A100ZK0;D;20191217;000000;100.3000000;100.5000000;100.3000000;100.5000000;100003
RU000A100ZK0;D;20191218;000000;100.5500000;100.5500000;100.2500000;100.4500000;372
RU000A100ZK0;D;20191219;000000;100.5500000;100.5500000;100.4500000;100.5000000;4199
RU000A100ZK0;D;20191220;000000;100.5000000;100.5500000;100.2000000;100.4300000;201435
RU000A100ZK0;D;20191223;000000;101.5000000;101.5000000;100.2000000;100.5500000;71040
RU000A100ZK0;D;20191224;000000;100.5500000;100.7200000;100.5500000;100.6300000;51110
RU000A100ZK0;D;20191225;000000;100.7500000;100.7500000;100.5200000;100.6500000;80918
RU000A100ZK0;D;20191226;000000;100.7000000;100.7000000;100.3600000;100.7000000;13733
RU000A100ZK0;D;20191227;000000;101.5000000;101.5000000;100.6500000;100.6900000;230817
RU000A100ZK0;D;20191230;000000;104.9700000;104.9700000;100.6900000;100.7500000;149580
RU000A100ZK0;D;20200103;000000;106.9700000;106.9700000;100.3100000;101.5000000;471
RU000A100ZK0;D;20200106;000000;102.6100000;102.6100000;100.8500000;101.2000000;153
RU000A100ZK0;D;20200108;000000;101.2000000;102.5800000;101.2000000;102.5200000;25
RU000A100ZK0;D;20200109;000000;101.9900000;101.9900000;101.1500000;101.1500000;632
RU000A100ZK0;D;20200110;000000;101.3700000;101.3700000;101.0100000;101.2400000;1155
RU000A100ZK0;D;20200113;000000;101.6100000;101.6100000;101.1000000;101.4900000;18655
RU000A100ZK0;D;20200114;000000;101.2600000;101.4900000;100.7000000;101.2400000;106779
RU000A100ZK0;D;20200115;000000;101.3000000;101.3000000;101.1600000;101.2400000;106829
RU000A100ZK0;D;20200116;000000;102.5600000;102.5600000;101.2000000;101.2900000;140591
RU000A100ZK0;D;20200117;000000;101.3300000;101.3300000;101.0500000;101.2400000;14188
RU000A100ZK0;D;20200120;000000;101.2900000;101.2900000;101.2000000;101.2000000;873
RU000A100ZK0;D;20200121;000000;101.2300000;101.2400000;101.2000000;101.2000000;4198
RU000A100ZK0;D;20200122;000000;101.2000000;101.2900000;101.2000000;101.2400000;18942
RU000A100ZK0;D;20200123;000000;101.0200000;101.3000000;101.0200000;101.3000000;23363
