<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A0JXMH7;D;20170330;000000;99.8900000;99.8900000;99.8900000;99.8900000;1130000
RU000A0JXMH7;D;20170331;000000;99.8900000;100.1000000;99.8900000;100.1000000;870110
RU000A0JXMH7;D;20170404;000000;100.0000000;100.1000000;100.0000000;100.1000000;200100
RU000A0JXMH7;D;20170405;000000;100.2000000;100.2000000;100.2000000;100.2000000;300
RU000A0JXMH7;D;20170406;000000;100.3000000;100.3000000;100.3000000;100.3000000;100
RU000A0JXMH7;D;20170413;000000;100.5000000;100.5000000;100.5000000;100.5000000;25
RU000A0JXMH7;D;20170417;000000;100.7000000;100.8000000;100.7000000;100.8000000;25100
RU000A0JXMH7;D;20170419;000000;101.0000000;101.2000000;101.0000000;101.2000000;250
RU000A0JXMH7;D;20170420;000000;101.2000000;101.2000000;101.2000000;101.2000000;1
RU000A0JXMH7;D;20170427;000000;101.3900000;101.3900000;101.3900000;101.3900000;391
RU000A0JXMH7;D;20170502;000000;101.1000000;101.1000000;101.1000000;101.1000000;15
RU000A0JXMH7;D;20170503;000000;98.5000000;101.1000000;98.5000000;101.1000000;478
RU000A0JXMH7;D;20170504;000000;101.0100000;101.0100000;101.0100000;101.0100000;5
RU000A0JXMH7;D;20170515;000000;101.0000000;101.0000000;101.0000000;101.0000000;258
RU000A0JXMH7;D;20170516;000000;100.8000000;101.0000000;100.8000000;101.0000000;3035
RU000A0JXMH7;D;20170517;000000;101.0000000;101.0000000;101.0000000;101.0000000;15
RU000A0JXMH7;D;20170522;000000;101.3000000;101.3000000;101.3000000;101.3000000;39
RU000A0JXMH7;D;20170523;000000;101.3000000;101.3000000;101.3000000;101.3000000;40
RU000A0JXMH7;D;20170524;000000;101.2500000;101.3000000;101.2500000;101.3000000;1000
RU000A0JXMH7;D;20170529;000000;101.2500000;101.2500000;101.2500000;101.2500000;525
RU000A0JXMH7;D;20170605;000000;101.3500000;101.3500000;101.3500000;101.3500000;1
RU000A0JXMH7;D;20170606;000000;101.3500000;101.3500000;101.3500000;101.3500000;5000
RU000A0JXMH7;D;20170615;000000;101.4000000;101.4000000;101.4000000;101.4000000;420000
RU000A0JXMH7;D;20170616;000000;101.6000000;101.6000000;101.6000000;101.6000000;4
RU000A0JXMH7;D;20170620;000000;100.6500000;101.0000000;100.6500000;101.0000000;170005
RU000A0JXMH7;D;20170621;000000;101.2000000;101.2000000;101.2000000;101.2000000;19995
RU000A0JXMH7;D;20170622;000000;101.2000000;101.2000000;101.2000000;101.2000000;20000
RU000A0JXMH7;D;20170623;000000;101.4000000;101.4000000;101.4000000;101.4000000;29
RU000A0JXMH7;D;20170629;000000;100.8500000;100.8500000;100.8500000;100.8500000;10010
RU000A0JXMH7;D;20170630;000000;100.8500000;100.8500000;100.8500000;100.8500000;10000
