<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A0JR4J2;D;20101207;000000;99.9900000;99.9900000;99.5500000;99.9700000;145594
RU000A0JR4J2;D;20101208;000000;100.0000000;100.0000000;99.8000000;99.8000000;48902
RU000A0JR4J2;D;20101209;000000;99.9500000;100.0800000;99.8000000;99.9300000;226015
RU000A0JR4J2;D;20101210;000000;99.8300000;99.8300000;99.8300000;99.8300000;10000
RU000A0JR4J2;D;20101213;000000;99.9000000;99.9000000;99.2000000;99.4000000;81912
RU000A0JR4J2;D;20101214;000000;99.2000000;99.3000000;99.2000000;99.3000000;30001
RU000A0JR4J2;D;20101215;000000;99.0300000;99.3500000;99.0100000;99.3500000;50505
RU000A0JR4J2;D;20101216;000000;99.3000000;99.3100000;99.3000000;99.3100000;1489
RU000A0JR4J2;D;20101217;000000;99.9000000;99.9000000;99.3500000;99.3500000;272062
RU000A0JR4J2;D;20101220;000000;99.5900000;99.6200000;99.4200000;99.4500000;89611
RU000A0JR4J2;D;20101221;000000;99.5000000;99.5400000;99.4000000;99.4600000;34401
RU000A0JR4J2;D;20101222;000000;99.5300000;99.6900000;99.5300000;99.6000000;59261
RU000A0JR4J2;D;20101223;000000;99.9500000;99.9500000;99.5000000;99.5000000;22205
RU000A0JR4J2;D;20101224;000000;99.6900000;99.7900000;99.4600000;99.7900000;4
RU000A0JR4J2;D;20101227;000000;99.6000000;99.6400000;99.4800000;99.5000000;31001
RU000A0JR4J2;D;20101228;000000;99.5000000;99.5000000;99.5000000;99.5000000;3001
RU000A0JR4J2;D;20101229;000000;99.4800000;99.6400000;99.4800000;99.6000000;6376
RU000A0JR4J2;D;20101230;000000;99.6500000;99.7500000;98.0000000;98.0000000;118065
RU000A0JR4J2;D;20110111;000000;99.7500000;99.7500000;99.3000000;99.5000000;83
RU000A0JR4J2;D;20110112;000000;99.6800000;99.6800000;99.6500000;99.6500000;20000
RU000A0JR4J2;D;20110113;000000;99.6500000;99.7900000;99.6500000;99.7000000;29436
RU000A0JR4J2;D;20110114;000000;99.7500000;99.7500000;99.7500000;99.7500000;26101
RU000A0JR4J2;D;20110117;000000;99.7800000;99.8500000;99.7800000;99.8500000;10004
RU000A0JR4J2;D;20110118;000000;99.8500000;99.8900000;99.7000000;99.8900000;30025
RU000A0JR4J2;D;20110119;000000;99.6000000;99.7800000;99.6000000;99.7800000;2
RU000A0JR4J2;D;20110120;000000;99.6500000;99.6500000;99.6500000;99.6500000;1
RU000A0JR4J2;D;20110121;000000;99.5300000;99.7400000;99.5100000;99.7400000;102000
RU000A0JR4J2;D;20110125;000000;99.6000000;99.6000000;99.6000000;99.6000000;12410
RU000A0JR4J2;D;20110126;000000;99.4000000;99.4000000;99.4000000;99.4000000;1
RU000A0JR4J2;D;20110127;000000;99.6700000;99.6700000;99.6700000;99.6700000;3000
RU000A0JR4J2;D;20110128;000000;99.2000000;99.2000000;99.2000000;99.2000000;1
RU000A0JR4J2;D;20110131;000000;99.2000000;99.4000000;99.2000000;99.4000000;76500
RU000A0JR4J2;D;20110201;000000;99.4000000;99.4000000;99.4000000;99.4000000;10550
RU000A0JR4J2;D;20110202;000000;99.8900000;99.8900000;99.8900000;99.8900000;3000
RU000A0JR4J2;D;20110203;000000;99.5000000;99.5000000;99.5000000;99.5000000;1000
RU000A0JR4J2;D;20110204;000000;99.5500000;99.5500000;99.3000000;99.5000000;8700
RU000A0JR4J2;D;20110207;000000;99.3200000;99.5000000;99.3200000;99.5000000;2
RU000A0JR4J2;D;20110208;000000;99.4400000;99.4400000;99.4000000;99.4400000;178
RU000A0JR4J2;D;20110209;000000;99.3500000;99.3500000;99.3100000;99.3100000;2000
RU000A0JR4J2;D;20110210;000000;99.3000000;99.4000000;99.3000000;99.4000000;20008
RU000A0JR4J2;D;20110211;000000;99.3000000;99.6800000;99.3000000;99.5000000;38001
RU000A0JR4J2;D;20110214;000000;99.4500000;99.5500000;99.4500000;99.5500000;50001
RU000A0JR4J2;D;20110215;000000;99.5500000;99.5500000;99.5500000;99.5500000;4800
RU000A0JR4J2;D;20110216;000000;99.4500000;99.5800000;99.2600000;99.5800000;37505
RU000A0JR4J2;D;20110217;000000;99.5500000;99.7000000;99.4000000;99.6400000;31601
RU000A0JR4J2;D;20110218;000000;99.4000000;99.7900000;99.0500000;99.6700000;153703
RU000A0JR4J2;D;20110221;000000;100.0000000;100.0000000;99.0500000;99.6500000;20002
RU000A0JR4J2;D;20110222;000000;99.5600000;99.5600000;99.4000000;99.4000000;209010
RU000A0JR4J2;D;20110224;000000;99.6800000;99.6800000;99.4000000;99.4000000;203671
RU000A0JR4J2;D;20110225;000000;99.4000000;99.4000000;99.4000000;99.4000000;100000
RU000A0JR4J2;D;20110228;000000;99.7300000;99.7700000;99.0000000;99.5500000;500729
RU000A0JR4J2;D;20110301;000000;99.7000000;99.7000000;99.4000000;99.5500000;113112
RU000A0JR4J2;D;20110302;000000;99.4500000;99.4500000;99.4500000;99.4500000;1
RU000A0JR4J2;D;20110303;000000;99.5100000;99.8500000;99.5100000;99.8000000;285713
