<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A0JTYT5;D;20130628;000000;100.0000000;100.0000000;100.0000000;100.0000000;2000
RU000A0JTYT5;D;20130702;000000;100.2400000;100.2400000;100.2400000;100.2400000;1
RU000A0JTYT5;D;20130703;000000;100.1000000;100.1000000;100.1000000;100.1000000;20000
RU000A0JTYT5;D;20130708;000000;100.0000000;100.3000000;100.0000000;100.3000000;3
RU000A0JTYT5;D;20130710;000000;100.1800000;100.1800000;100.1000000;100.1000000;3
RU000A0JTYT5;D;20130712;000000;100.2000000;100.2000000;100.2000000;100.2000000;10000
RU000A0JTYT5;D;20130715;000000;100.1000000;100.2000000;100.1000000;100.2000000;250001
RU000A0JTYT5;D;20130716;000000;100.3000000;100.3000000;100.0100000;100.0500000;30002
RU000A0JTYT5;D;20130717;000000;100.3000000;100.3000000;99.9000000;100.3000000;13000
RU000A0JTYT5;D;20130718;000000;100.4000000;100.4000000;100.4000000;100.4000000;545000
RU000A0JTYT5;D;20130723;000000;100.3400000;100.3500000;100.3400000;100.3500000;50001
RU000A0JTYT5;D;20130724;000000;100.3100000;100.3100000;100.3100000;100.3100000;50000
RU000A0JTYT5;D;20130802;000000;100.1500000;100.2500000;100.1500000;100.2500000;100005
RU000A0JTYT5;D;20130806;000000;100.3000000;100.3000000;100.3000000;100.3000000;5
RU000A0JTYT5;D;20130808;000000;100.3000000;100.3000000;100.3000000;100.3000000;50000
RU000A0JTYT5;D;20130814;000000;100.3700000;100.3700000;100.3700000;100.3700000;1
RU000A0JTYT5;D;20130815;000000;100.3300000;100.3300000;100.2800000;100.2800000;15001
RU000A0JTYT5;D;20130819;000000;100.3800000;100.3800000;100.3800000;100.3800000;73365
RU000A0JTYT5;D;20130823;000000;100.1000000;100.2500000;100.1000000;100.2500000;150005
RU000A0JTYT5;D;20130912;000000;100.2500000;100.2500000;100.2500000;100.2500000;9500
RU000A0JTYT5;D;20130913;000000;100.2000000;100.2000000;100.2000000;100.2000000;1
RU000A0JTYT5;D;20130924;000000;100.4000000;100.4000000;100.4000000;100.4000000;150000
RU000A0JTYT5;D;20131009;000000;100.0500000;100.0500000;100.0500000;100.0500000;75000
RU000A0JTYT5;D;20131011;000000;100.0500000;100.2800000;100.0500000;100.2800000;2
RU000A0JTYT5;D;20131028;000000;100.2700000;100.3600000;100.2700000;100.3600000;1158146
RU000A0JTYT5;D;20131029;000000;100.2700000;100.2700000;100.2700000;100.2700000;50000
RU000A0JTYT5;D;20131031;000000;100.2700000;100.3600000;100.2700000;100.3600000;280000
RU000A0JTYT5;D;20131106;000000;100.1500000;100.1500000;100.1500000;100.1500000;2
RU000A0JTYT5;D;20131111;000000;100.2000000;100.2000000;100.2000000;100.2000000;5
RU000A0JTYT5;D;20131114;000000;100.2500000;100.2500000;100.2500000;100.2500000;180000
RU000A0JTYT5;D;20131115;000000;100.2500000;100.3600000;100.2500000;100.3600000;320000
RU000A0JTYT5;D;20131218;000000;100.6000000;100.6000000;100.6000000;100.6000000;1
RU000A0JTYT5;D;20140115;000000;100.1500000;100.1500000;100.1500000;100.1500000;50002
RU000A0JTYT5;D;20140117;000000;100.1500000;100.1500000;100.1500000;100.1500000;1
