<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A0JVFC6;D;20150529;000000;100.5000000;100.5000000;100.1500000;100.2500000;502
RU000A0JVFC6;D;20150601;000000;100.0500000;100.5500000;100.0500000;100.5400000;352000
RU000A0JVFC6;D;20150603;000000;100.2000000;100.5000000;100.1600000;100.4500000;396000
RU000A0JVFC6;D;20150604;000000;100.0600000;100.3500000;100.0600000;100.1000000;228350
RU000A0JVFC6;D;20150605;000000;100.0700000;100.0800000;100.0500000;100.0500000;323
RU000A0JVFC6;D;20150608;000000;100.0000000;100.0000000;100.0000000;100.0000000;1
RU000A0JVFC6;D;20150609;000000;100.0000000;100.2000000;100.0000000;100.2000000;149000
RU000A0JVFC6;D;20150610;000000;100.7000000;100.7000000;100.2700000;100.3000000;205141
RU000A0JVFC6;D;20150611;000000;100.0500000;100.4500000;100.0500000;100.4500000;146751
RU000A0JVFC6;D;20150615;000000;100.5000000;100.5000000;100.5000000;100.5000000;50000
RU000A0JVFC6;D;20150617;000000;100.4500000;100.4500000;100.4500000;100.4500000;115000
RU000A0JVFC6;D;20150618;000000;100.2000000;100.4000000;100.2000000;100.4000000;1501
RU000A0JVFC6;D;20150619;000000;100.2000000;100.7500000;100.2000000;100.7000000;99201
RU000A0JVFC6;D;20150622;000000;100.6000000;100.6000000;100.2000000;100.5900000;141400
RU000A0JVFC6;D;20150624;000000;100.6500000;100.6500000;100.6500000;100.6500000;1239
RU000A0JVFC6;D;20150625;000000;101.4700000;101.4700000;100.8900000;100.9000000;121021
RU000A0JVFC6;D;20150702;000000;100.6500000;100.6500000;100.6500000;100.6500000;7300
RU000A0JVFC6;D;20150710;000000;101.5000000;101.5000000;100.5000000;100.5000000;25001
RU000A0JVFC6;D;20150716;000000;100.4000000;100.4000000;100.4000000;100.4000000;7000
RU000A0JVFC6;D;20150717;000000;100.4000000;100.4900000;100.4000000;100.4900000;15099
RU000A0JVFC6;D;20150720;000000;100.5000000;100.5000000;100.4500000;100.5000000;81999
RU000A0JVFC6;D;20150721;000000;100.0000000;100.0000000;100.0000000;100.0000000;5
RU000A0JVFC6;D;20150803;000000;100.7000000;100.7000000;100.7000000;100.7000000;5
RU000A0JVFC6;D;20150804;000000;100.3900000;100.3900000;100.3900000;100.3900000;1
RU000A0JVFC6;D;20150805;000000;100.2500000;100.2500000;100.2500000;100.2500000;38346
RU000A0JVFC6;D;20150807;000000;100.4000000;100.4000000;100.4000000;100.4000000;500
RU000A0JVFC6;D;20150810;000000;100.4500000;100.4500000;100.0000000;100.0000000;650
RU000A0JVFC6;D;20150820;000000;100.0900000;100.0900000;100.0900000;100.0900000;1
RU000A0JVFC6;D;20150824;000000;99.2500000;100.0000000;99.2500000;100.0000000;15001
RU000A0JVFC6;D;20150831;000000;99.7000000;100.0000000;90.0100000;90.0100000;35048
RU000A0JVFC6;D;20150901;000000;99.9900000;99.9900000;99.9900000;99.9900000;1
RU000A0JVFC6;D;20150903;000000;99.5000000;99.5000000;99.5000000;99.5000000;1300
RU000A0JVFC6;D;20150910;000000;99.7500000;99.7800000;99.7500000;99.7800000;12240
RU000A0JVFC6;D;20150911;000000;99.7000000;99.7000000;99.7000000;99.7000000;421
RU000A0JVFC6;D;20150921;000000;100.1900000;100.2000000;100.1900000;100.2000000;5
RU000A0JVFC6;D;20150925;000000;99.8000000;99.8000000;99.6000000;99.6000000;2596
RU000A0JVFC6;D;20150928;000000;99.8000000;99.8000000;99.8000000;99.8000000;1296
RU000A0JVFC6;D;20150930;000000;99.8000000;99.8100000;99.8000000;99.8100000;2
RU000A0JVFC6;D;20151001;000000;100.3000000;100.3000000;100.3000000;100.3000000;5000
RU000A0JVFC6;D;20151008;000000;100.3000000;100.3000000;100.3000000;100.3000000;421
RU000A0JVFC6;D;20151013;000000;100.3000000;100.3000000;100.3000000;100.3000000;5000
RU000A0JVFC6;D;20151015;000000;100.2000000;100.2000000;100.2000000;100.2000000;3395
RU000A0JVFC6;D;20151022;000000;100.5000000;100.5000000;100.5000000;100.5000000;6120
RU000A0JVFC6;D;20151026;000000;100.8000000;100.8000000;100.8000000;100.8000000;144930
RU000A0JVFC6;D;20151027;000000;100.8000000;100.8000000;100.8000000;100.8000000;8430
RU000A0JVFC6;D;20151102;000000;101.0000000;101.0000000;101.0000000;101.0000000;14390
RU000A0JVFC6;D;20151110;000000;100.3100000;100.3100000;100.3000000;100.3000000;27700
RU000A0JVFC6;D;20151112;000000;100.8000000;100.8000000;100.8000000;100.8000000;15927
RU000A0JVFC6;D;20151113;000000;100.0000000;100.8000000;100.0000000;100.8000000;521
RU000A0JVFC6;D;20151116;000000;100.8000000;100.8000000;100.7000000;100.7000000;10455
RU000A0JVFC6;D;20151117;000000;100.8000000;100.8000000;100.8000000;100.8000000;1811
RU000A0JVFC6;D;20151123;000000;100.5000000;100.5000000;100.5000000;100.5000000;46071
RU000A0JVFC6;D;20151124;000000;101.2500000;101.2500000;101.0000000;101.0000000;5000
RU000A0JVFC6;D;20151201;000000;100.9000000;100.9000000;100.9000000;100.9000000;4825
RU000A0JVFC6;D;20151210;000000;100.8000000;100.8000000;100.8000000;100.8000000;2340
RU000A0JVFC6;D;20151214;000000;100.7500000;100.7500000;100.4000000;100.4000000;30000
RU000A0JVFC6;D;20151217;000000;100.6500000;100.6500000;100.6500000;100.6500000;19800
RU000A0JVFC6;D;20151221;000000;100.6000000;100.6000000;100.6000000;100.6000000;1
RU000A0JVFC6;D;20151222;000000;101.4000000;101.4000000;101.2000000;101.2000000;25002
RU000A0JVFC6;D;20151230;000000;100.2000000;100.7500000;100.2000000;100.7500000;1045
RU000A0JVFC6;D;20160126;000000;100.6000000;100.6000000;100.6000000;100.6000000;20000
RU000A0JVFC6;D;20160127;000000;100.6000000;100.6000000;100.6000000;100.6000000;3635
RU000A0JVFC6;D;20160129;000000;100.7500000;100.7500000;100.7500000;100.7500000;4335
RU000A0JVFC6;D;20160201;000000;100.7500000;100.9000000;100.7500000;100.9000000;1473
RU000A0JVFC6;D;20160204;000000;100.5500000;100.8000000;100.5500000;100.8000000;705382
RU000A0JVFC6;D;20160205;000000;101.4900000;101.4900000;101.4900000;101.4900000;1
RU000A0JVFC6;D;20160208;000000;100.3000000;100.7500000;100.3000000;100.7500000;155026
RU000A0JVFC6;D;20160211;000000;100.6500000;100.6500000;100.6000000;100.6500000;48963
RU000A0JVFC6;D;20160212;000000;100.4000000;100.6500000;100.4000000;100.6000000;593055
RU000A0JVFC6;D;20160215;000000;100.5000000;100.5700000;100.5000000;100.5000000;274871
