<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A0JVWJ6;D;20151102;000000;100.3000000;102.0000000;100.3000000;102.0000000;8092
RU000A0JVWJ6;D;20151103;000000;100.0200000;102.0000000;100.0200000;101.8000000;6103
RU000A0JVWJ6;D;20151105;000000;101.8000000;101.8000000;101.7900000;101.7900000;3795
RU000A0JVWJ6;D;20151110;000000;101.7500000;101.7500000;101.2000000;101.7000000;23
RU000A0JVWJ6;D;20151117;000000;101.5000000;101.7000000;101.4500000;101.7000000;3160
RU000A0JVWJ6;D;20151118;000000;101.4500000;101.5000000;101.4500000;101.5000000;98043
RU000A0JVWJ6;D;20151119;000000;101.4500000;101.7000000;101.4500000;101.6900000;101987
RU000A0JVWJ6;D;20151120;000000;101.6900000;101.6900000;101.6900000;101.6900000;5
RU000A0JVWJ6;D;20151123;000000;101.4900000;101.4900000;101.4900000;101.4900000;123
RU000A0JVWJ6;D;20151124;000000;101.6900000;101.7000000;101.6800000;101.6800000;714
RU000A0JVWJ6;D;20151125;000000;101.6500000;101.6500000;101.6500000;101.6500000;20
RU000A0JVWJ6;D;20151126;000000;101.6500000;101.6500000;101.2500000;101.6500000;2011
RU000A0JVWJ6;D;20151127;000000;101.2500000;101.5000000;101.2500000;101.5000000;6383
RU000A0JVWJ6;D;20151201;000000;101.6400000;101.6500000;101.6400000;101.6500000;34
RU000A0JVWJ6;D;20151202;000000;101.6500000;101.6500000;101.4000000;101.4000000;2
RU000A0JVWJ6;D;20151203;000000;101.6500000;101.6500000;101.6500000;101.6500000;601
RU000A0JVWJ6;D;20151209;000000;101.6500000;101.6500000;101.6500000;101.6500000;5
RU000A0JVWJ6;D;20151211;000000;101.6000000;101.6000000;101.6000000;101.6000000;10
RU000A0JVWJ6;D;20151215;000000;101.3600000;101.3600000;101.3500000;101.3500000;1000
RU000A0JVWJ6;D;20151216;000000;101.5000000;101.5000000;101.5000000;101.5000000;21
RU000A0JVWJ6;D;20151218;000000;101.6000000;101.6000000;101.6000000;101.6000000;5
RU000A0JVWJ6;D;20151223;000000;101.3500000;101.3500000;101.0000000;101.3500000;5041
RU000A0JVWJ6;D;20151225;000000;101.3500000;101.3500000;101.3500000;101.3500000;544
RU000A0JVWJ6;D;20151228;000000;101.0000000;101.4000000;101.0000000;101.0000000;5012
