<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A101GD3;D;20200227;000000;100.1000000;100.1000000;99.5000000;99.7500000;374306
RU000A101GD3;D;20200228;000000;99.8000000;99.8000000;98.5700000;98.5700000;159839
RU000A101GD3;D;20200302;000000;100.1000000;100.1000000;98.9300000;99.7500000;9490
RU000A101GD3;D;20200303;000000;100.1000000;100.1000000;99.6500000;99.6500000;581
RU000A101GD3;D;20200304;000000;100.0000000;100.0000000;99.6000000;99.9000000;15186
RU000A101GD3;D;20200305;000000;100.1000000;100.1000000;99.8000000;99.8500000;12204
RU000A101GD3;D;20200306;000000;100.0000000;100.0000000;99.7400000;99.7500000;1576
RU000A101GD3;D;20200310;000000;98.9000000;98.9000000;98.8000000;98.8500000;504
RU000A101GD3;D;20200311;000000;98.8000000;99.8500000;98.7700000;99.0000000;118
RU000A101GD3;D;20200312;000000;98.7000000;98.7000000;93.7500000;96.0000000;130
RU000A101GD3;D;20200313;000000;96.0000000;97.1000000;93.7500000;96.6000000;1220
RU000A101GD3;D;20200316;000000;92.6100000;97.0000000;92.6000000;97.0000000;2611
RU000A101GD3;D;20200317;000000;93.0000000;96.5000000;93.0000000;96.5000000;101
RU000A101GD3;D;20200318;000000;91.0500000;95.9900000;91.0500000;95.9900000;221
RU000A101GD3;D;20200319;000000;89.2600000;91.0000000;81.0100000;88.1200000;2564
RU000A101GD3;D;20200320;000000;95.9000000;95.9000000;90.0000000;90.0000000;35
RU000A101GD3;D;20200323;000000;73.0200000;97.0000000;73.0100000;93.9800000;3527
RU000A101GD3;D;20200324;000000;94.9000000;94.9900000;88.0200000;94.0000000;206
RU000A101GD3;D;20200325;000000;95.6500000;95.6500000;93.0000000;93.0000000;123
RU000A101GD3;D;20200326;000000;94.4900000;94.4900000;89.5000000;93.8900000;583
RU000A101GD3;D;20200327;000000;93.7000000;93.7000000;92.4900000;92.5000000;531
RU000A101GD3;D;20200331;000000;93.9700000;93.9700000;89.0000000;92.8000000;1503
RU000A101GD3;D;20200401;000000;92.7900000;92.8000000;92.7000000;92.8000000;2276
RU000A101GD3;D;20200402;000000;92.8000000;92.8000000;92.5000000;92.5000000;207
RU000A101GD3;D;20200403;000000;92.5000000;92.7500000;91.5000000;92.4500000;83835
RU000A101GD3;D;20200406;000000;92.5000000;93.2500000;92.0000000;93.2500000;17666
RU000A101GD3;D;20200407;000000;93.7000000;94.0000000;92.9900000;94.0000000;22837
RU000A101GD3;D;20200408;000000;94.1000000;94.1000000;93.0000000;93.4000000;15092
RU000A101GD3;D;20200409;000000;93.4000000;93.6800000;93.0000000;93.4000000;80239
RU000A101GD3;D;20200410;000000;93.4800000;93.9500000;93.0000000;93.5000000;23382
RU000A101GD3;D;20200413;000000;93.1700000;95.1900000;93.1500000;93.6900000;16200
RU000A101GD3;D;20200414;000000;93.8400000;95.1000000;93.6900000;94.8000000;14604
