<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A100YE6;D;20191023;000000;100.1500000;100.4700000;100.1500000;100.4500000;102058
RU000A100YE6;D;20191024;000000;100.7600000;100.7600000;100.2500000;100.4500000;2014
RU000A100YE6;D;20191025;000000;100.4900000;100.5000000;100.4900000;100.5000000;34776
RU000A100YE6;D;20191028;000000;100.7700000;100.7700000;100.4500000;100.7700000;25056
RU000A100YE6;D;20191029;000000;100.7700000;101.0000000;100.6000000;101.0000000;764
RU000A100YE6;D;20191030;000000;101.0000000;101.0000000;101.0000000;101.0000000;2
RU000A100YE6;D;20191031;000000;101.0000000;101.0000000;100.8000000;100.9700000;135108
RU000A100YE6;D;20191101;000000;100.9700000;100.9700000;100.5500000;100.5500000;213
RU000A100YE6;D;20191105;000000;100.6000000;100.6000000;100.6000000;100.6000000;272
RU000A100YE6;D;20191107;000000;100.9000000;100.9000000;100.8500000;100.8500000;23
RU000A100YE6;D;20191108;000000;100.8500000;101.1500000;100.8000000;101.1500000;234
RU000A100YE6;D;20191112;000000;101.1500000;101.1500000;100.6000000;100.9500000;75025
RU000A100YE6;D;20191113;000000;100.9900000;101.0000000;100.9900000;101.0000000;185000
RU000A100YE6;D;20191115;000000;101.0000000;101.0000000;100.9500000;100.9800000;6020
RU000A100YE6;D;20191119;000000;101.0000000;101.0000000;101.0000000;101.0000000;20
RU000A100YE6;D;20191120;000000;101.1500000;101.1500000;100.9000000;100.9000000;5340
RU000A100YE6;D;20191122;000000;100.9500000;100.9500000;100.9400000;100.9400000;102000
RU000A100YE6;D;20191126;000000;101.3800000;101.4500000;101.0000000;101.0000000;1050
RU000A100YE6;D;20191127;000000;101.2000000;101.2000000;101.2000000;101.2000000;41
RU000A100YE6;D;20191128;000000;100.9400000;100.9400000;100.9400000;100.9400000;10
RU000A100YE6;D;20191129;000000;100.6500000;100.9500000;100.6500000;100.9500000;100005
RU000A100YE6;D;20191202;000000;100.9500000;100.9500000;100.4000000;100.7700000;10037
RU000A100YE6;D;20191203;000000;100.6500000;100.6500000;100.4000000;100.4500000;81051
RU000A100YE6;D;20191204;000000;100.4900000;100.5000000;100.4100000;100.4500000;89980
RU000A100YE6;D;20191206;000000;100.8000000;100.8000000;100.8000000;100.8000000;7
RU000A100YE6;D;20191209;000000;100.6500000;100.6500000;100.6000000;100.6000000;26805
RU000A100YE6;D;20191210;000000;100.6500000;100.6500000;100.6500000;100.6500000;16287
RU000A100YE6;D;20191212;000000;100.7000000;100.7000000;100.7000000;100.7000000;9445
RU000A100YE6;D;20191213;000000;100.8000000;101.1000000;100.8000000;101.1000000;34
RU000A100YE6;D;20191216;000000;100.8500000;100.8500000;100.8000000;100.8500000;2998
RU000A100YE6;D;20191217;000000;101.0000000;101.0000000;101.0000000;101.0000000;45
RU000A100YE6;D;20191218;000000;101.0000000;101.0000000;100.8000000;101.0000000;339
RU000A100YE6;D;20191220;000000;101.0000000;101.0000000;101.0000000;101.0000000;3
RU000A100YE6;D;20191223;000000;100.9500000;100.9500000;100.9500000;100.9500000;202
RU000A100YE6;D;20191224;000000;100.9000000;101.0000000;100.9000000;101.0000000;45
RU000A100YE6;D;20191225;000000;101.4000000;101.4000000;101.1000000;101.1000000;5005
RU000A100YE6;D;20191226;000000;101.5000000;101.5000000;101.5000000;101.5000000;20
RU000A100YE6;D;20191227;000000;101.2500000;101.2500000;101.2500000;101.2500000;123
RU000A100YE6;D;20191230;000000;101.5000000;101.5000000;100.5500000;100.5500000;23875
RU000A100YE6;D;20200103;000000;101.4900000;103.0000000;101.4900000;102.9500000;1009
RU000A100YE6;D;20200106;000000;102.9500000;102.9500000;102.8900000;102.8900000;13
RU000A100YE6;D;20200108;000000;102.8700000;102.8700000;102.8500000;102.8500000;2
RU000A100YE6;D;20200110;000000;101.9400000;101.9400000;101.9400000;101.9400000;2
RU000A100YE6;D;20200113;000000;101.9400000;101.9400000;101.6000000;101.9400000;12007
RU000A100YE6;D;20200114;000000;101.4000000;101.4000000;101.4000000;101.4000000;37
RU000A100YE6;D;20200115;000000;101.9000000;101.9000000;101.7000000;101.7000000;105
RU000A100YE6;D;20200116;000000;101.9000000;101.9000000;101.9000000;101.9000000;12
RU000A100YE6;D;20200117;000000;101.9000000;102.4500000;101.9000000;102.0500000;50034
RU000A100YE6;D;20200120;000000;102.0000000;102.0000000;101.8500000;101.8500000;19008
RU000A100YE6;D;20200121;000000;102.1000000;102.1000000;102.1000000;102.1000000;2764
RU000A100YE6;D;20200122;000000;102.0500000;102.0500000;102.0500000;102.0500000;28
