<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A0JWTH4;D;20160922;000000;100.3500000;100.3500000;100.0000000;100.2400000;75022
RU000A0JWTH4;D;20160923;000000;100.0500000;100.0500000;100.0500000;100.0500000;50000
RU000A0JWTH4;D;20160926;000000;100.0500000;100.0500000;100.0500000;100.0500000;200000
RU000A0JWTH4;D;20160927;000000;100.0600000;100.0600000;100.0000000;100.0000000;140118
RU000A0JWTH4;D;20160928;000000;100.0500000;100.1000000;100.0500000;100.1000000;37700
RU000A0JWTH4;D;20160929;000000;100.0800000;100.0800000;100.0800000;100.0800000;32500
RU000A0JWTH4;D;20160930;000000;100.0200000;100.0200000;100.0200000;100.0200000;9
RU000A0JWTH4;D;20161003;000000;100.0500000;100.0500000;100.0100000;100.0100000;586
RU000A0JWTH4;D;20161004;000000;100.0500000;100.0500000;100.0500000;100.0500000;2130
RU000A0JWTH4;D;20161006;000000;100.0000000;100.0000000;99.9500000;99.9500000;120700
RU000A0JWTH4;D;20161007;000000;99.9200000;100.0500000;99.9200000;100.0500000;200497
RU000A0JWTH4;D;20161010;000000;100.0000000;100.0000000;100.0000000;100.0000000;700
RU000A0JWTH4;D;20161011;000000;99.9000000;99.9000000;99.9000000;99.9000000;35000
RU000A0JWTH4;D;20161012;000000;99.9000000;99.9000000;99.9000000;99.9000000;16
RU000A0JWTH4;D;20161014;000000;99.9000000;99.9000000;99.9000000;99.9000000;32
RU000A0JWTH4;D;20161018;000000;99.7500000;99.7500000;99.7500000;99.7500000;106830
RU000A0JWTH4;D;20161020;000000;99.7500000;99.7500000;99.7500000;99.7500000;13
RU000A0JWTH4;D;20161021;000000;99.9200000;99.9200000;99.9200000;99.9200000;28500
RU000A0JWTH4;D;20161024;000000;99.7500000;99.9200000;99.7500000;99.9200000;105
RU000A0JWTH4;D;20161026;000000;99.7500000;99.7500000;99.7500000;99.7500000;25
RU000A0JWTH4;D;20161027;000000;99.9200000;100.0000000;99.9200000;100.0000000;49542
RU000A0JWTH4;D;20161028;000000;99.7500000;99.7500000;99.7500000;99.7500000;57
RU000A0JWTH4;D;20161031;000000;99.7500000;99.7500000;99.7500000;99.7500000;23
RU000A0JWTH4;D;20161101;000000;99.7500000;99.7500000;99.7500000;99.7500000;8
RU000A0JWTH4;D;20161102;000000;99.8000000;99.8000000;99.8000000;99.8000000;30000
RU000A0JWTH4;D;20161103;000000;99.9900000;99.9900000;99.9900000;99.9900000;100
RU000A0JWTH4;D;20161107;000000;99.9500000;99.9500000;99.9500000;99.9500000;2050
RU000A0JWTH4;D;20161108;000000;99.7500000;99.7500000;99.7500000;99.7500000;5
RU000A0JWTH4;D;20161110;000000;99.7500000;99.9500000;99.7500000;99.9500000;13
RU000A0JWTH4;D;20161114;000000;99.8000000;99.8000000;99.8000000;99.8000000;9
RU000A0JWTH4;D;20161115;000000;99.9400000;99.9400000;99.9400000;99.9400000;270
RU000A0JWTH4;D;20161116;000000;99.7000000;99.7000000;99.7000000;99.7000000;23
RU000A0JWTH4;D;20161117;000000;99.9000000;99.9000000;99.9000000;99.9000000;3
RU000A0JWTH4;D;20161123;000000;99.7200000;99.7200000;99.7200000;99.7200000;64
RU000A0JWTH4;D;20161124;000000;99.7500000;99.7500000;99.7500000;99.7500000;4
RU000A0JWTH4;D;20161130;000000;100.0000000;100.0000000;100.0000000;100.0000000;1717
RU000A0JWTH4;D;20161206;000000;99.7500000;99.7500000;99.7500000;99.7500000;185
RU000A0JWTH4;D;20161207;000000;99.9300000;99.9300000;99.5700000;99.5700000;388
RU000A0JWTH4;D;20161214;000000;99.9500000;99.9500000;99.9500000;99.9500000;13817
RU000A0JWTH4;D;20161221;000000;99.7500000;99.7500000;99.7500000;99.7500000;63
RU000A0JWTH4;D;20161223;000000;99.9200000;99.9200000;99.9200000;99.9200000;175
RU000A0JWTH4;D;20161226;000000;99.7500000;99.7500000;99.7500000;99.7500000;12
RU000A0JWTH4;D;20161227;000000;99.7000000;99.7000000;99.6000000;99.6000000;1185
RU000A0JWTH4;D;20161229;000000;100.0000000;100.0000000;100.0000000;100.0000000;17
RU000A0JWTH4;D;20161230;000000;100.0000000;100.0000000;100.0000000;100.0000000;100
RU000A0JWTH4;D;20170110;000000;100.0000000;100.0000000;100.0000000;100.0000000;10800
RU000A0JWTH4;D;20170111;000000;99.8500000;100.0000000;99.8500000;100.0000000;9003
RU000A0JWTH4;D;20170112;000000;100.0000000;100.1000000;100.0000000;100.0400000;161451
RU000A0JWTH4;D;20170118;000000;100.2000000;100.2000000;100.2000000;100.2000000;15
RU000A0JWTH4;D;20170123;000000;100.7000000;100.7000000;100.7000000;100.7000000;5
RU000A0JWTH4;D;20170124;000000;101.0000000;101.0000000;100.3000000;100.3000000;25057
RU000A0JWTH4;D;20170126;000000;100.4000000;100.4000000;100.4000000;100.4000000;69
RU000A0JWTH4;D;20170127;000000;100.4000000;100.4000000;100.4000000;100.4000000;290
RU000A0JWTH4;D;20170131;000000;100.0500000;100.3500000;100.0500000;100.3500000;29808
RU000A0JWTH4;D;20170201;000000;100.3500000;100.3500000;100.3500000;100.3500000;93
RU000A0JWTH4;D;20170202;000000;100.0500000;100.0500000;100.0500000;100.0500000;84
RU000A0JWTH4;D;20170203;000000;100.4000000;100.4000000;100.2000000;100.2000000;744
RU000A0JWTH4;D;20170206;000000;100.2200000;100.4000000;100.2200000;100.4000000;56438
