<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A0JTKJ5;D;20130214;000000;100.1400000;100.2000000;100.0100000;100.0300000;442314
RU000A0JTKJ5;D;20130215;000000;100.2000000;100.2000000;100.0300000;100.2000000;74590
RU000A0JTKJ5;D;20130219;000000;100.1900000;100.2500000;100.1900000;100.2000000;61414
RU000A0JTKJ5;D;20130220;000000;100.1800000;100.2500000;100.1800000;100.2500000;100001
RU000A0JTKJ5;D;20130221;000000;100.1500000;100.1500000;100.1500000;100.1500000;10000
RU000A0JTKJ5;D;20130222;000000;100.1000000;100.1200000;100.1000000;100.1200000;40000
RU000A0JTKJ5;D;20130226;000000;100.1100000;100.1100000;100.1100000;100.1100000;12000
RU000A0JTKJ5;D;20130227;000000;100.0000000;100.1000000;100.0000000;100.1000000;240000
RU000A0JTKJ5;D;20130228;000000;100.0100000;100.1000000;100.0100000;100.1000000;8300
RU000A0JTKJ5;D;20130301;000000;100.1000000;100.1500000;100.1000000;100.1500000;32001
RU000A0JTKJ5;D;20130304;000000;100.0500000;100.0500000;100.0500000;100.0500000;1193
RU000A0JTKJ5;D;20130306;000000;100.1200000;100.1500000;100.1200000;100.1500000;34999
RU000A0JTKJ5;D;20130312;000000;99.2500000;100.0300000;99.2500000;100.0300000;15900
RU000A0JTKJ5;D;20130313;000000;100.0700000;100.1500000;100.0500000;100.0500000;15900
RU000A0JTKJ5;D;20130314;000000;99.6000000;100.3500000;99.6000000;100.0500000;57003
RU000A0JTKJ5;D;20130315;000000;99.7000000;100.1900000;99.7000000;100.1700000;35502
RU000A0JTKJ5;D;20130319;000000;100.0000000;100.0000000;100.0000000;100.0000000;5000
RU000A0JTKJ5;D;20130320;000000;99.9500000;99.9900000;99.9500000;99.9900000;45000
RU000A0JTKJ5;D;20130325;000000;100.0000000;100.0000000;100.0000000;100.0000000;5000
