<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A0JSPY5;D;20120920;000000;100.0000000;100.0000000;100.0000000;100.0000000;5000
RU000A0JSPY5;D;20120921;000000;100.0000000;100.0000000;100.0000000;100.0000000;5000
RU000A0JSPY5;D;20121127;000000;100.0000000;100.0000000;100.0000000;100.0000000;1
RU000A0JSPY5;D;20121220;000000;100.0000000;100.0000000;100.0000000;100.0000000;10000
RU000A0JSPY5;D;20130124;000000;100.0000000;100.0000000;100.0000000;100.0000000;10000
RU000A0JSPY5;D;20130227;000000;100.0000000;100.0000000;100.0000000;100.0000000;1
RU000A0JSPY5;D;20130228;000000;100.0000000;100.0000000;100.0000000;100.0000000;122258
RU000A0JSPY5;D;20130327;000000;100.0000000;100.0000000;100.0000000;100.0000000;10000
RU000A0JSPY5;D;20130405;000000;100.0000000;100.0000000;100.0000000;100.0000000;10000
RU000A0JSPY5;D;20130522;000000;100.0000000;100.0000000;100.0000000;100.0000000;1460000
RU000A0JSPY5;D;20130528;000000;100.0000000;100.0000000;100.0000000;100.0000000;1460000
RU000A0JSPY5;D;20130626;000000;100.0000000;100.0000000;100.0000000;100.0000000;248243
RU000A0JSPY5;D;20131212;000000;100.0000000;100.0000000;100.0000000;100.0000000;75600
RU000A0JSPY5;D;20131213;000000;100.0200000;100.0200000;100.0200000;100.0200000;75600
RU000A0JSPY5;D;20131218;000000;100.0000000;100.0000000;100.0000000;100.0000000;1926200
RU000A0JSPY5;D;20131220;000000;100.0300000;100.0300000;100.0300000;100.0300000;10
RU000A0JSPY5;D;20131223;000000;100.0500000;100.0500000;100.0500000;100.0500000;10
RU000A0JSPY5;D;20131225;000000;100.0300000;100.0300000;100.0300000;100.0300000;1833200
RU000A0JSPY5;D;20140120;000000;100.0000000;100.0000000;100.0000000;100.0000000;1
RU000A0JSPY5;D;20140121;000000;100.0200000;100.0200000;100.0200000;100.0200000;1
RU000A0JSPY5;D;20140619;000000;100.0000000;100.0000000;100.0000000;100.0000000;75500
RU000A0JSPY5;D;20140620;000000;100.0200000;100.0200000;100.0200000;100.0200000;75500
