<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A0JQ4X4;D;20090930;000000;100.0000000;100.0000000;100.0000000;100.0000000;1000
RU000A0JQ4X4;D;20091001;000000;100.0000000;100.0000000;100.0000000;100.0000000;1000
RU000A0JQ4X4;D;20100118;000000;100.0000000;100.0000000;100.0000000;100.0000000;10000
RU000A0JQ4X4;D;20100427;000000;100.0000000;100.0000000;100.0000000;100.0000000;1000
RU000A0JQ4X4;D;20100722;000000;100.0000000;100.0000000;100.0000000;100.0000000;7000
RU000A0JQ4X4;D;20110217;000000;100.0000000;100.0000000;100.0000000;100.0000000;4000
RU000A0JQ4X4;D;20110228;000000;100.0000000;100.0000000;100.0000000;100.0000000;3000
RU000A0JQ4X4;D;20110808;000000;100.0000000;100.0000000;100.0000000;100.0000000;1496000
RU000A0JQ4X4;D;20110908;000000;100.0000000;100.0000000;100.0000000;100.0000000;30000
RU000A0JQ4X4;D;20111006;000000;100.0000000;100.0500000;100.0000000;100.0500000;12000
RU000A0JQ4X4;D;20111101;000000;100.0000000;100.0000000;100.0000000;100.0000000;17000
RU000A0JQ4X4;D;20120220;000000;100.0000000;100.0000000;100.0000000;100.0000000;37000
RU000A0JQ4X4;D;20120221;000000;100.1000000;100.1000000;100.1000000;100.1000000;37000
RU000A0JQ4X4;D;20120321;000000;100.0000000;100.0000000;100.0000000;100.0000000;15000
RU000A0JQ4X4;D;20120322;000000;100.0000000;100.0000000;100.0000000;100.0000000;15000
RU000A0JQ4X4;D;20120410;000000;100.0000000;100.0000000;100.0000000;100.0000000;15000
RU000A0JQ4X4;D;20120411;000000;100.0000000;100.0200000;100.0000000;100.0200000;27000
RU000A0JQ4X4;D;20120524;000000;100.0000000;100.0500000;100.0000000;100.0500000;12000
RU000A0JQ4X4;D;20120810;000000;100.0000000;100.0300000;100.0000000;100.0300000;66000
RU000A0JQ4X4;D;20120920;000000;100.0000000;100.0000000;100.0000000;100.0000000;15000
RU000A0JQ4X4;D;20120921;000000;100.0000000;100.0000000;100.0000000;100.0000000;15000
RU000A0JQ4X4;D;20121031;000000;100.0000000;100.0200000;99.9800000;100.0200000;42000
RU000A0JQ4X4;D;20121128;000000;100.0000000;100.0000000;100.0000000;100.0000000;10000
RU000A0JQ4X4;D;20121129;000000;100.0000000;100.0000000;100.0000000;100.0000000;6500
RU000A0JQ4X4;D;20121205;000000;100.0000000;100.0000000;100.0000000;100.0000000;10000
RU000A0JQ4X4;D;20121206;000000;100.0100000;100.0100000;100.0100000;100.0100000;10000
RU000A0JQ4X4;D;20130215;000000;100.0000000;100.0000000;100.0000000;100.0000000;62100
RU000A0JQ4X4;D;20130225;000000;100.0000000;100.0000000;100.0000000;100.0000000;20100
RU000A0JQ4X4;D;20130410;000000;100.0000000;100.0200000;100.0000000;100.0200000;64200
RU000A0JQ4X4;D;20130605;000000;100.0000000;100.0000000;100.0000000;100.0000000;10000
RU000A0JQ4X4;D;20130624;000000;100.0000000;100.0000000;100.0000000;100.0000000;80200
RU000A0JQ4X4;D;20130626;000000;100.0000000;100.0000000;100.0000000;100.0000000;6500
RU000A0JQ4X4;D;20131021;000000;100.0000000;100.0000000;100.0000000;100.0000000;30000
RU000A0JQ4X4;D;20131022;000000;100.0200000;100.0200000;100.0200000;100.0200000;30000
RU000A0JQ4X4;D;20131212;000000;100.0000000;100.0000000;100.0000000;100.0000000;45100
RU000A0JQ4X4;D;20131213;000000;100.0200000;100.0200000;100.0200000;100.0200000;45100
RU000A0JQ4X4;D;20140403;000000;100.0000000;100.0000000;100.0000000;100.0000000;30100
RU000A0JQ4X4;D;20140404;000000;100.0200000;100.0200000;100.0200000;100.0200000;30100
RU000A0JQ4X4;D;20140512;000000;100.0000000;100.0000000;100.0000000;100.0000000;500
RU000A0JQ4X4;D;20140513;000000;100.0200000;100.0200000;100.0200000;100.0200000;500
RU000A0JQ4X4;D;20140619;000000;100.0000000;100.0000000;100.0000000;100.0000000;45050
RU000A0JQ4X4;D;20140620;000000;100.0200000;100.0200000;100.0200000;100.0200000;45050
