<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A1012L2;D;20191119;000000;100.8000000;100.8000000;100.0000000;100.0000000;107
RU000A1012L2;D;20191120;000000;100.7000000;100.8300000;100.0000000;100.8300000;34
RU000A1012L2;D;20191121;000000;100.0000000;101.9900000;100.0000000;100.7800000;654
RU000A1012L2;D;20191122;000000;100.3500000;100.3500000;100.0000000;100.2000000;425
RU000A1012L2;D;20191125;000000;100.2500000;100.2500000;100.0000000;100.1800000;2277
RU000A1012L2;D;20191126;000000;100.0000000;100.1900000;100.0000000;100.0000000;851
RU000A1012L2;D;20191127;000000;99.7100000;100.1900000;99.7100000;100.0900000;688
RU000A1012L2;D;20191128;000000;100.0000000;100.0000000;99.9900000;99.9900000;793
RU000A1012L2;D;20191129;000000;100.1700000;100.1800000;99.0000000;100.1700000;2310
RU000A1012L2;D;20191202;000000;99.2100000;100.1800000;99.2100000;100.0000000;4180
RU000A1012L2;D;20191203;000000;99.8000000;100.1400000;99.6300000;99.7600000;3635
RU000A1012L2;D;20191204;000000;100.0000000;100.1700000;99.8000000;99.9900000;1227
RU000A1012L2;D;20191205;000000;100.0000000;100.4800000;100.0000000;100.1000000;905
RU000A1012L2;D;20191206;000000;100.1000000;100.8800000;99.0000000;100.0000000;2341
RU000A1012L2;D;20191209;000000;99.5000000;100.8700000;99.5000000;100.1400000;2766
RU000A1012L2;D;20191210;000000;100.1900000;100.1900000;99.6400000;100.1000000;1217
RU000A1012L2;D;20191211;000000;100.1700000;100.4900000;99.7600000;100.1900000;3049
RU000A1012L2;D;20191212;000000;100.0000000;100.1800000;100.0000000;100.1600000;2687
RU000A1012L2;D;20191213;000000;100.1800000;100.1800000;99.5200000;100.0500000;3591
RU000A1012L2;D;20191216;000000;100.0300000;100.1800000;100.0200000;100.0500000;3142
RU000A1012L2;D;20191217;000000;100.0000000;100.1900000;100.0000000;100.0500000;3850
RU000A1012L2;D;20191218;000000;100.0600000;100.1800000;100.0500000;100.1700000;3775
RU000A1012L2;D;20191219;000000;100.0300000;100.6900000;100.0200000;100.1800000;3456
RU000A1012L2;D;20191220;000000;100.3700000;100.3700000;100.0300000;100.1500000;2169
RU000A1012L2;D;20191223;000000;99.9600000;100.3000000;97.5100000;100.1800000;9971
RU000A1012L2;D;20191224;000000;100.0200000;100.3800000;100.0000000;100.0700000;5988
RU000A1012L2;D;20191225;000000;100.0100000;101.0000000;100.0000000;100.4200000;4974
RU000A1012L2;D;20191226;000000;100.1800000;100.8800000;100.1800000;100.3000000;716
RU000A1012L2;D;20191227;000000;100.2400000;100.8900000;100.1000000;100.3100000;3793
RU000A1012L2;D;20191230;000000;100.1600000;100.9000000;100.1600000;100.5000000;1679
RU000A1012L2;D;20200103;000000;100.0000000;100.6900000;100.0000000;100.5500000;891
RU000A1012L2;D;20200106;000000;100.0000000;100.7000000;100.0000000;100.6600000;804
RU000A1012L2;D;20200108;000000;100.0200000;100.3200000;100.0200000;100.2900000;207
RU000A1012L2;D;20200109;000000;100.2200000;100.5400000;100.0500000;100.3200000;967
RU000A1012L2;D;20200110;000000;100.4900000;100.4900000;100.3000000;100.3500000;435
RU000A1012L2;D;20200113;000000;100.0700000;100.7900000;100.0700000;100.4200000;2225
RU000A1012L2;D;20200114;000000;100.0600000;100.6700000;100.0400000;100.3500000;7989
RU000A1012L2;D;20200115;000000;100.1300000;100.4500000;100.0000000;100.0100000;8376
RU000A1012L2;D;20200116;000000;100.3400000;100.3400000;100.0000000;100.2200000;3250
RU000A1012L2;D;20200117;000000;99.9300000;100.2800000;99.8500000;100.1400000;706
RU000A1012L2;D;20200120;000000;100.1400000;100.1900000;99.9600000;100.1200000;8773
RU000A1012L2;D;20200121;000000;99.9700000;100.2200000;99.9700000;100.0900000;2393
RU000A1012L2;D;20200122;000000;100.2400000;100.2400000;100.0000000;100.1500000;12350
RU000A1012L2;D;20200123;000000;100.2000000;100.2200000;100.0600000;100.1200000;1215
RU000A1012L2;D;20200124;000000;100.1500000;100.3300000;100.0200000;100.0600000;2818
RU000A1012L2;D;20200127;000000;100.1100000;100.3000000;100.0000000;100.0800000;4369
RU000A1012L2;D;20200128;000000;100.0500000;100.2800000;100.0100000;100.0700000;4418
RU000A1012L2;D;20200129;000000;100.1000000;100.6200000;100.1000000;100.2500000;2754
RU000A1012L2;D;20200130;000000;100.0900000;100.6300000;100.0700000;100.3000000;3541
RU000A1012L2;D;20200131;000000;100.2900000;100.3000000;100.1500000;100.2100000;2147
RU000A1012L2;D;20200203;000000;100.0800000;100.4700000;100.0700000;100.3800000;6152
RU000A1012L2;D;20200204;000000;100.5600000;100.5600000;100.1600000;100.1600000;1295
RU000A1012L2;D;20200205;000000;100.3600000;100.4700000;100.1700000;100.1800000;1656
RU000A1012L2;D;20200206;000000;100.1100000;100.4900000;100.1000000;100.2000000;374
RU000A1012L2;D;20200207;000000;100.0800000;100.3900000;100.0700000;100.3900000;1396
RU000A1012L2;D;20200210;000000;100.3000000;100.3000000;100.1100000;100.1800000;13252
RU000A1012L2;D;20200211;000000;100.2900000;100.3000000;100.1100000;100.1600000;2142
RU000A1012L2;D;20200212;000000;100.1200000;100.2400000;100.1200000;100.2400000;336
RU000A1012L2;D;20200213;000000;100.1300000;100.4300000;100.0100000;100.1200000;2221
RU000A1012L2;D;20200214;000000;100.3200000;100.3200000;100.1200000;100.2400000;1445
RU000A1012L2;D;20200217;000000;100.0700000;100.2900000;100.0700000;100.1800000;272
RU000A1012L2;D;20200218;000000;100.0900000;100.4000000;100.0900000;100.1400000;2254
RU000A1012L2;D;20200219;000000;100.1100000;100.2400000;100.0600000;100.2000000;1976
RU000A1012L2;D;20200220;000000;100.2400000;100.4600000;100.1600000;100.2000000;2078
RU000A1012L2;D;20200221;000000;100.4600000;100.4600000;100.1300000;100.1600000;460
RU000A1012L2;D;20200225;000000;100.2000000;100.3900000;100.0600000;100.2200000;648
RU000A1012L2;D;20200226;000000;100.0700000;100.2900000;100.0700000;100.2900000;561
RU000A1012L2;D;20200227;000000;100.2200000;100.2800000;100.0500000;100.1600000;762
RU000A1012L2;D;20200228;000000;99.1300000;100.1800000;99.1300000;99.8000000;5420
RU000A1012L2;D;20200302;000000;99.7000000;100.0900000;99.7000000;99.9600000;9044
RU000A1012L2;D;20200303;000000;99.5000000;100.1700000;99.5000000;100.1300000;4837
RU000A1012L2;D;20200304;000000;99.8000000;100.4500000;99.8000000;100.2800000;4532
RU000A1012L2;D;20200305;000000;100.3300000;100.3300000;100.0100000;100.1500000;4292
RU000A1012L2;D;20200306;000000;100.0200000;100.1300000;99.9700000;100.0500000;4447
RU000A1012L2;D;20200310;000000;99.9800000;99.9800000;98.0500000;99.5500000;4390
RU000A1012L2;D;20200311;000000;99.7100000;99.7100000;99.2100000;99.5000000;5752
RU000A1012L2;D;20200312;000000;99.5000000;99.6000000;99.1500000;99.2000000;5304
RU000A1012L2;D;20200313;000000;99.2000000;99.5700000;97.7000000;99.3200000;2330
RU000A1012L2;D;20200316;000000;99.5500000;99.9300000;98.0400000;98.9100000;7841
RU000A1012L2;D;20200317;000000;99.9800000;99.9800000;98.9200000;99.0200000;1203
RU000A1012L2;D;20200318;000000;99.4600000;100.0000000;98.9100000;98.9100000;7813
RU000A1012L2;D;20200319;000000;99.9700000;99.9900000;98.2700000;99.4800000;3736
RU000A1012L2;D;20200320;000000;98.3300000;99.8900000;98.3300000;99.2000000;1494
RU000A1012L2;D;20200323;000000;99.0200000;99.8900000;98.4000000;98.9200000;17695
RU000A1012L2;D;20200324;000000;99.4800000;99.5500000;99.1100000;99.3700000;7366
RU000A1012L2;D;20200325;000000;99.8800000;99.8900000;99.3100000;99.5700000;15757
RU000A1012L2;D;20200326;000000;99.3200000;99.9600000;99.3100000;99.8000000;17817
RU000A1012L2;D;20200327;000000;98.9400000;99.9800000;98.9300000;99.7200000;5942
RU000A1012L2;D;20200330;000000;99.0100000;99.9800000;99.0100000;99.5100000;1851
RU000A1012L2;D;20200331;000000;100.2400000;100.2400000;99.4600000;99.7000000;4413
RU000A1012L2;D;20200401;000000;99.9900000;100.1000000;99.8000000;99.8000000;878
