<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A0JNGU3;D;20080121;000000;99.4000000;99.4000000;99.4000000;99.4000000;1
RU000A0JNGU3;D;20080122;000000;99.3500000;99.3500000;99.3500000;99.3500000;1
RU000A0JNGU3;D;20080212;000000;99.4000000;99.4000000;99.4000000;99.4000000;1
RU000A0JNGU3;D;20080213;000000;99.4500000;99.4500000;99.4500000;99.4500000;1
RU000A0JNGU3;D;20080214;000000;99.2000000;99.2000000;99.2000000;99.2000000;1
RU000A0JNGU3;D;20080215;000000;99.2000000;99.2500000;99.1500000;99.2500000;10001
RU000A0JNGU3;D;20080218;000000;99.2000000;99.2000000;99.2000000;99.2000000;1000
RU000A0JNGU3;D;20080219;000000;99.1300000;99.1300000;99.1300000;99.1300000;1
RU000A0JNGU3;D;20080221;000000;99.1500000;99.1500000;99.1200000;99.1200000;100001
RU000A0JNGU3;D;20080227;000000;99.1000000;99.1000000;99.0600000;99.0600000;1001
RU000A0JNGU3;D;20080228;000000;99.1000000;99.1000000;99.1000000;99.1000000;1000
RU000A0JNGU3;D;20080229;000000;99.1000000;99.1000000;99.1000000;99.1000000;61000
RU000A0JNGU3;D;20080304;000000;99.1200000;99.1200000;99.1200000;99.1200000;10000
RU000A0JNGU3;D;20080305;000000;99.1500000;99.1500000;99.1500000;99.1500000;48254
RU000A0JNGU3;D;20080306;000000;99.0200000;99.1400000;99.0200000;99.1400000;10007
RU000A0JNGU3;D;20080318;000000;99.3400000;99.5000000;99.3400000;99.5000000;2
RU000A0JNGU3;D;20080319;000000;99.5000000;99.5000000;99.3500000;99.3500000;901
RU000A0JNGU3;D;20080320;000000;99.1500000;99.3300000;99.1500000;99.3300000;3050
RU000A0JNGU3;D;20080326;000000;99.2000000;99.2000000;99.2000000;99.2000000;10000
RU000A0JNGU3;D;20080328;000000;99.3000000;99.4000000;99.3000000;99.4000000;2
RU000A0JNGU3;D;20080331;000000;99.3500000;99.3500000;99.3500000;99.3500000;1
RU000A0JNGU3;D;20080402;000000;99.3500000;99.3500000;99.3500000;99.3500000;1
RU000A0JNGU3;D;20080403;000000;99.3300000;99.3300000;99.3300000;99.3300000;1
RU000A0JNGU3;D;20080404;000000;99.4000000;99.4500000;99.4000000;99.4500000;2
RU000A0JNGU3;D;20080416;000000;99.5000000;99.5000000;99.5000000;99.5000000;1
RU000A0JNGU3;D;20080418;000000;99.4900000;99.5500000;99.4900000;99.5000000;9999
RU000A0JNGU3;D;20080424;000000;99.5300000;99.5300000;99.5000000;99.5000000;2
RU000A0JNGU3;D;20080425;000000;100.5000000;100.5000000;100.0000000;100.0000000;1521
RU000A0JNGU3;D;20080430;000000;99.6100000;99.6100000;99.6100000;99.6100000;2550
RU000A0JNGU3;D;20080506;000000;99.7000000;99.7000000;99.7000000;99.7000000;8046
RU000A0JNGU3;D;20080508;000000;99.7000000;99.7000000;99.7000000;99.7000000;2
RU000A0JNGU3;D;20080520;000000;99.9000000;99.9000000;99.9000000;99.9000000;100000
RU000A0JNGU3;D;20080521;000000;99.9500000;99.9500000;99.9500000;99.9500000;44262
RU000A0JNGU3;D;20080522;000000;99.9700000;99.9700000;99.9700000;99.9700000;1
RU000A0JNGU3;D;20080526;000000;99.9500000;99.9500000;99.9500000;99.9500000;20000
RU000A0JNGU3;D;20080528;000000;99.9400000;99.9400000;99.9400000;99.9400000;1
RU000A0JNGU3;D;20080529;000000;99.9000000;99.9000000;99.9000000;99.9000000;10000
RU000A0JNGU3;D;20080530;000000;99.9900000;99.9900000;99.9200000;99.9200000;4
RU000A0JNGU3;D;20080604;000000;99.9100000;99.9100000;99.8800000;99.8800000;48
RU000A0JNGU3;D;20080605;000000;99.8800000;99.8800000;99.8800000;99.8800000;1000
RU000A0JNGU3;D;20080609;000000;99.9000000;99.9000000;99.9000000;99.9000000;1000
RU000A0JNGU3;D;20080616;000000;99.8000000;99.9000000;99.8000000;99.9000000;3000
RU000A0JNGU3;D;20080619;000000;99.9100000;99.9300000;99.9000000;99.9300000;130119
RU000A0JNGU3;D;20080626;000000;99.9400000;99.9400000;99.9400000;99.9400000;5
RU000A0JNGU3;D;20080627;000000;99.9400000;100.0000000;99.9400000;100.0000000;1059
RU000A0JNGU3;D;20080630;000000;100.0000000;100.0000000;100.0000000;100.0000000;5432
RU000A0JNGU3;D;20080701;000000;100.0000000;100.0000000;100.0000000;100.0000000;568
RU000A0JNGU3;D;20080702;000000;100.0000000;100.0000000;100.0000000;100.0000000;417
RU000A0JNGU3;D;20080707;000000;99.9500000;100.0500000;99.9500000;100.0500000;14
RU000A0JNGU3;D;20080708;000000;100.1000000;100.1000000;100.0500000;100.0500000;2
RU000A0JNGU3;D;20080716;000000;100.0500000;100.0500000;100.0500000;100.0500000;200001
RU000A0JNGU3;D;20080717;000000;100.0100000;100.0100000;100.0100000;100.0100000;5
RU000A0JNGU3;D;20080718;000000;100.4000000;100.4000000;100.0100000;100.0700000;21002
RU000A0JNGU3;D;20080722;000000;100.1000000;100.1000000;100.1000000;100.1000000;500
RU000A0JNGU3;D;20080724;000000;100.1000000;100.1000000;100.1000000;100.1000000;1
RU000A0JNGU3;D;20080725;000000;100.0000000;100.1000000;100.0000000;100.1000000;42545
RU000A0JNGU3;D;20080729;000000;100.0000000;100.0000000;100.0000000;100.0000000;2
RU000A0JNGU3;D;20080730;000000;100.0500000;100.0800000;100.0500000;100.0800000;20010
RU000A0JNGU3;D;20080731;000000;100.0500000;100.0500000;100.0500000;100.0500000;40
RU000A0JNGU3;D;20080801;000000;100.1000000;100.1000000;100.1000000;100.1000000;1
RU000A0JNGU3;D;20080804;000000;100.0100000;100.1000000;100.0000000;100.1000000;2001
RU000A0JNGU3;D;20080805;000000;100.0000000;100.0000000;100.0000000;100.0000000;10090
RU000A0JNGU3;D;20080808;000000;99.9200000;99.9200000;99.9100000;99.9100000;5001
RU000A0JNGU3;D;20080811;000000;99.8000000;99.9000000;99.8000000;99.9000000;2001
RU000A0JNGU3;D;20080812;000000;99.9000000;99.9000000;99.7500000;99.8000000;131120
RU000A0JNGU3;D;20080814;000000;99.8500000;99.8500000;99.8000000;99.8000000;137099
RU000A0JNGU3;D;20080815;000000;99.8500000;99.8500000;99.8000000;99.8000000;109900
RU000A0JNGU3;D;20080819;000000;99.8000000;99.8000000;99.8000000;99.8000000;5000
RU000A0JNGU3;D;20080820;000000;99.6700000;99.7900000;99.6700000;99.7900000;3
