<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A101JT3;D;20200325;000000;110.0000000;110.0000000;109.9800000;109.9800000;1239
RU000A101JT3;D;20200326;000000;109.9600000;109.9600000;100.0000000;104.9300000;3677
RU000A101JT3;D;20200327;000000;126.3700000;126.3700000;97.6000000;100.9500000;2999
RU000A101JT3;D;20200330;000000;98.0200000;100.9800000;98.0200000;100.0000000;1630
RU000A101JT3;D;20200331;000000;100.2600000;100.2600000;99.2000000;100.0000000;356
RU000A101JT3;D;20200401;000000;109.9900000;109.9900000;99.0200000;104.9700000;58
RU000A101JT3;D;20200402;000000;102.9000000;102.9000000;99.5100000;100.3800000;85
RU000A101JT3;D;20200403;000000;99.5100000;102.9000000;99.5100000;100.7600000;38
RU000A101JT3;D;20200406;000000;99.5200000;100.9200000;99.5200000;99.7100000;148
RU000A101JT3;D;20200407;000000;99.7100000;109.9800000;99.7100000;99.8100000;466
RU000A101JT3;D;20200408;000000;100.9400000;100.9400000;100.0000000;100.0000000;3
RU000A101JT3;D;20200409;000000;100.0100000;100.0100000;99.0000000;99.5700000;3211
RU000A101JT3;D;20200410;000000;100.0100000;100.3900000;99.8100000;99.9000000;176
RU000A101JT3;D;20200413;000000;99.9100000;100.0000000;98.5500000;100.0000000;73
RU000A101JT3;D;20200414;000000;99.6600000;99.9900000;99.6600000;99.9700000;1199
