<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A0JS1U4;D;20120130;000000;100.0100000;100.1900000;100.0000000;100.0500000;338742
RU000A0JS1U4;D;20120131;000000;100.1500000;100.1500000;100.0500000;100.0700000;423281
RU000A0JS1U4;D;20120201;000000;100.1000000;100.1200000;100.0500000;100.1000000;81351
RU000A0JS1U4;D;20120202;000000;100.1800000;100.1800000;100.0300000;100.1000000;190828
RU000A0JS1U4;D;20120203;000000;100.0300000;100.4500000;100.0300000;100.3900000;422833
RU000A0JS1U4;D;20120206;000000;100.4000000;100.4000000;100.3500000;100.3500000;65343
RU000A0JS1U4;D;20120207;000000;100.3500000;100.4000000;100.3500000;100.4000000;148090
RU000A0JS1U4;D;20120208;000000;100.4100000;100.6400000;100.3600000;100.3900000;160127
RU000A0JS1U4;D;20120209;000000;100.3500000;100.3500000;100.2600000;100.2700000;77135
RU000A0JS1U4;D;20120210;000000;100.6000000;100.6000000;100.1500000;100.3400000;48002
RU000A0JS1U4;D;20120213;000000;99.8000000;100.3800000;99.8000000;100.3800000;28484
RU000A0JS1U4;D;20120214;000000;100.3500000;100.3800000;100.3000000;100.3000000;20352
RU000A0JS1U4;D;20120215;000000;100.0000000;100.7000000;100.0000000;100.3900000;8489
RU000A0JS1U4;D;20120216;000000;100.2200000;100.2900000;100.2100000;100.2900000;45002
RU000A0JS1U4;D;20120217;000000;100.3000000;100.3500000;100.3000000;100.3500000;53801
RU000A0JS1U4;D;20120220;000000;99.8000000;100.3300000;99.8000000;100.3100000;58051
RU000A0JS1U4;D;20120221;000000;100.3000000;100.3000000;100.3000000;100.3000000;9000
RU000A0JS1U4;D;20120222;000000;100.2100000;100.2100000;100.2100000;100.2100000;400
RU000A0JS1U4;D;20120224;000000;100.3000000;100.3000000;100.0800000;100.2800000;144902
RU000A0JS1U4;D;20120227;000000;100.8500000;100.8500000;100.2300000;100.2400000;136721
RU000A0JS1U4;D;20120228;000000;100.2000000;100.3300000;100.2000000;100.2500000;270601
RU000A0JS1U4;D;20120229;000000;100.2800000;100.3800000;100.2800000;100.3200000;405400
RU000A0JS1U4;D;20120301;000000;100.2000000;100.3200000;100.2000000;100.2700000;101955
RU000A0JS1U4;D;20120302;000000;100.2700000;100.3500000;100.2700000;100.2700000;21030
RU000A0JS1U4;D;20120305;000000;100.3100000;100.5000000;100.3100000;100.5000000;10151
RU000A0JS1U4;D;20120306;000000;100.4000000;100.4000000;100.4000000;100.4000000;10001
RU000A0JS1U4;D;20120311;000000;100.4300000;100.4300000;100.4300000;100.4300000;5000
RU000A0JS1U4;D;20120312;000000;100.7000000;100.7000000;100.2500000;100.2500000;2
RU000A0JS1U4;D;20120313;000000;100.3000000;100.3000000;100.2600000;100.2600000;2213
RU000A0JS1U4;D;20120314;000000;100.3200000;100.3200000;100.2500000;100.2700000;10247
RU000A0JS1U4;D;20120315;000000;100.2700000;100.2700000;100.2600000;100.2600000;1951
RU000A0JS1U4;D;20120316;000000;100.3000000;100.3000000;100.3000000;100.3000000;250
RU000A0JS1U4;D;20120319;000000;100.2200000;100.2200000;100.1500000;100.1500000;20001
RU000A0JS1U4;D;20120320;000000;100.2000000;100.2200000;100.1700000;100.1700000;93000
RU000A0JS1U4;D;20120321;000000;100.1500000;100.1500000;100.1500000;100.1500000;1500
