<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A0JR3H8;D;20101123;000000;99.9900000;99.9900000;99.9900000;99.9900000;1
RU000A0JR3H8;D;20101124;000000;99.9400000;99.9400000;99.5000000;99.7400000;85301
RU000A0JR3H8;D;20101125;000000;102.0000000;102.0000000;99.1000000;99.6500000;107709
RU000A0JR3H8;D;20101126;000000;99.9900000;99.9900000;99.4800000;99.4800000;8003
RU000A0JR3H8;D;20101129;000000;99.1000000;99.1000000;99.1000000;99.1000000;44900
RU000A0JR3H8;D;20101130;000000;99.1000000;99.1000000;98.6500000;98.6500000;3302
RU000A0JR3H8;D;20101201;000000;99.6000000;99.6000000;99.6000000;99.6000000;1
RU000A0JR3H8;D;20101202;000000;99.6500000;99.6500000;98.7000000;98.8900000;59151
RU000A0JR3H8;D;20101203;000000;99.5000000;99.5000000;98.8000000;99.0000000;39900
RU000A0JR3H8;D;20101206;000000;99.0000000;99.0000000;99.0000000;99.0000000;100
RU000A0JR3H8;D;20101207;000000;99.2500000;99.2500000;99.0000000;99.0000000;10590
RU000A0JR3H8;D;20101208;000000;98.6500000;99.4700000;98.6500000;99.4700000;25999
RU000A0JR3H8;D;20101209;000000;99.6100000;99.6100000;99.6000000;99.6000000;4500
RU000A0JR3H8;D;20101210;000000;99.5000000;99.5000000;99.5000000;99.5000000;3810
RU000A0JR3H8;D;20101213;000000;99.0000000;99.0000000;98.5000000;98.5000000;16525
RU000A0JR3H8;D;20101214;000000;98.6000000;98.6000000;98.5300000;98.5300000;6001
RU000A0JR3H8;D;20101215;000000;98.5000000;98.5000000;98.4000000;98.4000000;1001
RU000A0JR3H8;D;20101216;000000;98.5000000;98.5000000;97.9000000;97.9000000;454590
RU000A0JR3H8;D;20101217;000000;98.3000000;98.3000000;98.3000000;98.3000000;300
RU000A0JR3H8;D;20101220;000000;98.3500000;98.3500000;98.2500000;98.2500000;101
RU000A0JR3H8;D;20101221;000000;98.2000000;99.1700000;98.2000000;98.2000000;93310
RU000A0JR3H8;D;20101222;000000;99.1000000;99.1000000;97.8600000;98.5000000;15312
RU000A0JR3H8;D;20101223;000000;97.8700000;99.4400000;97.8700000;99.2800000;84701
RU000A0JR3H8;D;20101224;000000;99.1500000;99.1600000;99.1500000;99.1600000;19901
RU000A0JR3H8;D;20101227;000000;99.0000000;99.0000000;98.6000000;98.6000000;5590
RU000A0JR3H8;D;20101228;000000;98.0000000;99.0800000;97.8200000;97.8600000;128023
RU000A0JR3H8;D;20101229;000000;98.7000000;98.7000000;98.4500000;98.4500000;2
RU000A0JR3H8;D;20101230;000000;99.0300000;99.0400000;98.9900000;98.9900000;64229
RU000A0JR3H8;D;20110111;000000;98.9200000;99.5000000;98.5000000;98.5000000;5
RU000A0JR3H8;D;20110114;000000;98.0500000;98.0500000;98.0500000;98.0500000;1
RU000A0JR3H8;D;20110117;000000;99.0000000;99.0300000;99.0000000;99.0300000;6790
RU000A0JR3H8;D;20110118;000000;98.2000000;98.9000000;98.2000000;98.9000000;2
RU000A0JR3H8;D;20110119;000000;99.0000000;99.0000000;99.0000000;99.0000000;494
RU000A0JR3H8;D;20110121;000000;98.5500000;98.9000000;98.5500000;98.9000000;647
RU000A0JR3H8;D;20110126;000000;98.4900000;98.4900000;98.4900000;98.4900000;1
RU000A0JR3H8;D;20110127;000000;98.5000000;98.5000000;98.5000000;98.5000000;10400
RU000A0JR3H8;D;20110131;000000;98.7900000;98.7900000;98.7000000;98.7000000;2
RU000A0JR3H8;D;20110202;000000;98.4000000;98.4000000;98.0300000;98.4000000;5003
RU000A0JR3H8;D;20110203;000000;98.4000000;98.4000000;98.4000000;98.4000000;50000
RU000A0JR3H8;D;20110204;000000;98.0000000;98.0000000;98.0000000;98.0000000;7895
RU000A0JR3H8;D;20110207;000000;97.8100000;98.4400000;97.5000000;97.5000000;15507
RU000A0JR3H8;D;20110208;000000;98.4000000;98.4000000;97.7000000;97.7000000;202702
RU000A0JR3H8;D;20110209;000000;97.5000000;98.0000000;97.5000000;97.5000000;37039
RU000A0JR3H8;D;20110210;000000;97.8000000;97.9900000;97.8000000;97.9900000;30401
RU000A0JR3H8;D;20110211;000000;99.0000000;99.0000000;97.2000000;97.6000000;51004
RU000A0JR3H8;D;20110214;000000;97.6700000;98.1000000;97.6700000;98.1000000;119800
RU000A0JR3H8;D;20110215;000000;98.0000000;98.4900000;98.0000000;98.0700000;40639
RU000A0JR3H8;D;20110216;000000;98.4500000;98.4900000;98.2500000;98.4000000;249067
RU000A0JR3H8;D;20110217;000000;98.4500000;98.4500000;98.2500000;98.4000000;23396
RU000A0JR3H8;D;20110218;000000;98.1500000;98.2500000;98.1500000;98.2500000;5400
RU000A0JR3H8;D;20110221;000000;98.2800000;98.2800000;98.2800000;98.2800000;1
RU000A0JR3H8;D;20110222;000000;98.2500000;98.4400000;98.1500000;98.4400000;50124
RU000A0JR3H8;D;20110224;000000;98.1500000;98.1500000;98.1500000;98.1500000;100
RU000A0JR3H8;D;20110228;000000;98.6000000;98.6000000;98.0000000;98.0000000;34001
RU000A0JR3H8;D;20110301;000000;98.0000000;98.2000000;98.0000000;98.2000000;15005
RU000A0JR3H8;D;20110302;000000;98.0100000;98.0100000;98.0100000;98.0100000;100
RU000A0JR3H8;D;20110303;000000;98.0100000;98.5000000;98.0100000;98.5000000;55165
RU000A0JR3H8;D;20110304;000000;98.3500000;98.3500000;98.3000000;98.3000000;62
RU000A0JR3H8;D;20110305;000000;98.2600000;98.2600000;98.2500000;98.2500000;1148
RU000A0JR3H8;D;20110315;000000;98.2000000;98.2400000;98.1500000;98.2400000;1066
RU000A0JR3H8;D;20110316;000000;98.2900000;98.2900000;98.0000000;98.0000000;2
RU000A0JR3H8;D;20110317;000000;98.3400000;98.3500000;98.2500000;98.3500000;147564
RU000A0JR3H8;D;20110318;000000;98.2800000;98.6400000;98.2800000;98.6000000;39189
RU000A0JR3H8;D;20110321;000000;98.6900000;98.6900000;98.5000000;98.6500000;29604
RU000A0JR3H8;D;20110322;000000;98.8400000;98.9800000;98.0500000;98.5500000;1013569
RU000A0JR3H8;D;20110323;000000;98.8500000;98.8500000;98.6500000;98.6500000;11260
RU000A0JR3H8;D;20110324;000000;98.7000000;98.7000000;98.5000000;98.5000000;47518
RU000A0JR3H8;D;20110325;000000;97.7500000;98.8700000;97.7500000;98.8700000;13
RU000A0JR3H8;D;20110328;000000;98.8700000;98.9900000;98.8000000;98.9900000;183002
RU000A0JR3H8;D;20110329;000000;98.6700000;99.3900000;98.6700000;99.1500000;412649
RU000A0JR3H8;D;20110330;000000;98.2000000;99.2000000;98.1500000;99.2000000;295999
RU000A0JR3H8;D;20110331;000000;99.3200000;99.4300000;99.3200000;99.3500000;19974
RU000A0JR3H8;D;20110401;000000;99.0000000;99.5900000;99.0000000;99.5900000;45010
RU000A0JR3H8;D;20110404;000000;98.0000000;99.6900000;98.0000000;99.3100000;3604
RU000A0JR3H8;D;20110405;000000;99.3500000;99.3500000;99.3500000;99.3500000;3545
RU000A0JR3H8;D;20110406;000000;99.4000000;99.6000000;99.4000000;99.5100000;5621
RU000A0JR3H8;D;20110407;000000;99.6000000;99.7500000;99.6000000;99.6500000;433966
RU000A0JR3H8;D;20110408;000000;99.5000000;99.8000000;99.0000000;99.8000000;1118798
RU000A0JR3H8;D;20110411;000000;99.9200000;99.9200000;99.6000000;99.6700000;323527
RU000A0JR3H8;D;20110412;000000;99.6900000;99.7000000;99.5100000;99.5100000;5282
RU000A0JR3H8;D;20110413;000000;99.6500000;99.6500000;99.6000000;99.6000000;2600
RU000A0JR3H8;D;20110414;000000;99.0500000;99.9500000;99.0500000;99.6000000;756601
RU000A0JR3H8;D;20110426;000000;99.3000000;99.8900000;99.3000000;99.8900000;37520
RU000A0JR3H8;D;20110427;000000;99.7000000;99.7000000;99.4500000;99.4500000;10501
RU000A0JR3H8;D;20110428;000000;99.2600000;99.5000000;99.2500000;99.2500000;103
RU000A0JR3H8;D;20110429;000000;99.5000000;99.5000000;99.2700000;99.5000000;15517
RU000A0JR3H8;D;20110503;000000;99.3000000;99.5000000;99.2000000;99.3500000;120400
RU000A0JR3H8;D;20110504;000000;99.7500000;99.7500000;99.2600000;99.4900000;2719
RU000A0JR3H8;D;20110505;000000;99.5500000;99.5500000;99.0500000;99.4500000;7406
RU000A0JR3H8;D;20110506;000000;99.0900000;99.5900000;99.0500000;99.5900000;6761
RU000A0JR3H8;D;20110510;000000;99.4500000;99.4500000;99.4500000;99.4500000;10004
RU000A0JR3H8;D;20110511;000000;99.3000000;99.3500000;99.3000000;99.3500000;15003
RU000A0JR3H8;D;20110512;000000;99.0800000;99.0800000;99.0500000;99.0500000;200
RU000A0JR3H8;D;20110513;000000;99.4300000;99.4300000;99.4300000;99.4300000;3
RU000A0JR3H8;D;20110516;000000;99.3000000;99.3000000;99.1500000;99.3000000;1770
RU000A0JR3H8;D;20110517;000000;99.3500000;99.3500000;99.3500000;99.3500000;39
RU000A0JR3H8;D;20110518;000000;99.2000000;99.2000000;99.2000000;99.2000000;8558
RU000A0JR3H8;D;20110519;000000;99.3500000;99.3500000;99.3500000;99.3500000;6724
RU000A0JR3H8;D;20110520;000000;99.4000000;99.4000000;99.4000000;99.4000000;3
RU000A0JR3H8;D;20110523;000000;99.0500000;99.4000000;98.9500000;99.0100000;1970
RU000A0JR3H8;D;20110524;000000;99.4000000;99.4000000;99.0000000;99.3900000;3748
RU000A0JR3H8;D;20110525;000000;99.4000000;99.4000000;99.1000000;99.2500000;152
RU000A0JR3H8;D;20110526;000000;99.3300000;99.3300000;99.3200000;99.3200000;500
RU000A0JR3H8;D;20110530;000000;99.4000000;99.4000000;99.0000000;99.4000000;5481
RU000A0JR3H8;D;20110531;000000;99.4000000;99.4000000;99.3500000;99.3800000;9002
RU000A0JR3H8;D;20110601;000000;99.0100000;99.4000000;99.0000000;99.2000000;14730
