<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A0JXU71;D;20170623;000000;100.0600000;100.1500000;99.8000000;100.1500000;200112
RU000A0JXU71;D;20170626;000000;100.1500000;100.1500000;100.1500000;100.1500000;500000
RU000A0JXU71;D;20170627;000000;100.0500000;100.0500000;100.0500000;100.0500000;70000
RU000A0JXU71;D;20170628;000000;100.1500000;100.1500000;100.1500000;100.1500000;10
RU000A0JXU71;D;20170630;000000;100.0000000;100.1500000;100.0000000;100.1500000;13
RU000A0JXU71;D;20170703;000000;100.0100000;100.2000000;100.0100000;100.2000000;196
RU000A0JXU71;D;20170704;000000;100.2000000;100.2000000;100.2000000;100.2000000;200000
RU000A0JXU71;D;20170705;000000;100.2000000;100.2000000;100.2000000;100.2000000;5
RU000A0JXU71;D;20170706;000000;99.8000000;100.1500000;99.8000000;100.1500000;40010
RU000A0JXU71;D;20170707;000000;100.1500000;100.1500000;100.1500000;100.1500000;60
RU000A0JXU71;D;20170710;000000;99.9000000;99.9000000;99.9000000;99.9000000;10
RU000A0JXU71;D;20170711;000000;99.7000000;100.1500000;99.7000000;100.0000000;300165
RU000A0JXU71;D;20170712;000000;99.2500000;100.0000000;99.2500000;99.6000000;3321213
RU000A0JXU71;D;20170713;000000;100.2000000;100.2000000;99.5500000;99.5500000;912980
RU000A0JXU71;D;20170714;000000;99.9200000;99.9200000;99.6000000;99.6000000;84785
RU000A0JXU71;D;20170717;000000;100.0000000;100.0000000;99.6000000;99.6000000;100222
RU000A0JXU71;D;20170718;000000;100.1000000;100.1000000;100.1000000;100.1000000;10
RU000A0JXU71;D;20170720;000000;99.7000000;99.7000000;99.6000000;99.6000000;3050
RU000A0JXU71;D;20170721;000000;99.8000000;99.8000000;99.6000000;99.6000000;150167
RU000A0JXU71;D;20170724;000000;100.1000000;100.1000000;99.8000000;99.8000000;60
RU000A0JXU71;D;20170725;000000;99.8000000;99.8000000;99.8000000;99.8000000;11600
RU000A0JXU71;D;20170726;000000;99.8000000;99.8000000;99.8000000;99.8000000;15
RU000A0JXU71;D;20170727;000000;99.8000000;99.8000000;99.6500000;99.6500000;2043
RU000A0JXU71;D;20170731;000000;99.8000000;100.1000000;99.7000000;99.8000000;300067
RU000A0JXU71;D;20170801;000000;99.7000000;99.7000000;99.6000000;99.6000000;19016
RU000A0JXU71;D;20170802;000000;99.7000000;99.7000000;99.6000000;99.6000000;833
RU000A0JXU71;D;20170803;000000;99.8000000;99.8000000;99.8000000;99.8000000;5
RU000A0JXU71;D;20170804;000000;100.1000000;100.1000000;99.5500000;99.6000000;7870
RU000A0JXU71;D;20170807;000000;99.8000000;99.8000000;99.5000000;99.5000000;2840
RU000A0JXU71;D;20170808;000000;99.4800000;99.6000000;99.4000000;99.6000000;8928
RU000A0JXU71;D;20170809;000000;99.7000000;99.7000000;99.0000000;99.4500000;460722
RU000A0JXU71;D;20170810;000000;99.6000000;99.6000000;99.4500000;99.4500000;5477
RU000A0JXU71;D;20170814;000000;99.6000000;99.6000000;99.6000000;99.6000000;50
RU000A0JXU71;D;20170816;000000;99.2000000;99.5000000;99.2000000;99.5000000;1001
RU000A0JXU71;D;20170817;000000;99.5000000;99.5000000;99.2000000;99.5000000;15976
RU000A0JXU71;D;20170818;000000;99.4000000;99.4000000;99.4000000;99.4000000;9433
RU000A0JXU71;D;20170821;000000;99.6000000;99.7000000;99.6000000;99.7000000;200
RU000A0JXU71;D;20170822;000000;99.6000000;99.6000000;99.5000000;99.6000000;1538
RU000A0JXU71;D;20170823;000000;99.5000000;99.5000000;99.2200000;99.4000000;8482
RU000A0JXU71;D;20170824;000000;99.4000000;99.4000000;99.4000000;99.4000000;10
RU000A0JXU71;D;20170825;000000;99.5000000;99.5000000;99.5000000;99.5000000;4215
RU000A0JXU71;D;20170828;000000;99.4000000;99.4000000;99.4000000;99.4000000;7678
RU000A0JXU71;D;20170829;000000;99.5000000;99.5000000;99.3000000;99.4000000;8432
RU000A0JXU71;D;20170830;000000;99.3500000;99.7000000;99.3000000;99.4000000;38474
RU000A0JXU71;D;20170831;000000;99.4900000;99.5000000;99.4000000;99.5000000;33724
RU000A0JXU71;D;20170901;000000;99.6000000;99.7600000;99.3000000;99.4500000;96376
RU000A0JXU71;D;20170904;000000;99.8500000;99.9400000;99.3000000;99.4500000;140944
RU000A0JXU71;D;20170905;000000;99.6500000;99.6500000;99.3000000;99.6500000;26217
RU000A0JXU71;D;20170906;000000;99.3000000;99.7000000;99.3000000;99.7000000;1407689
RU000A0JXU71;D;20170907;000000;99.7000000;99.7000000;99.4200000;99.6500000;360776
RU000A0JXU71;D;20170908;000000;99.7000000;99.7500000;99.4900000;99.6900000;70558
RU000A0JXU71;D;20170911;000000;99.8000000;99.8000000;99.4500000;99.8000000;26586
RU000A0JXU71;D;20170912;000000;99.8000000;99.8000000;99.6000000;99.8000000;42719
RU000A0JXU71;D;20170913;000000;99.8000000;99.8000000;99.7400000;99.7500000;27
RU000A0JXU71;D;20170914;000000;99.8000000;103.0000000;99.8000000;99.8500000;169
RU000A0JXU71;D;20170915;000000;99.9000000;100.0000000;99.8000000;100.0000000;149645
RU000A0JXU71;D;20170919;000000;99.9000000;100.1400000;99.9000000;100.1400000;16372
RU000A0JXU71;D;20170920;000000;100.0500000;100.2000000;100.0500000;100.2000000;257037
RU000A0JXU71;D;20170921;000000;100.2000000;100.2400000;100.1500000;100.2000000;3722
RU000A0JXU71;D;20170922;000000;100.2300000;100.2300000;100.1000000;100.2300000;2296
RU000A0JXU71;D;20170925;000000;100.2400000;100.4800000;100.1900000;100.2000000;27252
RU000A0JXU71;D;20170926;000000;100.3000000;100.4000000;100.3000000;100.4000000;18424
RU000A0JXU71;D;20170927;000000;100.5000000;100.5000000;100.2000000;100.3000000;74903
RU000A0JXU71;D;20170928;000000;100.4400000;100.4400000;100.2900000;100.2900000;266858
RU000A0JXU71;D;20170929;000000;100.4500000;100.4500000;100.2100000;100.3500000;236691
RU000A0JXU71;D;20171002;000000;100.4500000;100.4500000;100.1000000;100.3900000;18932
RU000A0JXU71;D;20171003;000000;100.3500000;100.4400000;100.3500000;100.4400000;135009
RU000A0JXU71;D;20171004;000000;100.4500000;100.4500000;100.4000000;100.4500000;99131
RU000A0JXU71;D;20171005;000000;100.4000000;100.4500000;100.3500000;100.4300000;454655
