<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A0JTG83;D;20121225;000000;100.0000000;100.1300000;100.0000000;100.1300000;5001
RU000A0JTG83;D;20130116;000000;100.4000000;100.4000000;100.4000000;100.4000000;50
RU000A0JTG83;D;20130125;000000;100.0000000;100.1500000;100.0000000;100.1500000;3
RU000A0JTG83;D;20130128;000000;100.1700000;100.2000000;100.1700000;100.2000000;20600
RU000A0JTG83;D;20130129;000000;100.1700000;100.2000000;100.1700000;100.2000000;20001
RU000A0JTG83;D;20130130;000000;100.1800000;100.2500000;100.1800000;100.2500000;17020
RU000A0JTG83;D;20130131;000000;100.2000000;100.2000000;100.2000000;100.2000000;19670
RU000A0JTG83;D;20130201;000000;100.1900000;100.1900000;100.1900000;100.1900000;33000
RU000A0JTG83;D;20130204;000000;100.2100000;100.2100000;100.2100000;100.2100000;12550
RU000A0JTG83;D;20130205;000000;100.1900000;100.2000000;100.1900000;100.2000000;43300
RU000A0JTG83;D;20130206;000000;100.2000000;100.2100000;100.2000000;100.2100000;19425
RU000A0JTG83;D;20130207;000000;100.2000000;100.2200000;100.2000000;100.2000000;44777
RU000A0JTG83;D;20130208;000000;100.2200000;100.2200000;100.2000000;100.2100000;15390
RU000A0JTG83;D;20130211;000000;100.2200000;100.2200000;100.2200000;100.2200000;17641
RU000A0JTG83;D;20130212;000000;100.2400000;100.2400000;100.2400000;100.2400000;30000
RU000A0JTG83;D;20130213;000000;100.3000000;100.3000000;100.3000000;100.3000000;5000
RU000A0JTG83;D;20130218;000000;100.2100000;100.2100000;100.2100000;100.2100000;33029
RU000A0JTG83;D;20130219;000000;100.3500000;100.3500000;100.3500000;100.3500000;16888
RU000A0JTG83;D;20130220;000000;100.5000000;100.5000000;100.3500000;100.3700000;15348
RU000A0JTG83;D;20130221;000000;100.3700000;100.3700000;100.3700000;100.3700000;10000
RU000A0JTG83;D;20130222;000000;100.3600000;100.3600000;100.3600000;100.3600000;9742
RU000A0JTG83;D;20130226;000000;100.4900000;100.5000000;100.4900000;100.5000000;10150
RU000A0JTG83;D;20130227;000000;100.3600000;100.4700000;100.3600000;100.4700000;48577
RU000A0JTG83;D;20130228;000000;100.4600000;100.4600000;100.4600000;100.4600000;22000
RU000A0JTG83;D;20130301;000000;100.4500000;100.5000000;100.4500000;100.4500000;12566
RU000A0JTG83;D;20130304;000000;100.4800000;100.5000000;100.4700000;100.4700000;29437
RU000A0JTG83;D;20130305;000000;100.4800000;100.4800000;100.4700000;100.4700000;20000
RU000A0JTG83;D;20130306;000000;100.4500000;100.5700000;100.4500000;100.5700000;23019
RU000A0JTG83;D;20130307;000000;100.4700000;100.5700000;100.4700000;100.5700000;11501
RU000A0JTG83;D;20130311;000000;100.4600000;100.5300000;100.4600000;100.5300000;14040
RU000A0JTG83;D;20130312;000000;100.5800000;100.5800000;100.5300000;100.5300000;25400
RU000A0JTG83;D;20130313;000000;100.5700000;100.5700000;100.5000000;100.5600000;117749
RU000A0JTG83;D;20130314;000000;100.6000000;100.6000000;100.6000000;100.6000000;12720
RU000A0JTG83;D;20130315;000000;100.6100000;100.6100000;100.5200000;100.5200000;12871
RU000A0JTG83;D;20130318;000000;100.5800000;100.5800000;100.4800000;100.4800000;10010
RU000A0JTG83;D;20130320;000000;100.3300000;100.3300000;100.3300000;100.3300000;9743
RU000A0JTG83;D;20130322;000000;100.5200000;100.5200000;100.5200000;100.5200000;1
RU000A0JTG83;D;20130326;000000;100.3000000;100.3000000;100.2600000;100.2600000;20000
RU000A0JTG83;D;20130327;000000;100.2500000;100.2500000;100.2500000;100.2500000;3000
RU000A0JTG83;D;20130328;000000;100.2500000;100.3400000;100.2500000;100.3400000;30002
RU000A0JTG83;D;20130329;000000;100.2700000;100.3500000;100.2500000;100.3500000;25000
RU000A0JTG83;D;20130401;000000;100.2700000;100.3000000;100.2700000;100.3000000;11501
RU000A0JTG83;D;20130402;000000;100.2700000;100.2700000;100.2500000;100.2500000;67600
RU000A0JTG83;D;20130403;000000;100.3000000;100.3000000;100.3000000;100.3000000;1000
RU000A0JTG83;D;20130404;000000;100.3000000;100.3500000;100.3000000;100.3500000;52000
RU000A0JTG83;D;20130405;000000;100.3000000;100.3500000;100.2500000;100.3500000;30001
RU000A0JTG83;D;20130408;000000;100.2500000;100.3500000;100.2500000;100.3500000;44002
RU000A0JTG83;D;20130409;000000;100.3000000;100.3000000;100.3000000;100.3000000;25000
RU000A0JTG83;D;20130410;000000;100.3100000;100.4000000;100.3100000;100.4000000;10010
RU000A0JTG83;D;20130411;000000;100.4000000;100.4000000;100.3500000;100.4000000;67346
RU000A0JTG83;D;20130412;000000;100.4000000;100.4000000;100.3500000;100.4000000;40774
RU000A0JTG83;D;20130415;000000;100.4500000;100.4500000;100.4500000;100.4500000;2380
RU000A0JTG83;D;20130416;000000;100.3500000;100.4000000;100.3300000;100.3300000;11114
RU000A0JTG83;D;20130417;000000;100.3600000;100.4500000;100.3500000;100.4000000;35434
RU000A0JTG83;D;20130418;000000;100.3100000;100.4000000;100.3100000;100.4000000;17608
RU000A0JTG83;D;20130419;000000;100.3600000;100.4500000;100.3000000;100.4500000;180733
RU000A0JTG83;D;20130422;000000;100.4500000;100.4700000;100.3500000;100.4700000;61532
RU000A0JTG83;D;20130423;000000;100.4000000;100.4100000;100.2700000;100.3700000;95500
RU000A0JTG83;D;20130424;000000;100.2700000;100.3500000;100.2700000;100.3500000;26411
RU000A0JTG83;D;20130425;000000;100.4000000;100.4000000;100.3000000;100.3500000;10238
RU000A0JTG83;D;20130426;000000;100.3100000;100.4000000;100.3100000;100.3500000;33878
RU000A0JTG83;D;20130429;000000;100.3500000;100.3500000;100.3500000;100.3500000;4
RU000A0JTG83;D;20130506;000000;100.3500000;100.3500000;100.2500000;100.3500000;5932
RU000A0JTG83;D;20130507;000000;100.3500000;100.4000000;100.3500000;100.4000000;12000
RU000A0JTG83;D;20130508;000000;100.2600000;100.4500000;100.2500000;100.4500000;22086
RU000A0JTG83;D;20130510;000000;100.4500000;100.4500000;100.4500000;100.4500000;3
RU000A0JTG83;D;20130513;000000;100.3000000;100.3000000;100.2500000;100.2500000;23967
RU000A0JTG83;D;20130514;000000;100.2500000;100.3000000;100.2500000;100.3000000;40165
RU000A0JTG83;D;20130515;000000;100.3500000;100.5000000;100.3500000;100.3500000;25568
RU000A0JTG83;D;20130516;000000;100.4400000;100.7500000;100.3000000;100.3000000;43447
RU000A0JTG83;D;20130517;000000;100.3500000;100.7500000;100.3500000;100.7500000;25936
RU000A0JTG83;D;20130520;000000;100.7300000;100.7500000;100.7300000;100.7500000;2799
RU000A0JTG83;D;20130522;000000;100.7300000;100.7400000;100.7300000;100.7400000;592
RU000A0JTG83;D;20130523;000000;100.7500000;100.7500000;100.7500000;100.7500000;9500
RU000A0JTG83;D;20130524;000000;100.7500000;100.8000000;100.6100000;100.8000000;16400
RU000A0JTG83;D;20130527;000000;100.8400000;100.8500000;100.8400000;100.8500000;11294
RU000A0JTG83;D;20130528;000000;100.7000000;100.7000000;100.6000000;100.7000000;3000
RU000A0JTG83;D;20130530;000000;100.8500000;100.8500000;100.8500000;100.8500000;1800
RU000A0JTG83;D;20130603;000000;100.7000000;100.7500000;100.7000000;100.7000000;6705
