<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A0JV573;D;20150127;000000;100.0000000;100.0000000;100.0000000;100.0000000;50000
RU000A0JV573;D;20150128;000000;100.0000000;100.0000000;100.0000000;100.0000000;50000
RU000A0JV573;D;20150129;000000;100.0000000;100.0000000;100.0000000;100.0000000;50000
RU000A0JV573;D;20150130;000000;100.0000000;100.0000000;100.0000000;100.0000000;50005
RU000A0JV573;D;20150202;000000;100.0000000;100.0000000;100.0000000;100.0000000;50000
RU000A0JV573;D;20150203;000000;100.0000000;100.0000000;100.0000000;100.0000000;10000
RU000A0JV573;D;20150205;000000;100.0000000;100.0000000;100.0000000;100.0000000;10000
RU000A0JV573;D;20150206;000000;100.0000000;100.0000000;100.0000000;100.0000000;10000
RU000A0JV573;D;20150209;000000;100.0000000;100.0000000;100.0000000;100.0000000;10000
RU000A0JV573;D;20150210;000000;100.0000000;100.0000000;100.0000000;100.0000000;9995
RU000A0JV573;D;20150211;000000;100.5000000;100.5000000;100.5000000;100.5000000;30000
RU000A0JV573;D;20150216;000000;100.5000000;100.5000000;100.5000000;100.5000000;10000
RU000A0JV573;D;20150218;000000;100.5000000;100.5000000;100.5000000;100.5000000;1
RU000A0JV573;D;20150226;000000;101.0000000;101.0000000;100.0000000;100.0000000;11
RU000A0JV573;D;20150302;000000;101.0000000;101.0000000;101.0000000;101.0000000;10
RU000A0JV573;D;20150408;000000;100.7000000;100.7000000;100.7000000;100.7000000;1000
RU000A0JV573;D;20150513;000000;100.8500000;100.8500000;100.8500000;100.8500000;5
RU000A0JV573;D;20150515;000000;100.8500000;100.8500000;100.8500000;100.8500000;5
RU000A0JV573;D;20150520;000000;100.8500000;100.8500000;100.8500000;100.8500000;5
RU000A0JV573;D;20150525;000000;100.3800000;100.3800000;100.2500000;100.2500000;1005000
RU000A0JV573;D;20150526;000000;100.4500000;100.4500000;100.4500000;100.4500000;1
