<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A0JTH82;D;20130228;000000;100.0000000;100.0000000;100.0000000;100.0000000;850000
RU000A0JTH82;D;20130403;000000;100.0000000;100.0000000;100.0000000;100.0000000;77507
RU000A0JTH82;D;20130405;000000;100.0000000;100.0000000;100.0000000;100.0000000;10000
RU000A0JTH82;D;20130408;000000;100.0000000;100.0000000;100.0000000;100.0000000;1690
RU000A0JTH82;D;20130411;000000;100.0000000;100.0000000;100.0000000;100.0000000;64
RU000A0JTH82;D;20130417;000000;100.0000000;100.0000000;100.0000000;100.0000000;87
RU000A0JTH82;D;20130422;000000;100.0000000;100.0000000;100.0000000;100.0000000;92422
RU000A0JTH82;D;20130506;000000;100.0100000;100.0100000;100.0100000;100.0100000;694
RU000A0JTH82;D;20130507;000000;100.0000000;100.0000000;100.0000000;100.0000000;559
RU000A0JTH82;D;20130531;000000;100.0000000;100.0000000;100.0000000;100.0000000;500000
RU000A0JTH82;D;20130603;000000;100.0000000;100.0000000;100.0000000;100.0000000;500000
RU000A0JTH82;D;20130604;000000;100.0000000;100.0000000;100.0000000;100.0000000;500000
RU000A0JTH82;D;20130605;000000;100.0500000;100.0500000;100.0500000;100.0500000;800000
RU000A0JTH82;D;20130606;000000;100.0000000;100.0100000;100.0000000;100.0000000;500045
RU000A0JTH82;D;20130607;000000;100.0100000;100.0100000;100.0100000;100.0100000;1
RU000A0JTH82;D;20130614;000000;100.0000000;100.0000000;100.0000000;100.0000000;500000
RU000A0JTH82;D;20130626;000000;100.0000000;100.0000000;100.0000000;100.0000000;106
RU000A0JTH82;D;20130705;000000;100.0500000;100.0500000;100.0500000;100.0500000;4600
RU000A0JTH82;D;20130708;000000;100.0500000;100.0500000;100.0500000;100.0500000;9066
RU000A0JTH82;D;20130725;000000;100.1300000;100.1300000;100.0400000;100.0400000;53240
RU000A0JTH82;D;20130729;000000;100.1500000;100.1500000;100.1500000;100.1500000;30000
RU000A0JTH82;D;20130730;000000;100.0100000;100.0100000;100.0100000;100.0100000;47
RU000A0JTH82;D;20130801;000000;100.0100000;100.0100000;100.0100000;100.0100000;40
RU000A0JTH82;D;20130805;000000;100.0100000;100.0100000;100.0100000;100.0100000;14
RU000A0JTH82;D;20130807;000000;100.0100000;100.0100000;100.0100000;100.0100000;26
RU000A0JTH82;D;20130814;000000;100.0500000;100.0700000;100.0500000;100.0700000;500000
RU000A0JTH82;D;20130815;000000;100.0100000;100.0100000;100.0100000;100.0100000;15
RU000A0JTH82;D;20130816;000000;100.0100000;100.1000000;100.0100000;100.1000000;4411
RU000A0JTH82;D;20130821;000000;100.0100000;100.0100000;100.0100000;100.0100000;15
RU000A0JTH82;D;20130823;000000;100.1000000;100.1000000;100.1000000;100.1000000;327507
RU000A0JTH82;D;20130826;000000;100.0000000;100.0000000;100.0000000;100.0000000;24
RU000A0JTH82;D;20130903;000000;100.0100000;100.0100000;100.0100000;100.0100000;15
RU000A0JTH82;D;20130904;000000;100.1000000;100.1000000;100.0000000;100.1000000;7170
RU000A0JTH82;D;20130909;000000;100.1000000;100.1000000;100.1000000;100.1000000;200000
RU000A0JTH82;D;20130910;000000;100.1500000;100.1500000;100.0100000;100.0100000;2733
RU000A0JTH82;D;20130913;000000;100.0100000;100.0100000;100.0100000;100.0100000;28
RU000A0JTH82;D;20130917;000000;100.0000000;100.0000000;100.0000000;100.0000000;14
RU000A0JTH82;D;20130918;000000;100.0000000;100.0000000;100.0000000;100.0000000;1671000
RU000A0JTH82;D;20130919;000000;100.0000000;100.0000000;100.0000000;100.0000000;1347000
RU000A0JTH82;D;20130920;000000;100.1000000;100.1000000;100.0000000;100.0000000;80050
RU000A0JTH82;D;20130923;000000;100.0000000;100.0000000;100.0000000;100.0000000;64
RU000A0JTH82;D;20130924;000000;100.0000000;100.0000000;100.0000000;100.0000000;85
RU000A0JTH82;D;20130925;000000;100.1000000;100.1000000;100.1000000;100.1000000;4000
RU000A0JTH82;D;20130926;000000;100.0100000;100.0100000;100.0100000;100.0100000;51
RU000A0JTH82;D;20130927;000000;100.1000000;100.1000000;100.1000000;100.1000000;150
RU000A0JTH82;D;20130930;000000;100.1000000;100.1000000;100.0100000;100.0100000;154
RU000A0JTH82;D;20131004;000000;100.0100000;100.0100000;100.0100000;100.0100000;221
RU000A0JTH82;D;20131007;000000;100.0100000;100.0100000;100.0100000;100.0100000;47
