<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A1012R9;D;20191122;000000;101.0000000;101.0000000;100.6000000;100.6000000;38
RU000A1012R9;D;20191125;000000;100.6000000;102.9100000;100.0000000;100.0700000;836
RU000A1012R9;D;20191126;000000;100.9700000;102.3100000;100.3000000;100.3000000;4513
RU000A1012R9;D;20191127;000000;102.3000000;102.3000000;100.5000000;100.9900000;13011
RU000A1012R9;D;20191128;000000;102.0000000;102.3000000;100.5000000;101.5000000;4014
RU000A1012R9;D;20191129;000000;101.4900000;102.2000000;100.7000000;102.2000000;2379
RU000A1012R9;D;20191202;000000;100.2000000;101.4900000;100.0000000;101.4600000;8698
RU000A1012R9;D;20191203;000000;100.3500000;101.4500000;99.4400000;100.5100000;5350
RU000A1012R9;D;20191204;000000;100.9900000;101.5000000;100.5100000;100.5100000;1550
RU000A1012R9;D;20191205;000000;101.4000000;101.4000000;101.0000000;101.2000000;1486
RU000A1012R9;D;20191206;000000;101.4000000;101.4000000;100.3600000;101.1700000;80
RU000A1012R9;D;20191209;000000;100.3900000;101.9000000;100.3900000;101.9000000;2625
RU000A1012R9;D;20191210;000000;100.6000000;101.5000000;100.5500000;100.6000000;8492
RU000A1012R9;D;20191211;000000;101.4400000;101.4400000;101.0000000;101.3400000;108
RU000A1012R9;D;20191212;000000;100.4000000;101.9000000;100.3900000;101.9000000;211
RU000A1012R9;D;20191213;000000;101.0000000;101.5000000;100.6200000;101.0000000;959
RU000A1012R9;D;20191216;000000;101.1000000;101.4500000;100.8000000;101.4500000;6256
RU000A1012R9;D;20191217;000000;101.4500000;101.4500000;100.6700000;101.4100000;3102
RU000A1012R9;D;20191218;000000;101.4400000;101.4400000;100.8000000;101.2900000;1495
RU000A1012R9;D;20191219;000000;100.8300000;101.3500000;100.8100000;101.3400000;174
RU000A1012R9;D;20191220;000000;101.0100000;101.3300000;100.5000000;101.3200000;5062
RU000A1012R9;D;20191223;000000;101.4000000;101.4400000;100.9400000;100.9400000;537
RU000A1012R9;D;20191224;000000;100.5000000;101.2300000;100.5000000;101.1900000;62
RU000A1012R9;D;20191225;000000;101.4000000;101.4900000;101.4000000;101.4900000;192
RU000A1012R9;D;20191226;000000;101.4800000;101.4800000;100.5000000;100.5000000;10909
