<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A0ZZWZ9;D;20181213;000000;100.4000000;100.4000000;100.0000000;100.4000000;12566
RU000A0ZZWZ9;D;20181214;000000;100.4000000;100.6000000;100.0000000;100.6000000;12085
RU000A0ZZWZ9;D;20181217;000000;100.5000000;100.6000000;100.0000000;100.6000000;11911
RU000A0ZZWZ9;D;20181218;000000;100.7000000;102.7100000;100.3500000;100.9000000;22474
RU000A0ZZWZ9;D;20181219;000000;102.5000000;102.5000000;100.7200000;101.0000000;15688
RU000A0ZZWZ9;D;20181220;000000;101.1000000;101.2000000;101.0000000;101.1000000;16941
RU000A0ZZWZ9;D;20181221;000000;101.1000000;102.5000000;101.0000000;102.5000000;6753
RU000A0ZZWZ9;D;20181224;000000;102.5000000;104.5500000;101.5000000;101.5000000;20043
RU000A0ZZWZ9;D;20181225;000000;101.9900000;102.4900000;101.5000000;101.5000000;450
RU000A0ZZWZ9;D;20181226;000000;101.5000000;103.5000000;101.5000000;103.5000000;6699
RU000A0ZZWZ9;D;20181227;000000;101.5300000;102.7000000;100.0300000;102.7000000;9834
RU000A0ZZWZ9;D;20181228;000000;102.7000000;102.7000000;100.6400000;102.6000000;1935
RU000A0ZZWZ9;D;20181229;000000;102.5000000;102.8400000;102.5000000;102.8000000;4912
RU000A0ZZWZ9;D;20190103;000000;102.7700000;102.7700000;102.7700000;102.7700000;1
RU000A0ZZWZ9;D;20190104;000000;102.5000000;102.5000000;102.5000000;102.5000000;1
RU000A0ZZWZ9;D;20190108;000000;100.5000000;103.0000000;100.5000000;102.7500000;15
RU000A0ZZWZ9;D;20190109;000000;102.8000000;102.8000000;100.7500000;101.6500000;208
RU000A0ZZWZ9;D;20190110;000000;101.5300000;102.7700000;100.4000000;101.6000000;6233
RU000A0ZZWZ9;D;20190111;000000;101.6000000;102.7200000;101.6000000;102.7200000;589
RU000A0ZZWZ9;D;20190114;000000;102.7300000;102.7300000;101.8000000;101.8000000;2669
RU000A0ZZWZ9;D;20190115;000000;101.8900000;102.0200000;101.0000000;101.0000000;10667
RU000A0ZZWZ9;D;20190116;000000;101.0900000;101.8400000;101.0800000;101.1500000;184
RU000A0ZZWZ9;D;20190117;000000;101.9800000;102.2900000;101.3000000;102.0000000;1578
RU000A0ZZWZ9;D;20190118;000000;102.0000000;102.0000000;101.8000000;102.0000000;977
RU000A0ZZWZ9;D;20190121;000000;102.4300000;102.4900000;102.0100000;102.4900000;15
RU000A0ZZWZ9;D;20190122;000000;102.0000000;102.7500000;102.0000000;102.7500000;3337
RU000A0ZZWZ9;D;20190123;000000;102.3800000;102.9700000;102.2700000;102.9700000;1007
RU000A0ZZWZ9;D;20190124;000000;102.9700000;103.0000000;102.9700000;103.0000000;55
RU000A0ZZWZ9;D;20190125;000000;102.4800000;102.9500000;100.8000000;102.9500000;5420
RU000A0ZZWZ9;D;20190128;000000;102.9200000;102.9200000;101.7500000;101.7500000;166
RU000A0ZZWZ9;D;20190129;000000;101.6100000;102.0000000;101.5000000;101.5000000;709
RU000A0ZZWZ9;D;20190130;000000;101.5700000;102.0000000;101.5700000;101.8000000;833
RU000A0ZZWZ9;D;20190131;000000;101.9500000;103.0100000;101.9500000;103.0000000;4969
RU000A0ZZWZ9;D;20190201;000000;102.8000000;102.9000000;102.8000000;102.9000000;10
RU000A0ZZWZ9;D;20190204;000000;104.9500000;104.9500000;101.5200000;102.5500000;514
RU000A0ZZWZ9;D;20190205;000000;102.0100000;102.7500000;101.0500000;102.0100000;582
RU000A0ZZWZ9;D;20190206;000000;102.1500000;102.6900000;102.1500000;102.1500000;143
RU000A0ZZWZ9;D;20190207;000000;102.6900000;102.9000000;102.2200000;102.2200000;21
RU000A0ZZWZ9;D;20190208;000000;102.2200000;102.2500000;102.2200000;102.2500000;12
RU000A0ZZWZ9;D;20190211;000000;100.2100000;101.9400000;100.2100000;101.4000000;24166
RU000A0ZZWZ9;D;20190212;000000;101.9700000;101.9700000;100.8400000;101.8000000;6052
RU000A0ZZWZ9;D;20190213;000000;101.0000000;101.8800000;101.0000000;101.5500000;179
RU000A0ZZWZ9;D;20190214;000000;100.9100000;101.3500000;100.8700000;100.8700000;6567
RU000A0ZZWZ9;D;20190215;000000;101.2700000;101.4100000;101.0000000;101.0000000;1390
RU000A0ZZWZ9;D;20190218;000000;101.2200000;101.3900000;100.7000000;100.7100000;5268
RU000A0ZZWZ9;D;20190219;000000;100.7100000;101.2500000;100.7100000;101.2200000;621
RU000A0ZZWZ9;D;20190220;000000;101.1900000;101.1900000;101.1900000;101.1900000;3
RU000A0ZZWZ9;D;20190221;000000;100.7300000;101.0000000;100.1500000;100.9800000;3588
RU000A0ZZWZ9;D;20190222;000000;101.0800000;101.3300000;101.0800000;101.2400000;1637
RU000A0ZZWZ9;D;20190225;000000;101.3200000;101.3900000;100.9000000;101.2900000;2003
RU000A0ZZWZ9;D;20190226;000000;100.8000000;102.6200000;100.8000000;102.6000000;2577
RU000A0ZZWZ9;D;20190227;000000;101.0100000;101.6000000;100.8000000;101.2000000;1105
RU000A0ZZWZ9;D;20190228;000000;100.9000000;101.0100000;100.8900000;100.9000000;1051
RU000A0ZZWZ9;D;20190301;000000;100.9500000;101.0000000;98.9600000;100.5700000;18224
RU000A0ZZWZ9;D;20190304;000000;100.9000000;100.9200000;100.6500000;100.6500000;3657
RU000A0ZZWZ9;D;20190305;000000;100.6900000;100.9100000;100.2000000;100.6100000;2093
RU000A0ZZWZ9;D;20190306;000000;100.7000000;100.7000000;100.3000000;100.3000000;2088
RU000A0ZZWZ9;D;20190307;000000;100.4800000;100.4800000;100.1800000;100.4600000;13312
RU000A0ZZWZ9;D;20190311;000000;100.1800000;100.8600000;100.1800000;100.7500000;777
RU000A0ZZWZ9;D;20190312;000000;100.7300000;101.2300000;100.5100000;100.5100000;1562
RU000A0ZZWZ9;D;20190313;000000;100.9200000;100.9200000;100.5000000;100.5000000;1536
RU000A0ZZWZ9;D;20190314;000000;100.7800000;100.7800000;100.5100000;100.6900000;886
RU000A0ZZWZ9;D;20190315;000000;100.5000000;100.6900000;100.3000000;100.6900000;8336
RU000A0ZZWZ9;D;20190318;000000;100.3200000;100.7900000;100.3200000;100.7800000;1328
RU000A0ZZWZ9;D;20190319;000000;100.8100000;100.8900000;100.6000000;100.8500000;937
RU000A0ZZWZ9;D;20190320;000000;100.7200000;100.8400000;100.0000000;100.8100000;12507
RU000A0ZZWZ9;D;20190321;000000;100.4600000;100.7300000;100.4500000;100.6900000;4150
RU000A0ZZWZ9;D;20190322;000000;100.6900000;100.7900000;100.1000000;100.6900000;4225
RU000A0ZZWZ9;D;20190325;000000;100.7500000;100.7500000;100.4500000;100.7000000;12338
RU000A0ZZWZ9;D;20190326;000000;100.7700000;100.9100000;100.7700000;100.9000000;2070
RU000A0ZZWZ9;D;20190327;000000;100.8800000;101.0000000;100.8000000;100.9900000;1151
RU000A0ZZWZ9;D;20190328;000000;101.0000000;101.3800000;100.9000000;101.2000000;2434
RU000A0ZZWZ9;D;20190329;000000;101.1000000;101.4900000;101.1000000;101.4900000;267
RU000A0ZZWZ9;D;20190401;000000;101.0100000;101.2000000;101.0100000;101.2000000;896
RU000A0ZZWZ9;D;20190402;000000;101.1000000;101.5000000;101.1000000;101.5000000;270
RU000A0ZZWZ9;D;20190403;000000;101.1300000;101.5900000;101.1100000;101.4900000;119
RU000A0ZZWZ9;D;20190404;000000;101.4900000;101.9900000;101.1200000;101.9300000;1482
RU000A0ZZWZ9;D;20190405;000000;101.1600000;101.8500000;101.1300000;101.2400000;107
RU000A0ZZWZ9;D;20190408;000000;101.8000000;102.5000000;101.0300000;102.5000000;1541
RU000A0ZZWZ9;D;20190409;000000;101.3400000;101.6600000;101.1000000;101.6500000;2560
RU000A0ZZWZ9;D;20190410;000000;101.2300000;101.8500000;101.2300000;101.3100000;701
RU000A0ZZWZ9;D;20190411;000000;101.3100000;102.2500000;101.0100000;101.5500000;1083
RU000A0ZZWZ9;D;20190412;000000;101.4500000;101.7300000;101.1700000;101.7300000;787
RU000A0ZZWZ9;D;20190415;000000;101.2000000;101.7400000;101.2000000;101.6600000;97
RU000A0ZZWZ9;D;20190416;000000;101.7000000;101.8000000;101.6300000;101.6300000;137
RU000A0ZZWZ9;D;20190417;000000;101.6000000;101.6000000;101.6000000;101.6000000;381
RU000A0ZZWZ9;D;20190418;000000;101.4900000;101.4900000;101.1000000;101.4500000;20348
RU000A0ZZWZ9;D;20190419;000000;101.2200000;101.2500000;101.1000000;101.2500000;67419
RU000A0ZZWZ9;D;20190422;000000;101.3800000;101.8000000;101.2100000;101.3800000;632
RU000A0ZZWZ9;D;20190423;000000;101.7600000;101.7700000;101.3500000;101.5000000;1019
RU000A0ZZWZ9;D;20190424;000000;101.4000000;101.4000000;101.0000000;101.3800000;1001
RU000A0ZZWZ9;D;20190425;000000;101.1800000;101.3400000;101.1500000;101.3400000;628
RU000A0ZZWZ9;D;20190426;000000;101.3500000;101.3500000;100.0000000;101.2400000;6203
RU000A0ZZWZ9;D;20190429;000000;101.2500000;101.3000000;101.1200000;101.2800000;477
RU000A0ZZWZ9;D;20190430;000000;101.2900000;101.3500000;100.6800000;101.3500000;1208
RU000A0ZZWZ9;D;20190503;000000;101.0700000;101.0700000;101.0700000;101.0700000;50
RU000A0ZZWZ9;D;20190506;000000;101.2900000;101.4200000;101.1000000;101.4200000;1898
RU000A0ZZWZ9;D;20190507;000000;101.2500000;101.9800000;101.1800000;101.9800000;2827
RU000A0ZZWZ9;D;20190508;000000;101.5000000;101.5000000;101.4000000;101.5000000;1556
RU000A0ZZWZ9;D;20190513;000000;101.6500000;101.6500000;101.6500000;101.6500000;969
RU000A0ZZWZ9;D;20190514;000000;101.5000000;101.9900000;100.0500000;100.9100000;7698
RU000A0ZZWZ9;D;20190515;000000;101.1000000;101.2700000;100.3400000;100.9600000;3055
RU000A0ZZWZ9;D;20190516;000000;101.2700000;101.2700000;100.9100000;101.0200000;2070
RU000A0ZZWZ9;D;20190517;000000;101.2000000;101.2000000;101.2000000;101.2000000;24
RU000A0ZZWZ9;D;20190520;000000;101.3500000;101.5400000;100.8600000;101.3400000;6450
RU000A0ZZWZ9;D;20190521;000000;101.4000000;101.4000000;100.9000000;101.3500000;2005
RU000A0ZZWZ9;D;20190522;000000;101.0400000;101.1200000;100.6400000;101.1200000;1561
RU000A0ZZWZ9;D;20190523;000000;101.2000000;101.2200000;100.9400000;101.1700000;832
RU000A0ZZWZ9;D;20190524;000000;101.0000000;101.4200000;101.0000000;101.3600000;2782
RU000A0ZZWZ9;D;20190527;000000;101.3100000;101.5400000;101.3100000;101.5000000;506
RU000A0ZZWZ9;D;20190528;000000;101.4000000;101.4900000;101.3000000;101.3500000;20123
RU000A0ZZWZ9;D;20190529;000000;101.4900000;101.5000000;100.7500000;101.3600000;5405
RU000A0ZZWZ9;D;20190530;000000;101.3700000;101.3700000;101.2000000;101.2500000;792
RU000A0ZZWZ9;D;20190531;000000;101.0900000;101.4700000;101.0000000;101.4600000;3231
RU000A0ZZWZ9;D;20190603;000000;101.4500000;101.4500000;101.0000000;101.2500000;4530
RU000A0ZZWZ9;D;20190604;000000;101.3900000;101.5400000;101.1000000;101.5000000;546
RU000A0ZZWZ9;D;20190605;000000;101.2200000;101.4900000;100.5100000;101.4500000;7849
RU000A0ZZWZ9;D;20190606;000000;101.4900000;101.9900000;101.4900000;101.5200000;3673
RU000A0ZZWZ9;D;20190607;000000;101.8500000;104.8800000;101.6100000;101.6100000;489
RU000A0ZZWZ9;D;20190610;000000;103.5100000;103.5100000;101.6100000;102.2500000;3113
RU000A0ZZWZ9;D;20190611;000000;102.9300000;102.9300000;102.0300000;102.0300000;16
RU000A0ZZWZ9;D;20190613;000000;102.2100000;104.8300000;101.0200000;101.5000000;2987
RU000A0ZZWZ9;D;20190614;000000;101.6200000;101.9000000;101.6200000;101.9000000;11
RU000A0ZZWZ9;D;20190617;000000;101.9000000;101.9800000;101.1000000;101.9800000;3510
RU000A0ZZWZ9;D;20190618;000000;102.0000000;102.5000000;101.9800000;102.5000000;617
RU000A0ZZWZ9;D;20190619;000000;102.9100000;102.9400000;102.0000000;102.0000000;1231
RU000A0ZZWZ9;D;20190620;000000;102.8600000;102.8700000;102.0600000;102.0600000;107
RU000A0ZZWZ9;D;20190621;000000;102.9400000;102.9500000;102.0000000;102.0000000;48
RU000A0ZZWZ9;D;20190624;000000;102.7100000;104.0000000;101.9100000;102.7100000;1084
RU000A0ZZWZ9;D;20190625;000000;102.1500000;102.7100000;101.9000000;102.7100000;187
RU000A0ZZWZ9;D;20190626;000000;102.6800000;102.6800000;101.9100000;101.9100000;294
RU000A0ZZWZ9;D;20190627;000000;102.1500000;102.1500000;101.5500000;101.5500000;453
RU000A0ZZWZ9;D;20190628;000000;101.6000000;102.5300000;101.6000000;102.5300000;1033
RU000A0ZZWZ9;D;20190701;000000;102.4300000;102.4300000;101.8400000;102.4000000;288
RU000A0ZZWZ9;D;20190702;000000;102.4400000;102.5300000;102.2000000;102.5000000;377
RU000A0ZZWZ9;D;20190703;000000;102.0300000;102.5300000;101.7200000;102.2900000;1327
RU000A0ZZWZ9;D;20190704;000000;102.5800000;102.7200000;102.0300000;102.0300000;248
RU000A0ZZWZ9;D;20190705;000000;102.4700000;102.4900000;102.4700000;102.4800000;30
RU000A0ZZWZ9;D;20190708;000000;102.4000000;102.4000000;101.7000000;101.7000000;2327
RU000A0ZZWZ9;D;20190709;000000;102.0600000;102.2500000;102.0500000;102.2100000;588
RU000A0ZZWZ9;D;20190710;000000;101.9700000;102.3900000;101.0700000;101.9100000;2086
RU000A0ZZWZ9;D;20190711;000000;101.8900000;102.1100000;101.8900000;102.1100000;84
RU000A0ZZWZ9;D;20190712;000000;102.1000000;102.1000000;101.9000000;101.9000000;13
RU000A0ZZWZ9;D;20190715;000000;102.1000000;102.1400000;101.6800000;101.6800000;117
RU000A0ZZWZ9;D;20190716;000000;102.1400000;102.1400000;101.8400000;102.1000000;169
RU000A0ZZWZ9;D;20190717;000000;102.1200000;102.1200000;101.9000000;101.9000000;10
RU000A0ZZWZ9;D;20190718;000000;102.1200000;102.1200000;101.9500000;101.9500000;1065
RU000A0ZZWZ9;D;20190719;000000;101.8200000;102.1400000;101.0100000;102.1400000;1948
RU000A0ZZWZ9;D;20190722;000000;102.1000000;102.1200000;102.0900000;102.1000000;270
RU000A0ZZWZ9;D;20190723;000000;101.7600000;102.1200000;101.7000000;102.1100000;4017
RU000A0ZZWZ9;D;20190724;000000;101.9900000;102.1300000;101.9500000;101.9500000;481
RU000A0ZZWZ9;D;20190725;000000;101.9000000;102.1200000;101.8000000;102.1100000;180
RU000A0ZZWZ9;D;20190726;000000;102.1000000;102.1900000;102.1000000;102.1900000;818
RU000A0ZZWZ9;D;20190729;000000;101.8400000;102.2500000;101.8200000;102.2500000;3231
RU000A0ZZWZ9;D;20190730;000000;101.8700000;102.3500000;101.8600000;102.3000000;2872
RU000A0ZZWZ9;D;20190731;000000;102.1100000;102.3200000;102.0000000;102.3200000;309
RU000A0ZZWZ9;D;20190801;000000;101.9200000;102.3400000;101.2200000;101.8600000;921
RU000A0ZZWZ9;D;20190802;000000;101.8500000;102.2800000;101.5200000;102.2800000;855
RU000A0ZZWZ9;D;20190805;000000;102.2600000;102.3400000;101.8100000;102.3400000;1497
RU000A0ZZWZ9;D;20190806;000000;102.1100000;102.3800000;102.1100000;102.3800000;51
RU000A0ZZWZ9;D;20190807;000000;102.2200000;102.8000000;102.2200000;102.7000000;368
RU000A0ZZWZ9;D;20190808;000000;102.6900000;103.7000000;102.5500000;102.5500000;402
RU000A0ZZWZ9;D;20190809;000000;102.6000000;102.9400000;101.6600000;102.9400000;718
RU000A0ZZWZ9;D;20190812;000000;102.1700000;102.7600000;102.0000000;102.3000000;5701
RU000A0ZZWZ9;D;20190813;000000;102.4200000;102.4400000;101.5800000;101.9000000;15284
RU000A0ZZWZ9;D;20190814;000000;102.1300000;102.9500000;101.5900000;102.8300000;17974
RU000A0ZZWZ9;D;20190815;000000;102.5100000;102.8000000;102.4900000;102.4900000;1134
RU000A0ZZWZ9;D;20190816;000000;102.6400000;102.6500000;102.0900000;102.0900000;2095
RU000A0ZZWZ9;D;20190819;000000;102.1900000;102.2900000;102.0400000;102.2000000;1605
RU000A0ZZWZ9;D;20190820;000000;102.0900000;102.1900000;101.9700000;102.0000000;3705
RU000A0ZZWZ9;D;20190821;000000;101.9400000;102.2200000;101.5500000;102.0000000;4431
RU000A0ZZWZ9;D;20190822;000000;102.3500000;102.3800000;102.3000000;102.3800000;2684
RU000A0ZZWZ9;D;20190823;000000;102.2000000;102.5800000;101.4800000;102.4000000;5299
RU000A0ZZWZ9;D;20190826;000000;102.2100000;102.4100000;101.9000000;102.2000000;1084
RU000A0ZZWZ9;D;20190827;000000;102.3200000;102.5800000;102.3200000;102.5800000;1229
RU000A0ZZWZ9;D;20190828;000000;102.5700000;102.5800000;102.3700000;102.5800000;322
RU000A0ZZWZ9;D;20190829;000000;102.5800000;102.6800000;102.0300000;102.5000000;1536
RU000A0ZZWZ9;D;20190830;000000;102.0800000;102.4800000;102.0700000;102.3500000;262
RU000A0ZZWZ9;D;20190902;000000;102.3200000;103.0000000;102.3200000;102.4000000;1689
RU000A0ZZWZ9;D;20190903;000000;102.8700000;102.9000000;102.8000000;102.9000000;3383
RU000A0ZZWZ9;D;20190904;000000;102.9000000;102.9900000;102.1100000;102.9000000;23754
RU000A0ZZWZ9;D;20190905;000000;102.9400000;103.2000000;102.9400000;103.2000000;373
RU000A0ZZWZ9;D;20190906;000000;103.1800000;103.2200000;102.6100000;102.6200000;1210
RU000A0ZZWZ9;D;20190909;000000;102.6400000;102.9400000;102.4900000;102.8500000;8277
RU000A0ZZWZ9;D;20190910;000000;102.7400000;102.9000000;102.7400000;102.9000000;759
RU000A0ZZWZ9;D;20190911;000000;102.9400000;102.9900000;102.6100000;102.9700000;46
RU000A0ZZWZ9;D;20190912;000000;102.6200000;102.9500000;102.4500000;102.9100000;6803
RU000A0ZZWZ9;D;20190913;000000;102.6300000;105.6300000;102.6300000;102.7900000;946
RU000A0ZZWZ9;D;20190916;000000;102.6400000;103.2300000;102.5100000;103.2300000;171
RU000A0ZZWZ9;D;20190917;000000;103.2300000;103.2300000;102.7700000;102.7700000;43
RU000A0ZZWZ9;D;20190918;000000;103.2300000;103.2300000;103.2300000;103.2300000;20
RU000A0ZZWZ9;D;20190919;000000;103.2400000;103.2500000;102.8100000;102.8100000;150
RU000A0ZZWZ9;D;20190920;000000;103.2000000;103.2000000;102.9900000;103.0000000;22
RU000A0ZZWZ9;D;20190923;000000;102.8000000;103.2000000;102.6000000;103.1400000;12416
RU000A0ZZWZ9;D;20190924;000000;103.0900000;103.2500000;103.0900000;103.2500000;1591
