<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A100758;D;20190329;000000;100.5000000;100.5000000;100.0100000;100.2000000;10247
RU000A100758;D;20190401;000000;100.3000000;100.5000000;100.0200000;100.2700000;251125
RU000A100758;D;20190402;000000;100.2900000;100.4500000;100.0000000;100.0500000;245170
RU000A100758;D;20190403;000000;100.3000000;100.4000000;100.0500000;100.2000000;273577
RU000A100758;D;20190404;000000;100.2500000;100.2500000;100.1000000;100.2000000;143548
RU000A100758;D;20190405;000000;100.1600000;100.3000000;100.1000000;100.2400000;168518
RU000A100758;D;20190408;000000;101.0000000;101.0000000;100.1100000;100.1500000;220006
RU000A100758;D;20190409;000000;100.2500000;100.3500000;100.1500000;100.2500000;278775
RU000A100758;D;20190410;000000;100.1200000;100.2500000;100.1000000;100.2000000;126763
RU000A100758;D;20190411;000000;100.2500000;100.2500000;100.2000000;100.2000000;68116
RU000A100758;D;20190412;000000;100.2500000;100.3000000;100.2000000;100.3000000;70083
RU000A100758;D;20190415;000000;100.3000000;100.3000000;100.2100000;100.2800000;23785
RU000A100758;D;20190416;000000;100.2900000;100.2900000;100.2000000;100.2000000;80285
RU000A100758;D;20190417;000000;100.2500000;100.3300000;100.2200000;100.3300000;137096
RU000A100758;D;20190418;000000;100.2500000;100.3000000;100.2500000;100.3000000;8463
RU000A100758;D;20190419;000000;100.2900000;100.3000000;100.2700000;100.2900000;64334
RU000A100758;D;20190422;000000;100.3500000;100.3500000;100.2100000;100.3500000;23217
RU000A100758;D;20190423;000000;100.2100000;100.5000000;100.2100000;100.5000000;187506
RU000A100758;D;20190424;000000;100.4000000;100.5000000;100.4000000;100.4000000;25938
RU000A100758;D;20190425;000000;100.6000000;100.6000000;100.2700000;100.4500000;99107
RU000A100758;D;20190426;000000;100.4500000;100.4500000;100.2500000;100.4500000;42322
RU000A100758;D;20190429;000000;100.7000000;100.7000000;100.2600000;100.7000000;35651
RU000A100758;D;20190430;000000;100.8000000;100.9900000;100.5000000;100.5000000;24062
RU000A100758;D;20190502;000000;100.4000000;100.9900000;100.4000000;100.9900000;151
RU000A100758;D;20190503;000000;100.8500000;100.8500000;100.2000000;100.8000000;433
RU000A100758;D;20190506;000000;100.8000000;102.2700000;100.2700000;102.2700000;20764
RU000A100758;D;20190507;000000;100.8000000;100.9900000;100.8000000;100.9900000;2790
RU000A100758;D;20190508;000000;101.8000000;101.8000000;100.4900000;100.5000000;16552
RU000A100758;D;20190510;000000;100.3100000;100.3100000;100.1900000;100.2000000;8114
RU000A100758;D;20190513;000000;100.2300000;100.4500000;100.1800000;100.3500000;77254
RU000A100758;D;20190514;000000;100.2100000;100.4500000;100.2000000;100.4400000;78339
RU000A100758;D;20190515;000000;100.4400000;100.6000000;100.4400000;100.6000000;41767
RU000A100758;D;20190516;000000;100.5900000;100.6500000;100.3100000;100.6500000;66028
