<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A0JQLM3;D;20091225;000000;100.0000000;100.7500000;100.0000000;100.6500000;120592
RU000A0JQLM3;D;20091228;000000;100.7500000;100.7500000;100.6000000;100.6000000;21
RU000A0JQLM3;D;20091229;000000;100.7500000;101.0000000;100.7000000;100.7500000;73950
RU000A0JQLM3;D;20091230;000000;100.7000000;101.2500000;100.2500000;101.2500000;62000
RU000A0JQLM3;D;20091231;000000;101.0000000;102.0000000;101.0000000;102.0000000;3
RU000A0JQLM3;D;20100111;000000;101.8000000;101.8000000;100.4500000;100.8100000;3
RU000A0JQLM3;D;20100112;000000;101.3400000;101.6000000;101.3400000;101.5000000;145569
RU000A0JQLM3;D;20100113;000000;101.5000000;101.5000000;101.5000000;101.5000000;8000
RU000A0JQLM3;D;20100114;000000;101.5000000;102.1900000;101.5000000;102.0800000;5100
RU000A0JQLM3;D;20100115;000000;101.9500000;102.1000000;101.9500000;102.1000000;58489
RU000A0JQLM3;D;20100118;000000;102.1000000;102.1000000;101.9500000;102.0800000;10002
RU000A0JQLM3;D;20100119;000000;102.4900000;102.4900000;102.3000000;102.3900000;53002
RU000A0JQLM3;D;20100120;000000;102.4000000;102.6500000;102.3500000;102.3500000;28463
RU000A0JQLM3;D;20100121;000000;102.6900000;102.9000000;102.6900000;102.9000000;89818
RU000A0JQLM3;D;20100122;000000;103.0000000;103.0000000;102.7500000;102.7500000;15501
RU000A0JQLM3;D;20100125;000000;102.7000000;102.8500000;102.7000000;102.8500000;55000
RU000A0JQLM3;D;20100126;000000;102.7000000;102.9500000;102.7000000;102.9500000;11000
RU000A0JQLM3;D;20100127;000000;102.7000000;102.7000000;102.7000000;102.7000000;5000
RU000A0JQLM3;D;20100128;000000;102.7100000;102.7100000;102.7100000;102.7100000;1
RU000A0JQLM3;D;20100129;000000;102.7200000;102.7200000;102.5000000;102.5000000;104184
RU000A0JQLM3;D;20100201;000000;102.9500000;102.9500000;102.7000000;102.7000000;5300
RU000A0JQLM3;D;20100202;000000;102.8500000;102.9500000;102.8500000;102.9500000;15000
RU000A0JQLM3;D;20100203;000000;103.0000000;103.6000000;103.0000000;103.6000000;20000
RU000A0JQLM3;D;20100204;000000;103.4000000;103.4000000;103.4000000;103.4000000;36000
RU000A0JQLM3;D;20100208;000000;103.2500000;103.2500000;103.2000000;103.2000000;1215
RU000A0JQLM3;D;20100209;000000;103.0100000;103.1000000;103.0000000;103.1000000;17103
RU000A0JQLM3;D;20100211;000000;103.1000000;103.1000000;103.1000000;103.1000000;230
RU000A0JQLM3;D;20100212;000000;103.0000000;103.0000000;103.0000000;103.0000000;1
RU000A0JQLM3;D;20100215;000000;103.2600000;103.2600000;102.7500000;103.2500000;15146
RU000A0JQLM3;D;20100216;000000;103.1500000;103.1500000;103.1500000;103.1500000;770
RU000A0JQLM3;D;20100217;000000;103.5000000;103.5000000;103.5000000;103.5000000;1100
RU000A0JQLM3;D;20100218;000000;103.0000000;103.7800000;103.0000000;103.5000000;20102
RU000A0JQLM3;D;20100225;000000;103.7500000;103.7500000;103.7500000;103.7500000;14509
RU000A0JQLM3;D;20100226;000000;105.3700000;105.3700000;104.2000000;104.2000000;25010
RU000A0JQLM3;D;20100227;000000;105.0000000;105.0000000;105.0000000;105.0000000;10000
RU000A0JQLM3;D;20100301;000000;104.7000000;104.7000000;104.7000000;104.7000000;32345
RU000A0JQLM3;D;20100305;000000;105.3000000;105.3000000;105.3000000;105.3000000;1750
RU000A0JQLM3;D;20100315;000000;105.3000000;105.3000000;105.3000000;105.3000000;5000
RU000A0JQLM3;D;20100316;000000;104.5000000;105.5000000;104.5000000;105.5000000;13211
RU000A0JQLM3;D;20100317;000000;104.8000000;105.4000000;104.8000000;105.4000000;1300
RU000A0JQLM3;D;20100318;000000;105.5000000;105.5000000;105.5000000;105.5000000;600
RU000A0JQLM3;D;20100322;000000;105.3000000;105.4500000;105.3000000;105.4500000;3000
RU000A0JQLM3;D;20100323;000000;105.2000000;105.2000000;103.2000000;103.2000000;196501
RU000A0JQLM3;D;20100324;000000;105.5000000;106.3500000;105.5000000;106.3500000;195000
RU000A0JQLM3;D;20100325;000000;105.0000000;105.1000000;104.8000000;104.8000000;13570
RU000A0JQLM3;D;20100326;000000;105.1000000;105.1000000;105.1000000;105.1000000;3430
RU000A0JQLM3;D;20100330;000000;105.1000000;105.1000000;105.1000000;105.1000000;100
RU000A0JQLM3;D;20100331;000000;106.0000000;106.0000000;105.7000000;105.7000000;3430
RU000A0JQLM3;D;20100405;000000;105.0000000;105.0000000;105.0000000;105.0000000;430
RU000A0JQLM3;D;20100407;000000;106.8000000;106.8000000;106.3000000;106.3000000;2900
RU000A0JQLM3;D;20100421;000000;106.0000000;106.0000000;106.0000000;106.0000000;5000
RU000A0JQLM3;D;20100422;000000;105.0000000;105.0000000;105.0000000;105.0000000;10000
RU000A0JQLM3;D;20100427;000000;104.0000000;104.9700000;104.0000000;104.9700000;2501
RU000A0JQLM3;D;20100428;000000;103.8000000;103.8000000;103.5000000;103.5000000;10000
RU000A0JQLM3;D;20100429;000000;104.6000000;105.1500000;104.6000000;105.1500000;28000
RU000A0JQLM3;D;20100430;000000;104.4500000;105.3500000;104.4500000;105.3500000;19750
RU000A0JQLM3;D;20100506;000000;105.3500000;105.3500000;105.3500000;105.3500000;1800
RU000A0JQLM3;D;20100513;000000;105.7500000;105.7500000;103.0100000;105.0000000;8352
RU000A0JQLM3;D;20100514;000000;105.0000000;105.0000000;105.0000000;105.0000000;2000
RU000A0JQLM3;D;20100518;000000;105.0000000;105.0000000;105.0000000;105.0000000;10001
RU000A0JQLM3;D;20100519;000000;105.0500000;105.0500000;105.0500000;105.0500000;1
RU000A0JQLM3;D;20100520;000000;104.9000000;104.9000000;104.9000000;104.9000000;1
RU000A0JQLM3;D;20100521;000000;105.0500000;105.0500000;105.0500000;105.0500000;1
RU000A0JQLM3;D;20100525;000000;104.9500000;104.9500000;104.9500000;104.9500000;1
RU000A0JQLM3;D;20100527;000000;105.0000000;105.0000000;105.0000000;105.0000000;1000
RU000A0JQLM3;D;20100531;000000;104.3200000;105.3000000;104.3000000;105.2600000;198333
RU000A0JQLM3;D;20100604;000000;105.0000000;105.2500000;105.0000000;105.1000000;46003
RU000A0JQLM3;D;20100607;000000;105.7500000;105.7500000;105.1000000;105.2000000;70139
RU000A0JQLM3;D;20100609;000000;105.3000000;105.3000000;105.3000000;105.3000000;1
RU000A0JQLM3;D;20100617;000000;105.7000000;105.7000000;105.7000000;105.7000000;2
RU000A0JQLM3;D;20100618;000000;105.4600000;106.3000000;105.4600000;106.3000000;55202
RU000A0JQLM3;D;20100621;000000;106.5000000;107.0000000;105.5000000;107.0000000;50001
RU000A0JQLM3;D;20100622;000000;106.0000000;106.2500000;105.2000000;106.0000000;50002
RU000A0JQLM3;D;20100623;000000;106.2500000;106.2500000;106.2500000;106.2500000;17
RU000A0JQLM3;D;20100624;000000;106.2000000;106.2500000;106.2000000;106.2500000;29799
RU000A0JQLM3;D;20100630;000000;106.1500000;106.2500000;106.1500000;106.2500000;301
RU000A0JQLM3;D;20100708;000000;106.0000000;106.0000000;106.0000000;106.0000000;5000
RU000A0JQLM3;D;20100715;000000;110.0000000;110.0000000;106.3500000;106.3500000;90000
RU000A0JQLM3;D;20100719;000000;106.4500000;106.4500000;106.0400000;106.0400000;25100
RU000A0JQLM3;D;20100720;000000;106.2000000;106.5000000;106.2000000;106.5000000;75005
RU000A0JQLM3;D;20100721;000000;102.0000000;106.5000000;102.0000000;106.3000000;83426
RU000A0JQLM3;D;20100727;000000;106.4000000;106.4000000;106.4000000;106.4000000;1657
RU000A0JQLM3;D;20100728;000000;105.2000000;106.4800000;105.2000000;106.4800000;9000
