<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RU000A0JTMK9;D;20130306;000000;100.2000000;100.5000000;100.0700000;100.4000000;554603
RU000A0JTMK9;D;20130307;000000;100.0200000;100.4500000;100.0200000;100.3500000;358001
RU000A0JTMK9;D;20130311;000000;100.4000000;100.4500000;100.4000000;100.4000000;94000
RU000A0JTMK9;D;20130312;000000;100.5000000;100.5500000;100.3500000;100.5500000;446999
RU000A0JTMK9;D;20130313;000000;100.5500000;100.6000000;100.5000000;100.6000000;76000
RU000A0JTMK9;D;20130314;000000;100.3500000;100.8000000;100.3500000;100.7500000;217001
RU000A0JTMK9;D;20130315;000000;100.3500000;100.9000000;100.3500000;100.8500000;280001
RU000A0JTMK9;D;20130318;000000;100.6500000;100.6500000;100.6500000;100.6500000;9000
RU000A0JTMK9;D;20130319;000000;100.6000000;100.8000000;100.3000000;100.8000000;317616
RU000A0JTMK9;D;20130320;000000;100.5000000;100.6000000;100.2500000;100.5500000;109000
RU000A0JTMK9;D;20130321;000000;100.6000000;101.0000000;100.6000000;101.0000000;2002
RU000A0JTMK9;D;20130322;000000;100.6000000;100.6000000;100.6000000;100.6000000;2380
RU000A0JTMK9;D;20130325;000000;100.6000000;100.6000000;100.6000000;100.6000000;16501
RU000A0JTMK9;D;20130326;000000;100.5500000;100.5500000;100.5500000;100.5500000;29998
RU000A0JTMK9;D;20130327;000000;100.4500000;100.5000000;100.4500000;100.5000000;11098
RU000A0JTMK9;D;20130328;000000;100.5000000;100.5000000;100.5000000;100.5000000;5000
RU000A0JTMK9;D;20130329;000000;100.6800000;100.6800000;100.6000000;100.6000000;2001
RU000A0JTMK9;D;20130401;000000;100.7000000;100.7000000;100.7000000;100.7000000;1
RU000A0JTMK9;D;20130403;000000;100.5600000;100.7500000;100.5600000;100.7500000;2
RU000A0JTMK9;D;20130404;000000;100.0000000;100.6500000;100.0000000;100.6500000;12003
RU000A0JTMK9;D;20130405;000000;99.0000000;101.0000000;99.0000000;101.0000000;239003
RU000A0JTMK9;D;20130408;000000;100.7900000;101.0000000;100.4000000;101.0000000;260003
RU000A0JTMK9;D;20130409;000000;98.0000000;101.2500000;98.0000000;101.0500000;269008
RU000A0JTMK9;D;20130410;000000;100.0000000;101.0500000;100.0000000;101.0500000;55004
RU000A0JTMK9;D;20130411;000000;101.1000000;101.1000000;100.9000000;100.9000000;35000
RU000A0JTMK9;D;20130412;000000;101.4500000;101.4500000;100.7500000;101.0000000;10003
RU000A0JTMK9;D;20130415;000000;101.0800000;101.0800000;101.0800000;101.0800000;1
RU000A0JTMK9;D;20130416;000000;100.8500000;100.8500000;100.5100000;100.8500000;104002
RU000A0JTMK9;D;20130417;000000;100.8000000;100.9000000;100.7000000;100.9000000;6004
